"UI92"	"UI93"	"UI96"	"N92"	"N93"	"WT96"	"WT91"	"WT94"	"N95"
"hsa-let-7a-5p_hsa-let-7a-1"	95404	89235	76614	76780	50059	22249	22230	24211	29717
"hsa-let-7a-3p_hsa-let-7a-1"	163	95	167	168	67	41	43	44	37
"hsa-let-7a-5p_hsa-let-7a-2"	95781	89644	77018	77241	50287	22337	22337	24313	29887
"hsa-let-7a-5p_hsa-let-7a-3"	95410	89242	76612	76781	50083	22249	22232	24216	29711
"hsa-let-7a-3p_hsa-let-7a-3"	163	95	167	168	67	41	43	44	37
"hsa-let-7b-5p_hsa-let-7b"	870	769	600	992	395	137	227	211	193
"hsa-let-7c-5p_hsa-let-7c"	117	108	106	100	63	34	38	30	52
"hsa-let-7d-5p_hsa-let-7d"	854	789	675	898	416	180	201	200	242
"hsa-let-7d-3p_hsa-let-7d"	112	70	108	106	49	56	37	21	37
"hsa-let-7e-5p_hsa-let-7e"	11801	11318	10457	10248	6137	2521	2836	2888	3755
"hsa-let-7e-3p_hsa-let-7e"	46	39	72	64	12	14	23	9	31
"hsa-let-7f-5p_hsa-let-7f-1"	66673	78334	69522	78264	43426	19983	25808	22403	31471
"hsa-let-7f-5p_hsa-let-7f-2"	66814	78490	69661	78438	43486	20021	25879	22461	31557
"hsa-let-7f-2-3p_hsa-let-7f-2"	117	119	126	133	60	43	36	24	35
"hsa-let-7g-5p_hsa-let-7g"	14829	15382	14272	13286	8186	3066	4072	3819	5215
"hsa-let-7i-5p_hsa-let-7i"	2427	2202	2281	3814	1491	626	1055	863	1185
"hsa-miR-100-5p_hsa-mir-100"	822	482	591	413	380	322	177	184	323
"hsa-miR-101-5p_hsa-mir-101-1"	4	7	10	8	0	4	1	4	8
"hsa-miR-101-3p_hsa-mir-101-1"	8910	8588	9074	5327	4944	2303	2553	2484	3676
"hsa-miR-101-3p_hsa-mir-101-2"	9431	9124	9597	5593	5287	2431	2725	2665	3883
"hsa-miR-10395-3p_hsa-mir-10395"	30	46	43	82	20	3	6	9	10
"hsa-miR-10396b-3p_hsa-mir-10396b"	11	4	11	16	0	1	5	3	1
"hsa-miR-103a-3p_hsa-mir-103a-1"	70167	65031	63695	56232	35647	15424	21625	18754	26285
"hsa-miR-103a-3p_hsa-mir-103a-2"	71305	65919	64634	56923	36318	15799	21974	19028	26724
"hsa-miR-106a-5p_hsa-mir-106a"	43	15	25	21	14	12	7	9	21
