geneid	species	symbol	express	biotype	fdr	lfc
hsa-miR-212-3p	mirna	hsa-miR-212-3p	down	mirna	NA	-0.644636048689381
hsa-miR-1260b	mirna	hsa-miR-1260b	up	mirna	NA	0.649862789362836
hsa-miR-877-5p	mirna	hsa-miR-877-5p	down	mirna	NA	-1.01326056210657
hsa-miR-132-3p	mirna	hsa-miR-132-3p	down	mirna	NA	-1.39826941916052
hsa-miR-193a-5p	mirna	hsa-miR-193a-5p	down	mirna	NA	-0.473044711376931
hsa-miR-1260a	mirna	hsa-miR-1260a	up	mirna	NA	0.611928054887659
hsa-miR-4485-3p	mirna	hsa-miR-4485-3p	up	mirna	circoschart: arcwidth=0.25 firstarc=0 colorlist="coral" showlabels=false attributelist="circos"	1.89838251376279
hsa-miR-619-5p	mirna	hsa-miR-619-5p	up	mirna	circoschart: arcwidth=0.25 firstarc=0 colorlist="coral" showlabels=false attributelist="circos"	2.37562033933721
hsa-miR-423-5p	mirna	hsa-miR-423-5p	down	mirna	NA	-0.425075635942027
hsa-miR-29b-1-5p	mirna	hsa-miR-29b-1-5p	down	mirna	NA	-3.24008289805555
hsa-miR-7704	mirna	hsa-miR-7704	up	mirna	NA	1.54862758102082
hsa-miR-4454	mirna	hsa-miR-4454	down	mirna	NA	-0.699025735453165
hsa-miR-1248	mirna	hsa-miR-1248	up	mirna	circoschart: arcwidth=0.25 firstarc=0 colorlist="coral" showlabels=false attributelist="circos"	2.0170257821617
hsa-miR-132-5p	mirna	hsa-miR-132-5p	down	mirna	NA	-1.03174871494253
ENSG00000104067	mrna	TJP1	down	protein-coding	NA	-0.541380711246168
ENSG00000102699	mrna	PARP4	down	protein-coding	NA	-0.32048999664297
ENSG00000165272	mrna	AQP3	up	protein-coding	NA	0.506565040202023
ENSG00000165527	mrna	ARF6	down	protein-coding	NA	-0.330951807817988
ENSG00000153879	mrna	CEBPG	down	protein-coding	NA	-0.430636500947645
ENSG00000116133	mrna	DHCR24	up	protein-coding	circoschart: arcwidth=0.25 firstarc=0 colorlist="brown" showlabels=false attributelist="circos1"	0.33816206178659
ENSG00000184545	mrna	DUSP8	down	protein-coding	NA	-0.59183903230824
ENSG00000196411	mrna	EPHB4	up	protein-coding	NA	0.565066010530912
ENSG00000164251	mrna	F2RL1	down	protein-coding	circoschart: arcwidth=0.25 firstarc=0 colorlist="purple" showlabels=false attributelist="circos1"	-0.512918846304374
ENSG00000004478	mrna	FKBP4	up	protein-coding	NA	0.43759375626967
ENSG00000118689	mrna	FOXO3	down	protein-coding	NA	-0.350764186824016
ENSG00000198814	mrna	GK	down	protein-coding	NA	-0.501031568193913
ENSG00000135821	mrna	GLUL	up	protein-coding	NA	0.532079063876621
ENSG00000196305	mrna	IARS1	down	protein-coding	NA	-0.77401269385825
ENSG00000160712	mrna	IL6R	down	protein-coding	NA	-0.587768699127032
