target_symbol	mature_mirna_id	target_ensembl	symbol
GK	hsa-miR-132-3p	ENSG00000198814	GK
MUC13	hsa-miR-132-3p	ENSG00000173702	MUC13
CMTM3	hsa-miR-132-3p	ENSG00000140931	CMTM3
SPRED1	hsa-miR-132-3p	ENSG00000166068	SPRED1
CEBPG	hsa-miR-193a-5p	ENSG00000153879	CEBPG
TFDP2	hsa-miR-193a-5p	ENSG00000114126	TFDP2
IARS1	hsa-miR-193a-5p	ENSG00000196305	IARS1
GPR153	hsa-miR-132-5p	ENSG00000158292	GPR153
OPTN	hsa-miR-1248	ENSG00000123240	OPTN
CPEB2	hsa-miR-1248	ENSG00000137449	CPEB2
IP6K1	hsa-miR-1248	ENSG00000176095	IP6K1
TFDP2	hsa-miR-1260a	ENSG00000114126	TFDP2
TAF8	hsa-miR-1260a	ENSG00000137413	TAF8
IP6K1	hsa-miR-1260a	ENSG00000176095	IP6K1
AMER3	hsa-miR-1260a	ENSG00000178171	AMER3
RESF1	hsa-miR-1260a	ENSG00000174718	RESF1
SLC7A1	hsa-miR-1260b	ENSG00000139514	SLC7A1
CDCA4	hsa-miR-1260b	ENSG00000170779	CDCA4
EPHB4	hsa-miR-1260b	ENSG00000196411	EPHB4
TFDP2	hsa-miR-1260b	ENSG00000114126	TFDP2
TGIF2	hsa-miR-1260b	ENSG00000118707	TGIF2
TAF8	hsa-miR-1260b	ENSG00000137413	TAF8
IP6K1	hsa-miR-1260b	ENSG00000176095	IP6K1
AMER3	hsa-miR-1260b	ENSG00000178171	AMER3
RESF1	hsa-miR-1260b	ENSG00000174718	RESF1
IL6R	hsa-miR-619-5p	ENSG00000160712	IL6R
F2RL1	hsa-miR-619-5p	ENSG00000164251	F2RL1
SHROOM3	hsa-miR-619-5p	ENSG00000138771	SHROOM3
UBOX5	hsa-miR-619-5p	ENSG00000185019	UBOX5
GTPBP2	hsa-miR-619-5p	ENSG00000172432	GTPBP2
RESF1	hsa-miR-619-5p	ENSG00000174718	RESF1
KDM6B	hsa-miR-7704	ENSG00000132510	KDM6B
IP6K1	hsa-miR-7704	ENSG00000176095	IP6K1
DUSP8	hsa-miR-4485-3p	ENSG00000184545	DUSP8
CLIP1	hsa-miR-4485-3p	ENSG00000130779	CLIP1
SLC7A1	hsa-miR-132-3p	ENSG00000139514	SLC7A1
BCL2L11	hsa-miR-132-3p	ENSG00000153094	BCL2L11
TRIB1	hsa-miR-132-3p	ENSG00000173334	TRIB1
ZFHX3	hsa-miR-132-3p	ENSG00000140836	ZFHX3
ME1	hsa-miR-132-3p	ENSG00000065833	ME1
SAT1	hsa-miR-132-3p	ENSG00000130066	SAT1
NR2F2	hsa-miR-132-3p	ENSG00000185551	NR2F2
TNFAIP3	hsa-miR-132-3p	ENSG00000118503	TNFAIP3
BCL10	hsa-miR-132-3p	ENSG00000142867	BCL10
LPGAT1	hsa-miR-132-3p	ENSG00000123684	LPGAT1
KDM6B	hsa-miR-132-3p	ENSG00000132510	KDM6B
LRRC8B	hsa-miR-132-3p	ENSG00000197147	LRRC8B
RNF19A	hsa-miR-132-3p	ENSG00000034677	RNF19A
RRN3	hsa-miR-132-3p	ENSG00000085721	RRN3
TULP4	hsa-miR-132-3p	ENSG00000130338	TULP4
SLC38A1	hsa-miR-132-3p	ENSG00000111371	SLC38A1
MAP1LC3B	hsa-miR-132-3p	ENSG00000140941	MAP1LC3B
