"UI92"	"UI93"	"UI96"	"N92"	"N93"	"WT96"	"WT91"	"WT94"	"N95"
"653635"	84	106	91	87	85	51	84	85	77
"102723897"	128	145	122	107	162	121	151	160	118
"101928626"	15	20	29	8	28	15	17	9	9
"100887749"	15	10	15	19	11	14	17	12	12
"100652939"	473	345	510	506	284	276	555	451	325
"107075141"	274	219	235	405	242	219	346	207	248
"107075310"	14	4	3	4	3	5	7	2	5
"106480796"	5926	4155	5826	7243	3803	3938	6940	4623	4682
"107075270"	8	6	9	7	12	6	11	11	5
"105378580"	43	32	62	10	14	7	10	10	19
"643837"	150	125	138	99	144	94	93	140	121
"79854"	30	46	36	19	47	35	15	31	41
"26155"	507	548	419	650	561	529	677	531	461
"339451"	89	149	107	97	131	109	155	155	84
"84069"	62	54	36	64	57	47	65	42	56
"84808"	4	1	3	23	18	15	37	20	22
"57801"	211	214	184	1192	913	711	1135	776	1415
"9636"	98	128	75	188	165	146	228	193	239
"375790"	11191	11235	9735	8753	7268	7841	10705	8206	7050
"100288175"	148	172	103	643	335	262	452	309	548
"401934"	58	61	51	266	154	177	251	213	228
"54991"	76	97	83	97	98	80	77	66	119
"254099"	27	62	32	11	32	13	10	20	22
"406984"	11	21	17	7	9	13	15	15	8
"406983"	11	24	15	4	12	8	7	5	20
"554210"	17	29	13	8	3	8	10	9	12
"51150"	3267	3447	2920	3874	2911	2617	3817	2788	2656
"126792"	713	635	574	531	309	332	414	375	343
"388581"	217	299	173	278	225	259	363	219	192
"118424"	525	521	457	522	449	503	681	560	367
"6339"	157	190	172	216	203	171	286	187	169
"116983"	1225	1334	930	1090	1114	958	1300	1256	950
"126789"	316	335	232	310	255	283	301	296	222
"54973"	814	781	724	881	867	776	1077	855	758
"80772"	815	834	671	714	441	399	583	569	538
"83756"	11	22	11	9	15	17	11	16	5
"1855"	1231	1111	875	1400	897	945	1284	1012	1028
"54587"	839	593	755	723	586	705	1004	569	658
"54998"	517	590	438	605	537	520	635	451	409
"81669"	1994	2248	2216	1605	2053	2061	2384	2309	2029
"148413"	127	115	120	54	61	41	48	69	75
"55052"	506	474	398	473	457	428	539	482	410
"64856"	880	934	816	917	741	794	1152	851	732
"219293"	21	10	15	13	17	9	48	39	12
"83858"	366	361	310	343	350	354	479	375	336
"55210"	211	176	171	193	187	147	180	168	151
"339453"	15	19	15	4	0	5	1	25	13
"29101"	1553	1562	1185	1927	1408	1409	2144	1522	1272
"643988"	27	27	17	22	17	21	24	37	20
"142678"	476	530	384	406	370	383	603	477	350
"984"	168	171	182	173	181	162	168	182	235
"728661"	1275	1642	1492	724	865	767	810	877	718
"728642"	31	31	35	21	34	29	25	42	23
"9906"	1869	2101	2133	824	1008	950	1049	1050	812
"65220"	955	930	906	839	803	738	929	798	726
"2782"	4275	4299	3401	5714	4030	4135	5121	4391	4606
"339456"	51	51	39	62	40	42	72	50	35
"85452"	9	8	3	19	14	15	24	6	5
"105378591"	10	13	30	15	9	12	20	9	17
"5590"	1099	1144	1028	1178	1028	1089	1394	978	1101
"100506504"	6	13	9	18	9	19	24	14	18
"199990"	302	194	260	287	237	247	331	237	254
"6497"	2635	2617	2191	2318	1339	1259	1730	1750	1882
"79906"	264	270	261	94	139	116	132	119	107
"100129534"	56	50	70	42	30	25	14	32	41
"11079"	1304	1402	1370	1160	1017	1082	1264	1049	950
"5192"	359	370	357	343	269	280	324	267	280
"9651"	33	68	51	72	90	62	62	75	96
"55229"	286	303	221	484	429	435	577	521	396
"8764"	759	746	763	637	659	573	850	669	669
"100996583"	10	1	3	10	4	2	8	5	5
"127281"	1198	1032	985	1452	947	1048	1559	1049	991
"79258"	15	21	17	14	18	9	23	14	20
"100287898"	174	173	263	27	24	21	18	26	29
"440556"	26	20	20	29	21	22	23	15	29
"63976"	406	409	346	422	359	349	321	385	367
"27237"	1008	1063	735	1272	930	808	1062	909	991
"1953"	195	97	81	180	67	96	225	113	98
"127262"	1812	2071	1505	2423	2145	2166	2515	2148	1652
"49856"	264	283	254	239	264	259	315	298	240
"7161"	275	279	267	186	161	199	203	188	164
"388588"	110	104	110	89	61	56	110	52	47
"57470"	780	869	677	871	843	790	850	860	631
"9731"	743	1015	909	698	801	754	726	928	647
"1677"	127	148	142	53	57	62	76	75	60
"339448"	156	195	222	129	146	175	152	197	183
"100133612"	327	507	371	95	147	129	128	162	101
"261734"	307	371	309	296	336	319	355	355	341
"8514"	248	327	251	185	166	195	232	219	127
"6146"	628	535	683	607	679	864	656	682	975
"388591"	804	522	587	394	433	379	490	518	440
"23463"	1953	2177	1838	1661	1480	1678	1761	1703	1327
"387509"	351	204	221	404	158	113	242	157	277
"11332"	905	839	725	963	763	905	1325	892	543
"83715"	1742	2093	1424	2476	1971	1796	2660	1885	1295
"8718"	140	163	142	179	162	169	263	204	194
"57449"	426	388	390	480	404	380	552	462	454
"79707"	919	988	903	608	811	732	746	914	620
"3104"	314	360	300	199	271	255	182	207	212
"9903"	666	688	583	648	539	664	956	793	436
"148479"	482	511	478	843	650	611	814	686	821
"90326"	196	163	162	270	230	252	348	279	185
"55735"	847	1063	775	873	959	984	922	1013	762
"23261"	183	196	160	267	203	262	268	216	235
"9341"	803	866	945	1062	1110	1075	884	1062	1070
"8863"	912	914	1026	820	999	912	759	761	954
"11315"	314	372	354	306	320	303	291	224	299
"54206"	198	133	201	990	486	486	665	595	786
"473"	4018	4514	3601	3646	3678	3599	3603	3829	3001
"644896"	19	11	21	10	3	13	7	11	12
"2023"	6236	5437	4149	11090	6041	7305	10657	7175	6805
"100505975"	10	27	11	4	1	2	10	2	0
"155184"	60	68	23	186	47	54	169	92	58
"6518"	10216	12274	3012	27368	13673	10688	28708	16497	8143
"80045"	1580	1674	1094	4854	2319	2498	4414	3095	4691
"106614088"	319	318	367	241	178	224	251	271	318
"102724571"	26	16	30	3	10	15	8	1	13
"9563"	1445	1445	1748	937	892	893	793	849	1145
"80176"	381	429	340	772	328	367	563	475	467
"84275"	168	145	144	203	179	207	282	187	207
"642740"	6	5	7	7	5	3	6	4	9
"199953"	530	418	480	436	336	428	520	456	352
"5293"	36	27	17	31	22	20	25	21	38
"101929074"	19	8	6	16	11	8	28	14	13
"22883"	4312	4368	4349	4020	3371	3478	3999	3729	3304
"56998"	164	171	157	158	98	170	193	159	107
"84328"	601	650	699	501	570	662	521	609	653
"64802"	84	95	88	37	71	58	77	96	50
"10277"	1641	2097	2063	1504	1967	1778	1405	1793	1623
"100420660"	7	14	15	5	4	6	8	4	6
"106479932"	15	9	5	6	3	9	7	11	4
"23095"	1409	1808	2006	1382	1983	1603	1132	1740	1782
"5226"	798	657	655	955	679	875	966	706	661
"378708"	11	6	5	0	3	10	10	1	3
"1676"	1024	1111	992	1246	1080	1030	1294	1214	978
"5195"	312	393	387	568	528	457	615	493	381
"54897"	694	797	585	987	855	802	904	967	747
"23435"	435	456	613	466	611	615	427	651	743
"6723"	492	350	400	472	288	381	401	352	303
"5394"	548	621	770	568	734	717	538	705	771
"2475"	967	1433	1351	703	1101	903	494	976	922
"29914"	401	358	313	371	299	302	404	325	288
"57540"	17	35	28	13	16	20	11	31	12
"26232"	1302	1358	954	1597	1082	1155	1874	1130	929
"93611"	388	490	399	423	402	389	484	413	357
"26270"	378	375	304	501	340	393	643	375	336
"10459"	292	257	237	412	277	323	466	305	258
"57085"	188	158	156	168	124	143	229	161	112
"4524"	1104	1123	935	717	664	558	735	644	639
"1185"	1029	1284	916	1159	1142	1007	1256	1290	1180
"90231"	3804	4728	3202	3651	3227	3493	3893	3847	2415
"5351"	1709	1962	1494	2477	1731	1700	2731	1906	1335
"9927"	1836	2416	1669	3719	3261	2894	3592	3195	2775
"60672"	264	274	218	266	215	221	287	262	234
"7133"	116	109	97	151	79	116	84	133	101
"55187"	651	541	757	393	647	448	349	492	546
"677882"	10	9	19	14	15	12	18	31	14
"9249"	1142	1370	1143	951	929	1015	1124	1069	732
"106479551"	13	16	14	4	4	4	4	2	3
"7799"	520	643	661	526	723	638	418	603	654
"23254"	231	214	137	303	150	161	224	187	127
"200197"	189	289	150	107	162	198	162	225	96
"55092"	479	635	428	339	439	380	493	434	266
"79180"	290	242	236	307	218	218	282	257	175
"842"	237	250	250	2071	1784	2902	4931	3191	4682
"23341"	609	833	944	585	732	842	500	841	888
"79814"	924	951	815	853	837	880	856	899	791
"84301"	768	772	881	609	847	981	777	739	1023
"23207"	789	839	689	1025	649	642	767	653	923
"284723"	28	19	21	3	9	10	7	21	6
"388595"	198	188	160	200	159	160	263	146	153
"54751"	228	206	202	319	162	159	225	164	290
"440567"	19	23	9	17	8	15	31	23	20
"729614"	81	69	72	57	83	58	101	85	54
"23013"	2190	1809	2073	2434	2312	1604	1678	2061	2402
"7709"	148	139	130	178	159	148	221	202	138
"348487"	30	57	22	59	19	36	58	66	47
"1969"	1673	937	838	5231	2551	2196	4013	2977	4579
"128272"	95	86	94	59	61	63	83	87	49
"79363"	13	14	10	3	3	5	8	2	1
"54455"	574	705	571	663	713	810	732	788	694
"26099"	1623	1695	1407	2499	1835	2229	2703	2093	1830
"55707"	302	360	315	349	323	345	345	352	343
"107984921"	52	38	64	18	34	41	39	63	52
"114819"	173	187	193	61	107	83	72	76	166
"55672"	535	642	751	190	382	317	229	395	272
"84809"	590	689	571	375	493	452	649	465	445
"9696"	42	52	33	28	32	39	32	38	37
"11223"	5	7	9	8	8	8	7	1	9
"105376805"	10	10	11	5	4	7	6	6	14
"4237"	88	48	93	101	68	92	121	97	70
"23400"	701	649	659	525	380	376	434	401	371
"6390"	1308	1385	1250	1397	1217	1446	1467	1284	1099
"11240"	79	83	189	47	60	111	65	69	101
"29943"	6	4	5	10	5	5	6	4	1
"55920"	953	862	935	867	753	1044	1077	831	821
"55160"	1405	1843	1872	920	1170	1270	1371	1366	1158
"127707"	261	344	334	156	205	210	339	261	142
"8659"	118	122	84	124	100	101	128	87	93
"126917"	477	489	451	361	331	377	427	508	253
"23352"	4616	6615	7633	4891	7870	4458	3431	6508	6376
"101927895"	8	10	5	9	7	17	13	17	8
"23065"	1499	1596	1543	1674	1431	1545	1771	1647	1442
"51154"	254	214	247	243	236	237	289	229	217
"246181"	43	48	34	26	32	42	77	58	36
"22977"	48	51	46	28	56	40	46	53	52
"8574"	551	583	553	619	537	531	677	636	436
"106481526"	18	21	28	18	24	16	21	27	17
"54896"	805	880	596	979	777	798	1063	922	570
"832"	1859	1923	1694	2627	1854	2169	2914	2404	2242
"440574"	64	89	132	44	76	74	58	53	72
"4681"	148	141	199	254	145	224	263	183	233
"255104"	231	234	256	309	205	264	367	236	226
"54546"	106	149	68	505	294	243	290	210	320
"23252"	145	149	168	115	179	199	183	186	205
"5320"	6	8	14	22	24	18	30	1	9
"55450"	4100	3910	3986	4550	3497	3386	3728	3406	3437
"79594"	526	649	374	516	579	442	518	585	340
"978"	131	181	84	285	156	154	221	148	134
"65018"	693	895	491	706	652	571	718	594	418
"100861548"	260	283	271	235	191	185	273	273	199
"1650"	2214	2346	2144	2639	1975	2278	2798	2332	2058
"57576"	12	11	5	14	6	14	15	10	3
"400745"	18	25	15	27	22	24	32	36	22
"50809"	2077	2406	2537	2085	2375	2630	2064	2539	2810
"8672"	1193	901	1224	862	1030	934	798	941	1157
"1889"	2473	3063	2399	2977	2534	2596	3306	2880	2188
"84224"	123	102	126	75	72	90	75	53	81
"5909"	611	528	396	641	451	420	642	460	440
"84196"	411	402	518	333	500	437	287	416	396
"401944"	22	5	3	0	0	18	6	0	0
"3339"	8907	7745	8410	7202	6040	6983	8815	6149	6912
"29092"	87	89	118	21	26	14	23	30	13
"998"	2510	2735	2729	3392	2769	3352	3169	2986	3231
"9923"	1157	1861	1596	1094	1618	1424	957	1738	1204
"2046"	23	6	9	22	8	15	37	11	8
"2048"	60	42	61	45	46	40	25	39	36
"23028"	749	789	857	805	957	1088	763	908	828
"7798"	261	390	413	470	596	486	325	530	582
"3352"	69	84	52	58	77	56	58	87	72
"10236"	768	618	739	543	664	687	507	552	725
"80818"	80	92	134	54	120	86	39	113	77
"148898"	28	55	74	22	11	27	13	30	32
"6920"	242	282	315	95	116	173	128	170	119
"55616"	69	63	77	55	43	52	86	48	49
"1870"	20	8	30	23	11	29	11	15	28
"3399"	10	7	8	33	33	30	35	25	23
"6135"	1259	1232	1179	1180	1321	1690	1602	1288	1636
"100506963"	108	141	143	56	91	109	92	123	88
"6924"	428	484	487	347	421	463	391	475	469
"57095"	300	301	285	403	357	385	520	441	410
"11313"	595	539	480	721	633	567	783	669	543
"2582"	850	717	603	920	726	652	776	587	749
"3155"	292	331	338	315	254	289	338	259	230
"2517"	780	924	895	904	918	882	949	852	810
"55629"	551	416	614	501	615	729	380	503	860
"10772"	971	835	1236	762	961	992	676	776	1133
"127294"	290	321	330	194	189	224	251	196	243
"58985"	1059	1057	822	1363	930	1052	1316	1034	906
"163702"	723	970	570	2027	1560	1399	1874	1440	1406
"90529"	82	99	97	96	83	99	104	92	86
"57185"	356	405	586	206	262	321	266	278	259
"100750325"	19	12	19	12	11	9	13	10	10
"11123"	356	406	472	358	383	445	270	337	410
"400746"	115	85	100	196	107	151	130	151	123
"10250"	1493	1556	1737	1982	2235	1868	1663	1923	2052
"25932"	787	794	1204	834	957	1070	662	767	1479
"864"	25	29	15	23	27	24	20	34	41
"25949"	68	79	78	62	57	51	62	42	56
"57035"	564	780	904	458	646	652	467	730	679
"23585"	1182	1292	1186	1135	995	1075	1143	1178	960
"6006"	10	2	4	8	4	2	7	5	8
"55219"	280	329	374	334	298	317	276	360	339
"26119"	336	442	320	309	337	347	405	358	224
"57134"	340	403	633	87	150	233	145	159	142
"57190"	1413	1479	1940	1346	1157	1359	1387	1275	1217
"56181"	350	494	445	295	359	384	451	432	267
"79000"	7	10	11	3	4	8	8	7	17
"164091"	577	543	616	461	408	507	517	382	394
"3925"	98	84	167	125	98	146	127	116	142
"5051"	435	568	463	350	414	388	415	380	266
"7780"	90	77	54	147	64	75	144	49	61
"149420"	56	47	50	12	33	43	31	21	41
"51042"	136	142	100	163	121	117	182	98	127
"10256"	15	14	10	18	10	13	10	14	6
"101928303"	27	36	27	15	23	12	18	14	33
"64793"	161	222	200	203	180	189	177	177	213
"83442"	1220	985	961	2371	1132	1244	1687	1230	1444
"91544"	102	108	82	79	105	69	120	86	106
"55057"	2893	2501	1815	6062	4283	2634	4182	3214	4363
"79947"	467	549	506	507	542	461	458	560	500
"3151"	411	398	567	328	380	358	324	311	473
"6195"	609	679	449	900	716	687	925	775	764
"101928728"	23	28	28	6	14	11	8	9	3
"8289"	3698	4274	4450	4622	4537	3717	3026	3770	3635
"55650"	381	395	410	265	242	277	338	262	215
"84243"	514	510	477	649	438	435	581	555	410
"2810"	115	72	86	175	101	116	149	101	160
"54707"	596	663	536	494	576	631	712	658	528
"63906"	114	159	133	123	142	159	211	191	86
"10726"	277	281	278	318	273	320	338	290	275
"8431"	4	4	10	3	7	9	4	4	18
"126695"	360	392	351	383	297	364	386	344	316
"388610"	365	192	330	309	150	249	321	229	355
"115572"	41	26	28	63	30	66	72	80	37
"6548"	1242	1218	1028	1802	1497	1104	1395	1433	1342
"23038"	1097	1188	1009	1381	1035	1051	1335	1087	1064
"84065"	619	630	542	528	541	450	659	535	421
"84958"	206	177	171	199	135	166	206	177	244
"9064"	129	89	63	150	70	73	121	97	123
"10163"	2247	2365	2222	4307	2651	3031	3447	2913	3323
"27245"	802	910	880	934	704	664	901	760	846
"2537"	21	9	5	13	7	3	13	16	6
"199870"	146	147	161	78	121	125	66	113	92
"23673"	425	482	583	475	512	654	366	518	621
"5511"	259	287	282	150	193	261	224	216	202
"677774"	65	57	67	61	47	57	96	57	33
"6118"	290	372	370	254	303	344	308	291	298
"27293"	238	260	230	232	267	248	280	284	213
"55113"	383	424	343	312	249	281	325	328	193
"2140"	392	445	509	403	500	486	359	542	493
"22826"	541	652	593	729	735	803	725	824	707
"93974"	734	831	877	747	722	761	781	664	731
"83667"	1075	959	841	1059	891	803	945	765	776
"54797"	106	101	97	52	64	43	77	50	46
"65979"	1300	1369	1511	1184	1168	1279	1308	1354	1104
"106481167"	6	10	9	4	2	9	6	9	12
"1104"	514	436	463	510	417	588	707	523	423
"8420"	1059	941	979	1166	781	1046	1271	1028	1126
"26768"	4608	4347	3925	5272	4134	5499	8625	4554	3941
"54952"	144	151	136	185	189	173	189	173	166
"85028"	133	98	101	160	107	152	168	129	155
"6883"	71	73	82	62	70	60	63	50	60
"115273"	23	22	15	10	17	27	31	33	23
"10691"	156	203	192	105	123	137	115	149	105
"51441"	748	830	787	730	840	830	852	834	832
"2035"	1013	1197	1335	995	1275	1050	736	1098	1203
"399474"	13	12	15	11	7	4	10	7	9
"6429"	991	1075	1024	1192	1290	1255	1140	1289	1259
"51102"	143	176	185	76	106	82	62	79	88
"10076"	3030	2904	2536	2522	1841	2021	2357	2046	1891
"100129196"	67	60	40	42	28	24	48	37	37
"7805"	188	199	125	342	208	170	294	239	153
"9672"	126	124	92	120	63	81	132	85	79
"9698"	2192	2757	2776	3023	3413	3527	2481	3210	3477
"9410"	345	333	361	268	301	364	322	312	355
"51538"	59	68	85	66	60	93	58	80	86
"347735"	2935	2857	2358	3580	2647	2574	3440	2705	2549
"64129"	776	379	358	1657	607	537	852	627	1319
"553115"	513	559	443	712	641	506	600	576	436
"576"	10	15	9	19	7	6	17	22	12
"90853"	19	14	11	14	5	4	18	10	8
"8073"	2025	2015	2147	2134	1919	2090	1828	1877	2149
"10657"	1608	1464	1440	1977	1541	1619	1853	1668	1634
"55116"	125	121	132	114	86	106	86	133	51
"23633"	2090	2376	2064	3095	3006	2951	2906	2960	2601
"200081"	1171	1088	1129	903	879	847	853	944	854
"55721"	33	32	24	21	20	12	13	18	4
"56063"	268	305	234	200	214	178	220	248	174
"8668"	865	1087	1043	1305	1419	1356	1042	1337	1297
"3065"	949	1190	1162	1070	1210	1248	1207	1460	1347
"65108"	1186	983	1248	1269	1028	1261	1270	1339	1017
"81629"	93	55	91	13	21	14	6	9	12
"100128071"	152	225	152	98	221	227	238	334	144
"55108"	1313	1865	1271	2396	2475	2243	2392	2391	2070
"653121"	15	12	24	11	11	13	8	12	17
"339487"	261	301	275	178	245	225	231	250	230
"5928"	1267	1485	1523	1190	1379	1595	1166	1435	1370
"57648"	7316	6707	6413	8550	5010	5226	5763	5569	6297
"8565"	1780	1493	1557	2146	1488	1235	1553	1302	2084
"64766"	434	482	548	163	240	209	166	205	271
"252995"	6	4	18	3	8	8	6	10	8
"113452"	160	172	179	222	118	142	168	176	224
"127544"	977	981	809	2771	1703	1522	2181	1788	2656
"204"	3373	4194	4007	3583	3637	3764	3418	3646	3563
"113451"	106	101	109	57	66	68	68	79	87
"55223"	73	90	80	75	77	63	79	63	65
"149076"	326	330	450	299	248	312	334	209	285
"1912"	992	874	948	1234	742	812	946	831	928
"106480837"	12	15	14	16	9	12	6	5	6
"7579"	33	48	45	11	28	36	21	36	38
"114784"	34	62	29	29	32	34	48	28	10
"113444"	346	408	388	215	244	147	197	214	192
"9204"	110	106	120	69	70	65	41	66	83
"79830"	293	233	274	159	205	204	144	172	185
"6421"	4557	4116	3982	3715	3845	4390	4245	4161	3283
"9202"	544	391	492	220	325	319	246	279	309
"643343"	19	12	15	5	10	13	6	1	13
"79932"	1770	2056	2245	1678	1859	1728	1649	1757	1914
"23154"	395	400	397	267	294	267	289	303	207
"339488"	15	16	14	12	15	11	14	22	8
"5690"	1208	1222	1039	1894	1477	1516	1737	1653	1267
"127703"	33	27	32	28	14	8	23	20	22
"63967"	17	6	33	7	13	16	13	9	14
"192670"	343	385	389	321	492	372	177	325	415
"26523"	1321	1537	1463	1062	1309	1212	1017	1363	1046
"192669"	884	686	873	715	736	826	696	803	933
"54936"	213	198	168	232	205	237	228	202	183
"27095"	570	598	445	554	525	508	635	492	490
"55700"	489	505	335	599	463	423	527	475	368
"9967"	1699	2290	2080	1531	2203	2051	1407	2095	2040
"79729"	911	1014	631	1196	1082	1013	1637	1243	932
"55194"	96	68	78	54	42	45	38	31	26
"83931"	1820	1396	1272	2495	1244	1289	1937	1356	1874
"84967"	90	53	54	53	40	65	55	38	52
"127700"	10	8	9	8	8	13	6	9	10
"64960"	201	192	212	225	203	267	311	215	179
"1441"	29	11	42	35	11	33	23	21	37
"728431"	35	41	39	37	20	20	41	20	43
"80149"	250	175	181	405	218	225	320	251	547
"64769"	474	546	564	718	674	626	596	660	672
"79753"	231	285	257	231	388	339	262	336	366
"29889"	210	182	227	243	247	174	211	253	298
"54955"	194	200	199	135	140	189	163	176	141
"55143"	53	37	94	82	51	85	59	57	84
"284656"	489	487	400	217	235	224	291	212	215
"149175"	1205	1151	1089	1023	722	705	922	849	606
"79693"	176	172	106	368	189	218	334	224	170
"127687"	460	441	313	494	342	313	476	397	314
"4520"	322	450	459	339	418	404	277	481	458
"3633"	382	412	479	245	310	301	286	306	339
"10946"	255	268	272	171	269	224	220	288	253
"2275"	303	195	215	455	230	246	387	305	326
"51118"	234	234	195	198	233	232	204	263	228
"64121"	233	303	285	317	364	436	282	430	291
"105378663"	68	69	46	43	32	48	61	52	29
"26292"	43	43	73	27	52	66	32	55	47
"79647"	1670	1514	1508	2723	1779	2046	2569	2138	2109
"4725"	430	405	447	531	405	477	580	437	459
"23499"	1412	970	1255	1047	1483	1070	1067	1379	1273
