"UI92"	"UI93"	"UI96"	"N92"	"N93"	"WT96"	"WT91"	"WT94"	"N95"
"ENSG00000227232.5"	104	113	106	89	99	53	60	69	60
"ENSG00000279457.4"	159	155	142	110	188	126	107	130	92
"ENSG00000237094.12"	16	4	13	8	9	13	5	17	13
"ENSG00000230021.10"	18	21	34	8	32	16	12	7	7
"ENSG00000225972.1"	18	11	18	19	13	15	12	10	9
"ENSG00000225630.1"	587	368	593	518	330	286	394	367	254
"ENSG00000237973.1"	340	233	273	415	281	227	246	168	194
"ENSG00000229344.1"	17	4	3	4	4	5	5	2	4
"ENSG00000248527.1"	7350	4427	6777	7418	4424	4087	4929	3759	3663
"ENSG00000198744.5"	10	6	10	7	14	6	8	9	4
"ENSG00000228327.3"	243	230	237	117	172	104	72	103	120
"ENSG00000237491.10"	53	34	72	10	16	7	7	8	15
"ENSG00000230092.7"	22	12	22	7	10	27	7	10	7
"ENSG00000228794.10"	186	133	160	101	168	98	66	114	95
"ENSG00000225880.5"	37	49	42	19	55	36	11	25	32
"ENSG00000188976.11"	629	584	487	666	653	549	481	432	361
"ENSG00000187961.14"	110	159	125	99	152	113	110	126	66
"ENSG00000187583.11"	77	58	42	66	66	49	46	34	44
"ENSG00000187642.9"	5	1	3	24	21	16	26	16	17
"ENSG00000272512.1"	20	21	21	143	232	346	284	276	279
"ENSG00000188290.11"	262	228	214	1221	1062	738	806	631	1107
"ENSG00000187608.10"	122	136	87	193	192	152	162	157	187
"ENSG00000188157.15"	13881	11970	11323	8965	8454	8138	7603	6673	5515
"ENSG00000217801.10"	183	183	120	659	390	272	321	251	429
"ENSG00000273443.1"	49	41	18	30	40	25	36	23	28
"ENSG00000237330.3"	72	65	59	272	179	184	178	173	178
"ENSG00000131591.17"	94	103	97	99	114	83	55	54	93
"ENSG00000223823.1"	33	66	37	11	37	13	7	16	17
"ENSG00000207730.3"	14	22	20	7	11	13	11	12	6
"ENSG00000207607.3"	14	26	18	4	14	8	5	4	16
"ENSG00000198976.1"	21	31	15	8	3	8	7	7	9
"ENSG00000272141.1"	135	160	112	52	79	71	42	57	97
"ENSG00000078808.18"	4052	3672	3397	3968	3386	2716	2711	2267	2078
"ENSG00000176022.7"	885	677	668	544	360	345	294	305	268
"ENSG00000184163.3"	269	319	201	285	262	269	258	178	150
"ENSG00000160087.21"	651	555	532	535	522	522	484	455	287
"ENSG00000230415.1"	12	15	13	2	10	6	9	8	1
"ENSG00000162572.21"	195	202	200	221	236	177	203	152	132
"ENSG00000131584.19"	1520	1421	1082	1116	1296	994	923	1021	743
"ENSG00000169972.12"	392	357	270	318	297	294	214	241	174
"ENSG00000127054.21"	1010	832	842	902	1008	805	765	695	593
"ENSG00000240731.1"	27	55	35	24	54	39	26	24	13
"ENSG00000224051.7"	1011	889	780	731	513	414	414	463	421
"ENSG00000169962.5"	14	23	13	9	17	18	8	13	4
"ENSG00000107404.20"	1527	1184	1018	1434	1043	981	912	823	804
"ENSG00000162576.17"	1041	632	878	740	682	732	713	463	515
"ENSG00000175756.13"	641	629	509	620	625	540	451	367	320
"ENSG00000221978.12"	2473	2395	2578	1644	2388	2139	1693	1878	1587
"ENSG00000224870.7"	158	122	139	55	71	43	34	56	59
"ENSG00000242485.6"	628	505	463	484	532	444	383	392	321
"ENSG00000272455.1"	158	116	118	30	40	30	12	19	23
"ENSG00000179403.12"	1092	995	949	939	862	824	818	692	573
"ENSG00000215915.10"	26	11	18	13	20	9	34	32	9
"ENSG00000160072.20"	454	385	361	351	407	367	340	305	263
"ENSG00000197785.14"	262	187	199	198	217	153	128	137	118
"ENSG00000205090.9"	19	20	18	4	0	5	1	20	10
"ENSG00000160075.12"	1926	1664	1378	1974	1638	1462	1523	1238	995
"ENSG00000215014.5"	24	26	20	8	12	12	11	7	8
"ENSG00000228594.4"	33	29	20	23	20	22	17	30	16
"ENSG00000272106.1"	78	102	63	49	70	35	45	59	48
"ENSG00000197530.12"	590	565	447	416	430	398	428	388	274
"ENSG00000248333.8"	209	182	212	177	211	168	119	148	184
"ENSG00000189339.12"	1582	1749	1736	742	1006	796	575	713	562
"ENSG00000008128.23"	38	33	41	22	39	30	18	34	18
"ENSG00000268575.1"	295	326	398	115	179	137	70	114	117
"ENSG00000215790.7"	2318	2238	2481	844	1173	986	745	854	635
