"UI92"	"UI93"	"UI96"	"N92"	"N93"	"WT96"	"WT91"	"WT94"	"N95"
"ENSG00000227232.5"	1.26118269629445	1.08344400375856	1.18277703765473	1.04160368412992	1.18276419112394	1.05551479854756	0.722686168431209	0.827248033214437	0.795906687918117
"ENSG00000279457.4"	1.26131214768463	1.08348569928098	1.18285011927435	1.04163286192871	1.18288333260907	1.0555825474455	0.722549725484422	0.827162042268074	0.795824667526391
"ENSG00000237094.12"	1.25940657993973	1.08162111828839	1.18131211868205	1.04116636803248	1.18066649506929	1.05512816184812	0.726357289881579	0.827806108174039	0.796824563843377
"ENSG00000230021.10"	1.25916612650202	1.08262525426319	1.18179742097041	1.04079610699821	1.18176220510264	1.05480983374082	0.723706796351384	0.828788342685256	0.797663217743953
"ENSG00000225972.1"	1.25954964877298	1.0826528601872	1.1816577848098	1.04129229845267	1.18125170002502	1.0551146526861	0.723927226101045	0.82839166724155	0.797367209086691
"ENSG00000225630.1"	1.2614716944208	1.08352984879336	1.18297274631921	1.04166793395856	1.18294681760082	1.05561756948921	0.722419175877577	0.827098886222515	0.795717746694349
"ENSG00000237973.1"	1.26142781372887	1.08351322799614	1.18292863678411	1.04166146292065	1.18293064812765	1.05560859957357	0.722447470241427	0.8271445383915	0.795734800965121
"ENSG00000229344.1"	1.25886450676363	1.08106131229667	1.17598147327158	1.04032424661381	1.17748522254762	1.05410340358758	0.725981354948232	0.833891821802477	0.799332777946392
"ENSG00000248527.1"	1.26152647987976	1.08355373307668	1.18300925476278	1.04167845878657	1.18300773985877	1.05563666384219	0.72237446853419	0.827065668911077	0.795658886248841
"ENSG00000198744.5"	1.25800751093608	1.08194118031292	1.18060857101514	1.04088698168859	1.18114903731518	1.05453910466173	0.724659417283375	0.828415278441162	0.799565738970974
"ENSG00000228327.3"	1.2613481774087	1.08347497978059	1.18287658154947	1.04160961388331	1.18284583866097	1.05555089026742	0.722627576521344	0.827173602684057	0.795761998592339
"ENSG00000237491.10"	1.26023441110032	1.08272440452729	1.18206404465987	1.04083008189773	1.18113449319043	1.05446699831098	0.724912974502949	0.828496530198044	0.796344501265657
"ENSG00000230092.7"	1.25952359456716	1.08242324317122	1.1815423082256	1.04079786915558	1.18050749662175	1.05495687711201	0.724963937291108	0.828175681356832	0.797698136033918
