Rank	ID	GeneSet	Description	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	gmtcustom1	HALLMARK_TNFA_SIGNALING_VIA_NFKB	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB	170/200	2.10988532896762e-48	1.05494266448381e-46	5	1.91666666666667	1	1.75823777413968e-49	1	1.66821498162869	1.71882966100278	1	100	1	1	5	1	1	4	1	2	1	1	1	4
2	gmtcustom22	HALLMARK_HEDGEHOG_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_HEDGEHOG_SIGNALING	25/36	1.62364875882069e-26	4.05912189705173e-25	50	27.25	22.5	1.35304063235057e-27	1	0.922221202413954	-0.690961837062016	-1	29.2457784304375	49	49	4	18	7	1	48	50	27	15	12	47
3	gmtcustom6	HALLMARK_TGF_BETA_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TGF_BETA_SIGNALING	51/54	2.37494305846934e-25	3.95823843078223e-24	10	9.75	8	1.97911921539111e-26	2	0.998743140999969	1.09532842542224	1	30.3927107020196	13	22	2	9	6	2	18	6	7	2	9	21
4	gmtcustom5	HALLMARK_WNT_BETA_CATENIN_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_WNT_BETA_CATENIN_SIGNALING	39/42	9.35545148547926e-25	1.16943143568491e-23	50	25.4166666666667	20.5	7.7962095712327e-26	3	1.0437376630419	1.25884183077251	1	31.1262115135154	47	45	3	11	13	3	44	34	18	22	19	46
5	gmtcustom2	HALLMARK_HYPOXIA	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_HYPOXIA	174/200	1.46242331700045e-22	1.46242331700045e-21	5	4.16666666666667	3.5	1.21868609750037e-23	2	1.19685967786332	1.25407957852004	1	32.4334392407271	2	4	7	2	8	6	2	3	2	4	2	8
6	gmtcustom40	HALLMARK_ANGIOGENESIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ANGIOGENESIS	24/36	4.55429387661668e-20	3.79524489718057e-19	25	22.4166666666667	23	3.79524489718056e-21	5	0.882091974008184	0.961660888388359	1	21.0932827539905	29	33	15	23	10	5	35	23	24	23	14	35
7	gmtcustom26	HALLMARK_MTORC1_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MTORC1_SIGNALING	191/200	1.7278361628857e-16	1.2341686877755e-15	5	7.5	6.5	1.43986346907142e-17	2	0.832149857838567	0.875842322970545	1	16.0774876095559	5	5	6	15	2	7	5	13	10	11	8	3
8	gmtcustom17	HALLMARK_PROTEIN_SECRETION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_PROTEIN_SECRETION	93/96	2.3553042501042e-16	1.47206515631512e-15	5	19.5	13	1.96275354175349e-17	1	0.578600511052335	0.575718644901412	1	11.0854865014659	4	2	36	48	30	8	3	1	12	36	40	14
9	gmtcustom31	HALLMARK_INFLAMMATORY_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE	114/200	7.86345015404888e-16	4.36858341891605e-15	10	8.5	7.5	6.55287512837405e-17	3	1.05238003430202	1.08199766367671	1	19.609158185988	7	6	10	3	14	9	8	7	4	18	3	13
10	gmtcustom11	HALLMARK_NOTCH_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_NOTCH_SIGNALING	30/32	1.8722765044303e-15	8.88802245476646e-15	50	35.75	44	1.56023042035859e-16	10	0.603132000738229	-0.659758296938774	-1	10.9456615265968	44	47	28	36	11	10	49	44	17	45	50	48
