Rank	ID	GeneSet	Description	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	gmtcustom40	HALLMARK_ANGIOGENESIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ANGIOGENESIS	24/36	4.88710323887305e-07	2.44355161943653e-05	30	24.5	29	4.07258694462212e-08	1	0.650479001557448	-0.724253196126446	-1	100	29	29	2	15	12	1	39	48	43	5	42	29
2	gmtcustom17	HALLMARK_PROTEIN_SECRETION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_PROTEIN_SECRETION	93/96	1.0650317838978e-06	2.6625794597445e-05	5	15.5	8	8.87526919818594e-08	1	0.417879057513268	-0.417879057513268	-1	63.7218780175011	5	7	19	47	23	2	1	5	9	36	25	7
3	gmtcustom50	HALLMARK_PANCREAS_BETA_CELLS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_PANCREAS_BETA_CELLS	19/40	3.76795569454468e-06	6.27992615757447e-05	5	16.4166666666667	17	3.13996850145276e-07	1	0.688367094365489	-0.688793542214408	-1	96.4184272141494	30	20	3	16	8	3	22	3	18	1	50	23
4	gmtcustom1	HALLMARK_TNFA_SIGNALING_VIA_NFKB	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB	170/200	7.82887414697049e-06	9.78609268371311e-05	5	8.08333333333333	5	6.52408519911939e-07	1	0.744762567111094	-0.764581472358784	-1	99.5349564438828	1	17	13	2	1	12	3	17	5	4	5	17
5	gmtcustom42	HALLMARK_COAGULATION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_COAGULATION	97/138	0.000303852073630699	0.00303852073630699	35	27.1666666666667	30.5	2.53245331640389e-05	1	1.15387108355607	-1.28526815344592	-1	96.8228829838553	35	38	34	5	28	31	30	27	45	11	1	41
6	gmtcustom6	HALLMARK_TGF_BETA_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TGF_BETA_SIGNALING	51/54	0.000597065229020463	0.00492098974334342	5	8.16666666666667	7.5	4.97690567664627e-05	1	0.677025825659517	-0.678203497923794	-1	52.0840055875341	2	12	10	26	11	7	8	1	1	2	6	12
7	gmtcustom43	HALLMARK_IL2_STAT5_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_IL2_STAT5_SIGNALING	145/199	0.000688938564068079	0.00492098974334342	10	11.8333333333333	9.5	5.74296834605375e-05	2	0.657299678284744	-0.65825937803129	-1	50.5664156674582	3	6	15	12	6	16	7	12	2	10	44	9
8	gmtcustom39	HALLMARK_UV_RESPONSE_DN	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_UV_RESPONSE_DN	121/144	0.00215895020665271	0.0134934387915795	5	9	6	0.000180090789992087	2	0.77728932474556	-0.702026995975146	-1	48.4471302344461	4	2	18	25	16	17	2	2	3	8	9	2
9	gmtcustom29	HALLMARK_MYC_TARGETS_V2	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MYC_TARGETS_V2	56/58	0.00349000974532505	0.0193889430295836	20	23.9166666666667	21.5	0.00029130040014414	4	0.517079333880767	0.517079333880767	1	29.5146260735739	31	39	8	37	19	4	24	18	16	17	35	39
10	gmtcustom7	HALLMARK_IL6_JAK_STAT3_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_IL6_JAK_STAT3_SIGNALING	55/87	0.00570565364556109	0.0242213036996271	10	8.41666666666667	7	0.000476719089025228	1	0.691959309679431	-0.711310703836465	-1	37.2680664599867	6	1	9	6	17	5	11	4	8	16	17	1
11	gmtcustom10	HALLMARK_APOPTOSIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS	133/161	0.00629753896190303	0.0242213036996271	10	12.1666666666667	10	0.000526315789473684	3	0.596461420693225	-0.608920998095364	-1	32.1244536416864	10	9	5	19	3	29	10	16	13	7	20	5
12	gmtcustom24	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_UNFOLDED_PROTEIN_RESPONSE	112/113	0.00629753896190303	0.0242213036996271	5	12.25	4	0.000526315789473684	1	0.610892657987971	-0.610892657987971	-1	32.9017346676985	8	3	1	38	4	41	4	8	4	3	30	3
13	gmtcustom38	HALLMARK_UV_RESPONSE_UP	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_UV_RESPONSE_UP	138/158	0.00629753896190303	0.0242213036996271	35	25.6666666666667	26	0.000526315789473684	2	0.505492776803495	-0.521496247702737	-1	27.2247905418854	33	36	16	33	2	26	16	25	14	26	41	40
14	gmtcustom31	HALLMARK_INFLAMMATORY_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE	114/200	0.00793272990848704	0.0283311782445966	10	10.3333333333333	10	0.000663476585689191	1	0.728513818674364	-0.718589277537013	-1	37.5839728347181	7	10	25	1	13	14	6	11	7	12	8	10
15	gmtcustom15	HALLMARK_ANDROGEN_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ANDROGEN_RESPONSE	91/100	0.0154339743874931	0.048231169960916	10	18.9166666666667	14.5	0.00129535347362795	7	0.781941988057019	-0.781941988057019	-1	34.3177392391007	9	8	29	28	36	33	9	9	31	20	7	8
16	gmtcustom48	HALLMARK_KRAS_SIGNALING_UP	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_KRAS_SIGNALING_UP	130/200	0.0151697679803889	0.048231169960916	5	13.25	10	0.00127302284675742	3	0.711173635897755	-0.717643138421136	-1	31.2117283278416	15	4	7	3	21	6	28	34	21	13	3	4
17	gmtcustom30	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	127/200	0.0176260629150517	0.0518413615148581	15	15.6666666666667	12.5	0.0014808401210775	2	0.892315403665031	-0.892315403665031	-1	38.2295655538454	12	5	27	4	34	38	13	10	22	15	2	6
18	gmtcustom5	HALLMARK_WNT_BETA_CATENIN_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_WNT_BETA_CATENIN_SIGNALING	39/42	0.0267384161604682	0.0742733782235228	20	15.5833333333333	17	0.00225598396264153	6	0.7283803089588	-0.691351739119027	-1	27.4143402763905	19	18	11	14	22	8	20	6	29	6	16	18
19	gmtcustom34	HALLMARK_OXIDATIVE_PHOSPHORYLATION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_OXIDATIVE_PHOSPHORYLATION	197/200	0.0385037193200573	0.101325577158046	40	27.4166666666667	32	0.00326670120043124	6	0.428617911911848	-0.428617911911848	-1	14.2042370500887	16	32	39	50	42	9	15	13	6	38	37	32
20	gmtcustom2	HALLMARK_HYPOXIA	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_HYPOXIA	174/200	0.0459556110203661	0.114889027550915	25	19.5833333333333	20.5	0.0039127484474376	10	0.687032762694063	-0.707793272202853	-1	21.5194568151112	11	22	23	10	14	20	25	38	15	23	13	21
21	gmtcustom27	HALLMARK_E2F_TARGETS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_E2F_TARGETS	198/200	0.114572265971567	0.272791109456113	30	25.3333333333333	27.5	0.0100891294170269	5	0.741179507025638	0.809248415135786	1	13.9370483185851	13	28	46	27	37	24	5	7	10	46	33	28
22	gmtcustom26	HALLMARK_MTORC1_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MTORC1_SIGNALING	191/200	0.136502451913245	0.310232845257376	15	21.75	21	0.0121558649659677	9	0.581129794561607	-0.587831503803344	-1	9.84512093069347	14	14	22	40	9	27	17	30	20	22	32	14
23	gmtcustom28	HALLMARK_MYC_TARGETS_V1	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MYC_TARGETS_V1	200/200	0.169373881688249	0.368204090626629	35	33.4166666666667	34	0.0153456619769045	10	0.526735375254712	-0.536918413727765	-1	7.61711924921061	36	34	37	49	26	10	32	36	44	29	34	34
