Rank	ID	GeneSet	Description	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	gmtcustom1	HALLMARK_TNFA_SIGNALING_VIA_NFKB	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB	170/200	1.24029427610211e-42	6.20147138051054e-41	5	3.08333333333333	1	1.03357856341842e-43	1	1.57530199429223	1.62614383286273	1	100	1	15	4	1	1	4	1	1	1	1	1	6
2	gmtcustom22	HALLMARK_HEDGEHOG_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_HEDGEHOG_SIGNALING	25/36	3.06664838849665e-20	7.66662097124163e-19	50	26.1666666666667	20	2.5555403237472e-21	1	0.948104150765976	-0.730041462495961	-1	27.0107781607229	48	49	3	14	8	1	49	43	26	14	9	50
3	gmtcustom2	HALLMARK_HYPOXIA	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_HYPOXIA	174/200	7.32648306799129e-19	1.22108051133188e-17	5	3.66666666666667	3	6.10540255665941e-20	1	1.06637404149042	1.12570544877606	1	28.3714295514517	2	1	6	2	5	7	2	4	2	4	2	7
4	gmtcustom6	HALLMARK_TGF_BETA_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TGF_BETA_SIGNALING	51/54	1.09294789582312e-16	1.3661848697789e-15	35	17.1666666666667	16	9.10789913185932e-18	2	0.959145382450613	1.04313014943909	1	22.3970212794572	22	32	2	18	6	2	30	32	14	3	14	31
5	gmtcustom5	HALLMARK_WNT_BETA_CATENIN_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_WNT_BETA_CATENIN_SIGNALING	39/42	3.15557739452861e-16	3.15557739452861e-15	45	27.6666666666667	27.5	2.62964782877384e-17	3	1.02459543958111	-0.87762528476768	-1	23.3462644007267	44	45	34	11	17	3	44	45	12	21	11	45
6	gmtcustom33	HALLMARK_FATTY_ACID_METABOLISM	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_FATTY_ACID_METABOLISM	142/158	1.08961622897187e-14	9.08013524143227e-14	20	19.5	17	9.08013524143233e-16	5	0.7304660256314	0.679677553743041	1	14.9175871192466	18	28	11	36	11	5	16	17	31	16	17	28
7	gmtcustom49	HALLMARK_KRAS_SIGNALING_DN	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_KRAS_SIGNALING_DN	89/200	1.94366293887044e-14	1.38833067062174e-13	50	34.0833333333333	40.5	1.61971911572538e-15	6	1.03532729747402	-0.665863505416459	-1	20.9021273798713	45	48	46	10	31	6	47	47	36	12	35	46
8	gmtcustom26	HALLMARK_MTORC1_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MTORC1_SIGNALING	191/200	4.13804739950807e-13	2.58627962469254e-12	5	7.58333333333333	5	3.44837283292403e-14	3	0.7812421013987	0.795676577430692	1	14.1678870818938	5	3	5	20	3	8	4	13	10	10	5	5
9	gmtcustom3	HALLMARK_CHOLESTEROL_HOMEOSTASIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_CHOLESTEROL_HOMEOSTASIS	69/74	1.19076687213379e-12	6.61537151185439e-12	5	5.58333333333333	5.5	9.92305726778697e-14	1	0.803178946262446	0.829425639277446	1	14.0518183455616	3	2	1	8	4	10	7	8	3	9	10	2
10	gmtcustom10	HALLMARK_APOPTOSIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS	133/161	1.68320986249144e-12	8.41604931245718e-12	5	5.75	5.5	1.40267488541061e-13	2	0.92350560462741	1.01950575819588	1	16.0260211257816	4	4	8	5	2	9	6	10	4	8	6	3
11	gmtcustom11	HALLMARK_NOTCH_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_NOTCH_SIGNALING	30/32	7.00554968697062e-12	3.18434076680483e-11	50	36.3333333333333	40.5	5.83795807249425e-13	9	0.454901120373326	-0.467932195308191	-1	7.4048782872614	46	50	35	35	9	11	50	39	20	42	50	49
12	gmtcustom19	HALLMARK_INTERFERON_GAMMA_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_INTERFERON_GAMMA_RESPONSE	135/200	1.97015178820749e-11	8.20896578419787e-11	30	22	24.5	1.6417931568544e-12	10	0.740490020610615	0.757241726403284	1	11.6632140491733	28	13	10	19	28	12	25	29	24	34	29	13
13	gmtcustom24	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_UNFOLDED_PROTEIN_RESPONSE	112/113	4.08972048290326e-11	1.57296941650125e-10	40	32.9166666666667	37	3.40810040248326e-12	13	0.703794200832738	0.592324966927055	1	10.7637642350261	39	37	22	41	33	13	37	41	49	19	26	38
