Rank	ID	GeneSet	Description	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
1	gmtcustom1	HALLMARK_TNFA_SIGNALING_VIA_NFKB	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB	170/200	6.32965598690286e-48	3.16482799345143e-46	5	4.36111111111111	1	1.75823777413968e-49	1	1.32942651434401	0.860130673835577	0.333333333333333	99.8449854812943
2	gmtcustom22	HALLMARK_HEDGEHOG_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_HEDGEHOG_SIGNALING	25/36	4.87094627646206e-26	1.21773656911552e-24	50	29.3055555555556	22.5	1.35304063235057e-27	1	0.833095997447762	-0.683321979573778	-1	20.6318117697417
3	gmtcustom6	HALLMARK_TGF_BETA_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TGF_BETA_SIGNALING	51/54	7.12482917540799e-25	1.18747152923467e-23	10	11.6944444444444	8	1.97911921539111e-26	1	0.878304783036699	0.486751692312512	0.333333333333333	34.9579125230037
4	gmtcustom5	HALLMARK_WNT_BETA_CATENIN_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_WNT_BETA_CATENIN_SIGNALING	39/42	2.80663544564377e-24	3.50829430705471e-23	50	22.8888888888889	20.5	7.7962095712327e-26	3	0.932237803860603	-0.103378397704733	-0.333333333333333	27.2956053968775
5	gmtcustom2	HALLMARK_HYPOXIA	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_HYPOXIA	174/200	4.38726995100134e-22	4.38726995100134e-21	5	9.13888888888889	3.5	1.21868609750037e-23	1	0.9834221606826	0.557330585031081	0.333333333333333	27.4414418690967
6	gmtcustom40	HALLMARK_ANGIOGENESIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ANGIOGENESIS	24/36	1.366288162985e-19	1.13857346915417e-18	30	25.0555555555556	27	3.79524489718056e-21	1	0.736687519753378	0.315571555126769	0.333333333333333	42.2076503761566
7	gmtcustom26	HALLMARK_MTORC1_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MTORC1_SIGNALING	191/200	5.1835084886571e-16	3.7025060633265e-15	5	12.2777777777778	6.5	1.43986346907142e-17	2	0.731507251266291	0.361229132199298	0.333333333333333	13.3634985407144
8	gmtcustom17	HALLMARK_PROTEIN_SECRETION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_PROTEIN_SECRETION	93/96	7.06591275031258e-16	4.41619546894536e-15	5	20.8055555555556	13	1.96275354175349e-17	1	0.51750692519786	0.240093704887197	0.333333333333333	26.078066699073
9	gmtcustom31	HALLMARK_INFLAMMATORY_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE	114/200	2.35903504621466e-15	1.31057502567481e-14	10	11.1388888888889	10	6.55287512837405e-17	1	0.896729415262661	0.445633924581931	0.333333333333333	23.4709832768919
10	gmtcustom11	HALLMARK_NOTCH_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_NOTCH_SIGNALING	30/32	5.61682951329089e-15	2.66640673642993e-14	50	34.7222222222222	40.5	1.56023042035859e-16	9	0.56776986455854	-0.160804673227634	-0.333333333333333	6.11708647468494
11	gmtcustom48	HALLMARK_KRAS_SIGNALING_UP	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_KRAS_SIGNALING_UP	130/200	5.86609482014585e-15	2.66640673642993e-14	30	20.8611111111111	22	1.62947078337386e-16	3	0.906164300874175	0.439726966744771	0.333333333333333	20.1540636278045
12	gmtcustom3	HALLMARK_CHOLESTEROL_HOMEOSTASIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_CHOLESTEROL_HOMEOSTASIS	69/74	6.95971464196179e-15	2.89988110081741e-14	5	12.8888888888889	5.5	1.93325406721161e-16	1	0.799556378434776	0.406652698529497	0.333333333333333	12.1844418520065
13	gmtcustom43	HALLMARK_IL2_STAT5_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_IL2_STAT5_SIGNALING	145/199	1.22844571097299e-14	4.72479119604998e-14	10	12.8055555555556	11.5	3.41234919714723e-16	2	0.886846185374762	0.495182319194015	0.333333333333333	27.6763590786504
14	gmtcustom10	HALLMARK_APOPTOSIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS	133/161	1.60177822660108e-14	5.33926075533694e-14	5	8.19444444444444	5.5	4.44938396278081e-16	1	0.858710410290765	0.511033550116444	0.333333333333333	22.3298580372901
15	gmtcustom49	HALLMARK_KRAS_SIGNALING_DN	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_KRAS_SIGNALING_DN	89/200	1.58200959067851e-14	5.33926075533694e-14	40	31.0833333333333	36	4.39447108521807e-16	6	0.877211796216756	-0.262182674096729	-0.333333333333333	13.534792754396
16	gmtcustom33	HALLMARK_FATTY_ACID_METABOLISM	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_FATTY_ACID_METABOLISM	142/158	2.76266002896727e-14	8.63331259052271e-14	35	29.0555555555556	25.5	7.67405563602028e-16	5	0.67204854043717	0.296928082068654	0.333333333333333	9.38164939477642
17	gmtcustom24	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_UNFOLDED_PROTEIN_RESPONSE	112/113	1.49385959610799e-11	4.39370469443526e-11	25	24.1388888888889	27.5	4.14960998921897e-13	1	0.665572916616123	0.215124507928416	0.333333333333333	17.7314599760416
18	gmtcustom19	HALLMARK_INTERFERON_GAMMA_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_INTERFERON_GAMMA_RESPONSE	135/200	5.91045536450603e-11	1.64179315680723e-10	20	23.9166666666667	24	1.6417931568544e-12	6	0.694806536012021	0.344690265992487	0.333333333333333	8.06863797961141
19	gmtcustom13	HALLMARK_ESTROGEN_RESPONSE_EARLY	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ESTROGEN_RESPONSE_EARLY	171/200	7.10694788378537e-11	1.87024944310141e-10	20	25.1388888888889	24	1.97415219000858e-12	13	0.770162192595808	0.416063045163745	0.333333333333333	7.46268774724215
20	gmtcustom7	HALLMARK_IL6_JAK_STAT3_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_IL6_JAK_STAT3_SIGNALING	55/87	1.55250909590821e-10	3.69645022835289e-10	25	20.1944444444444	21	4.31252526673714e-12	1	0.838837793781208	0.377434416828284	0.333333333333333	17.984777032286
21	gmtcustom38	HALLMARK_UV_RESPONSE_UP	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_UV_RESPONSE_UP	138/158	1.52803984137837e-10	3.69645022835289e-10	15	15.2222222222222	13.5	4.2445551152552e-12	1	0.865747593365633	0.565597009414002	0.333333333333333	17.5208024293341
22	gmtcustom9	HALLMARK_G2M_CHECKPOINT	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_G2M_CHECKPOINT	196/200	4.73857606430937e-10	1.07694910552486e-09	40	34.8333333333333	37.5	1.31627112927802e-11	12	0.601605024052641	0.184570840917134	0.333333333333333	4.92661277543772
23	gmtcustom39	HALLMARK_UV_RESPONSE_DN	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_UV_RESPONSE_DN	121/144	1.25606321011031e-09	2.73057219589198e-09	25	20.3333333333333	19	3.48906447465901e-11	2	0.844733192295938	0.409421072585577	0.333333333333333	21.9390549004233
24	gmtcustom30	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	127/200	1.94143217136049e-09	4.04465035700102e-09	15	16.4722222222222	13	5.39286714775753e-11	2	1.02577092589857	0.454326821351439	0.333333333333333	20.691496222927
25	gmtcustom37	HALLMARK_P53_PATHWAY	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_P53_PATHWAY	177/200	2.06865836601338e-09	4.13731673202675e-09	15	19.8333333333333	15	5.74627324470447e-11	3	0.846288282869166	0.476837515681026	0.333333333333333	6.47932670324196
26	gmtcustom36	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	44/49	2.73629475161961e-08	5.26210529157616e-08	20	26.8333333333333	22.5	7.60081885560066e-10	2	0.638028399045514	0.242121942157039	0.333333333333333	4.53655721256378
27	gmtcustom27	HALLMARK_E2F_TARGETS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_E2F_TARGETS	198/200	4.94943881734541e-08	9.16562743952854e-08	50	35.5277777777778	40.5	1.37484414900772e-09	5	0.658764625964435	0.645506876252831	1	8.25012457239608
28	gmtcustom25	HALLMARK_PI3K_AKT_MTOR_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_PI3K_AKT_MTOR_SIGNALING	92/105	8.01153126844059e-08	1.43063058365011e-07	15	27.5833333333333	25.5	2.22542543901368e-09	9	0.544753852203975	0.154871488081832	0.333333333333333	3.77302142664344
29	gmtcustom4	HALLMARK_MITOTIC_SPINDLE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MITOTIC_SPINDLE	196/199	1.94279581398648e-07	3.34964795514911e-07	20	32.7222222222222	31	5.3966555485194e-09	15	0.552064363778833	0.232200827290008	0.333333333333333	3.75591651442113
30	gmtcustom35	HALLMARK_GLYCOLYSIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_GLYCOLYSIS	179/200	3.18453407425401e-07	5.30755679042335e-07	20	29.25	28.5	8.84592935342195e-09	11	0.663080282622398	0.295521148289566	0.333333333333333	4.088230891716
31	gmtcustom23	HALLMARK_COMPLEMENT	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_COMPLEMENT	143/200	3.66670076053207e-07	5.91403348472914e-07	10	17.6666666666667	17	1.0185281705816e-08	4	0.825215425662425	0.364436389181624	0.333333333333333	6.99945639912928
32	gmtcustom28	HALLMARK_MYC_TARGETS_V1	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MYC_TARGETS_V1	200/200	3.90488917043274e-07	6.10138932880116e-07	30	27.7777777777778	26.5	1.08469164212859e-08	3	0.532801250467334	0.166185269299156	0.333333333333333	5.49682937504009
33	gmtcustom21	HALLMARK_APICAL_SURFACE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_APICAL_SURFACE	27/44	4.0558503238239e-07	6.14522776336955e-07	45	31.2222222222222	34	1.12662531207586e-08	8	0.864930162150482	0.976513914676361	1	5.06057546013715
34	gmtcustom8	HALLMARK_DNA_REPAIR	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR	145/150	1.11336981747137e-06	1.63730855510495e-06	50	31.1388888888889	37	3.09269561125395e-08	8	0.621136186654173	0.233619042199512	0.333333333333333	4.76814156656869
35	gmtcustom14	HALLMARK_ESTROGEN_RESPONSE_LATE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ESTROGEN_RESPONSE_LATE	162/200	1.26573431615819e-06	1.80819188022598e-06	35	29.5	31.5	3.51593081930377e-08	11	0.875148063654483	0.394864976510417	0.333333333333333	5.43996283979451
