"","N9-UI9","WT9-UI9","WT9-N9"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.71882966100278,1.62614383286273,-0.764581472358784
"HALLMARK_HEDGEHOG_SIGNALING",-0.690961837062016,-0.730041462495961,-0.628962639163356
"HALLMARK_TGF_BETA_SIGNALING",1.09532842542224,1.04313014943909,-0.678203497923794
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",1.25884183077251,-0.87762528476768,-0.691351739119027
"HALLMARK_HYPOXIA",1.25407957852004,1.12570544877606,-0.707793272202853
"HALLMARK_ANGIOGENESIS",0.961660888388359,0.709306973118395,-0.724253196126446
"HALLMARK_MTORC1_SIGNALING",0.875842322970545,0.795676577430692,-0.587831503803344
"HALLMARK_PROTEIN_SECRETION",0.575718644901412,0.562441527273448,-0.417879057513268
"HALLMARK_INFLAMMATORY_RESPONSE",1.08199766367671,0.973493387606093,-0.718589277537013
"HALLMARK_NOTCH_SIGNALING",-0.659758296938774,-0.467932195308191,0.645276472564064
"HALLMARK_KRAS_SIGNALING_UP",1.13289365811861,0.903930380536843,-0.717643138421136
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.01785578364807,0.829425639277446,-0.627323327337024
"HALLMARK_IL2_STAT5_SIGNALING",1.11553385030507,1.02827248530826,-0.65825937803129
"HALLMARK_APOPTOSIS",1.12251589024882,1.01950575819588,-0.608920998095364
"HALLMARK_KRAS_SIGNALING_DN",-0.748174243438628,-0.665863505416459,0.627489726564901
"HALLMARK_FATTY_ACID_METABOLISM",0.751227646468182,0.679677553743041,-0.540120954005261
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.663941214846164,0.592324966927055,-0.610892657987971
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.816113133316651,0.757241726403284,-0.539284061742475
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.918222878207245,0.928779703178109,-0.59881344589412
"HALLMARK_IL6_JAK_STAT3_SIGNALING",1.04283798770953,0.800775966611784,-0.711310703836465
"HALLMARK_UV_RESPONSE_UP",1.16330801634071,1.05497925960404,-0.521496247702737
"HALLMARK_G2M_CHECKPOINT",0.579201075390418,0.557411475281803,-0.582900027920818
"HALLMARK_UV_RESPONSE_DN",0.966458826766047,0.96383138696583,-0.702026995975146
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1.23895931207783,1.01633655564152,-0.892315403665031
"HALLMARK_P53_PATHWAY",1.09845653728818,1.00693985810789,-0.674883848352995
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.695499237168196,0.649719785036338,-0.618853195733418
"HALLMARK_E2F_TARGETS",0.556584306055296,0.570687907567411,0.809248415135786
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.529311179005637,0.515388220243629,-0.580084935003771
"HALLMARK_MITOTIC_SPINDLE",0.614841169222363,0.569095731460138,-0.487334418812478
"HALLMARK_GLYCOLYSIS",0.770504401263754,0.704028526553634,-0.58796948294869
"HALLMARK_COMPLEMENT",0.952630676137219,0.877699445621958,-0.737020954214306
"HALLMARK_MYC_TARGETS_V1",0.550536603362332,0.484937618262899,-0.536918413727765
"HALLMARK_APICAL_SURFACE",1.24493210005337,0.934053652002432,0.750555991973276
"HALLMARK_DNA_REPAIR",0.59655726727285,0.568131276882446,-0.463831417556761
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.976904085805415,0.946780513071479,-0.739089669345643
