Rank	ID	GeneSet	NumGenes	Type	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	hsa00061	Fatty acid biosynthesis	10/13	Metabolism	3.91494369559708e-08	2.47891166770433e-06	280	171.333333333333	171	3.26245313820403e-09	4	0.765307150014217	0.858233194642897	1	43.9170476089691	277	240	75	79	111	4	274	268	285	101	129	213
2	hsa00440	Phosphonate and phosphinate metabolism	6/6	Metabolism	1.58220332241762e-08	2.47891166770433e-06	280	196.416666666667	248	1.43836666708778e-09	1	0.622290953170928	-0.585553462244907	-1	35.7099737312441	280	273	77	276	128	1	258	280	220	68	258	238
3	hsa00900	Terpenoid backbone biosynthesis	21/22	Metabolism	2.65814711948303e-08	2.47891166770433e-06	80	69.0833333333333	48	2.21512262655642e-09	2	0.81066785144629	0.890332841035258	1	46.5200998227431	80	42	148	156	15	2	110	151	8	26	54	37
4	hsa00920	Sulfur metabolism	10/10	Metabolism	4.30366608976447e-08	2.47891166770433e-06	80	161.833333333333	168	3.58638847887906e-09	5	0.703580587256869	0.692096960472612	1	40.3748302101755	287	268	76	158	77	5	283	277	178	13	45	275
5	hsa05120	Epithelial cell signaling in Helicobacter pylori infection	55/68	Disease	3.14486611135669e-08	2.47891166770433e-06	60	57.1666666666667	59.5	2.62072179723891e-09	3	0.757941291751454	0.818136329617656	1	43.4943532270063	19	60	14	122	74	3	28	14	62	89	142	59
6	hsa00620	Pyruvate metabolism	35/39	Metabolism	9.69462067745329e-08	2.85177180502912e-06	220	143.5	188.5	8.07885092351746e-09	7	0.733580330378647	0.784153585977806	1	41.6393959560455	217	222	65	106	32	7	211	212	258	10	166	216
7	hsa03410	Base excision repair	33/33	Signaling	1.33300792372912e-07	2.85177180502912e-06	120	146.333333333333	129.5	1.11084000430903e-08	11	0.542347383848787	-0.613596328449251	-1	30.78450346177	121	192	96	240	138	11	120	117	45	202	275	199
8	hsa04390	Hippo signaling pathway	129/154	Signaling	1.08828413038428e-07	2.85177180502912e-06	25	51.1666666666667	38.5	9.06903487222969e-09	9	0.858757204830085	0.900100875780668	1	48.7447694787382	22	102	27	13	24	9	53	98	107	50	15	94
9	hsa04520	Adherens junction	66/72	Signaling	1.38627796077804e-07	2.85177180502912e-06	90	84.0833333333333	81	1.15523170738251e-08	8	0.631177232621267	0.644623107486481	1	35.8267227874941	8	88	42	225	88	13	39	22	74	94	194	122
10	hsa04622	RIG-I-like receptor signaling pathway	46/70	Signaling	1.01334396580193e-07	2.85177180502912e-06	165	117.416666666667	135.5	8.44453344055518e-09	8	0.625146423617999	0.561755944488887	1	35.4843979707097	183	80	18	196	73	8	136	135	165	163	157	95
