Rank	ID	GeneSet	NumGenes	Type	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	hsa03010	Ribosome	127/154	Signaling	1.90979743942878e-07	5.50021662555489e-05	110	95.25	101	1.59149800549827e-08	1	0.149978386729581	0.151908225644121	1	64.6158387464552	1	107	107	269	124	17	17	36	47	183	140	95
2	hsa00061	Fatty acid biosynthesis	10/13	Metabolism	0.0070454849339759	0.0751518392957429	25	64.8333333333333	49	0.000589028251295735	8	0.380094308310685	-0.380094308310685	-1	43.2135952822957	121	20	40	95	67	8	169	23	15	139	58	23
3	hsa00062	Fatty acid elongation	21/25	Metabolism	0.00379339622628555	0.0751518392957429	285	176.083333333333	209.5	0.000316667300418695	4	0.191817216290259	0.218990943301268	1	21.8080333833446	261	285	74	174	111	4	247	282	86	245	59	285
4	hsa00190	Oxidative phosphorylation	117/133	Metabolism	0.00394290213182671	0.0751518392957429	20	98	81.5	0.000329170466826542	3	0.137310705904722	0.146904339033591	1	15.6110899876667	3	97	139	266	214	24	19	34	20	191	66	103
5	hsa00240	Pyrimidine metabolism	94/105	Metabolism	0.00629753896190303	0.0751518392957429	145	98.3333333333333	99.5	0.000526315789473684	2	0.600899747917769	0.640018657139172	1	68.3173636399553	110	84	141	162	2	89	68	117	142	118	69	78
6	hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis	4/5	Metabolism	0.00494550703874101	0.0751518392957429	5	84.3333333333333	79.5	0.000450605403963734	1	0.304915284394552	-0.375589185488259	-1	34.6663565679602	57	24	77	274	115	106	141	1	1	103	82	31
7	hsa00520	Amino sugar and nucleotide sugar metabolism	43/48	Metabolism	0.00700654963344541	0.0751518392957429	205	139.916666666667	164.5	0.000585762604293628	7	0.518369586615393	-0.527646655157502	-1	58.9343608681854	237	157	32	205	33	7	202	204	195	142	93	172
8	hsa00630	Glyoxylate and dicarboxylate metabolism	26/28	Metabolism	0.00301434411865007	0.0751518392957429	220	129.5	132.5	0.000251543058095938	2	0.50262071201908	0.50262071201908	1	57.1438429331962	153	218	72	186	40	3	253	258	41	2	112	216
9	hsa00740	Riboflavin metabolism	8/8	Metabolism	0.00534319297731768	0.0751518392957429	280	185.75	194.5	0.000486928583273715	5	0.22966659031049	0.252185767863531	1	26.1111969266753	276	284	159	279	161	5	262	211	178	17	117	280
10	hsa00760	Nicotinate and nicotinamide metabolism	20/29	Metabolism	0.00629753896190303	0.0751518392957429	10	131.666666666667	126	0.000526315789473684	9	0.518810433785136	-0.518810433785136	-1	58.9844815773947	211	179	127	125	9	9	287	260	45	49	119	160
11	hsa00830	Retinol metabolism	42/65	Metabolism	0.00238194610357546	0.0751518392957429	185	141.666666666667	152.5	0.000198712541551066	1	0.658393842402247	-0.658393842402247	-1	74.8539708559735	143	187	182	1	132	129	164	162	109	184	124	183
12	hsa00970	Aminoacyl-tRNA biosynthesis	44/66	Signaling	0.00316355441410702	0.0751518392957429	5	34.6666666666667	10	0.000264012561812822	1	0.540524337234828	-0.540524337234828	-1	61.4531743927149	2	2	31	194	1	16	2	16	4	18	129	1
13	hsa00982	Drug metabolism - cytochrome P450	46/70	Metabolism	0.00617778336273471	0.0751518392957429	245	184.75	202.5	0.0005162787509076	2	0.607045211899909	-0.607045211899909	-1	69.0160525152498	245	242	181	2	134	164	266	254	121	253	131	224
14	hsa01040	Biosynthesis of unsaturated fatty acids	21/23	Metabolism	0.00584131177942553	0.0751518392957429	230	156.583333333333	167	0.000488084095726071	6	0.173514231998276	0.2045509631627	1	19.7271341141173	142	226	128	177	184	6	157	206	42	251	133	227
15	hsa03030	DNA replication	34/36	Signaling	0.00629753896190303	0.0751518392957429	110	74.5	67	0.000526315789473684	5	0.777344927615344	0.777344927615344	1	88.3777341038152	35	110	12	154	5	128	49	69	13	65	146	108
16	hsa03320	PPAR signaling pathway	54/72	Signaling	0.00105433153779226	0.0751518392957429	155	106.333333333333	73	8.79034476211465e-05	1	0.714759725474712	-0.714759725474712	-1	81.2623096833322	152	154	58	88	30	1	265	281	52	37	16	142
17	hsa03410	Base excision repair	33/33	Signaling	0.00209019015538853	0.0751518392957429	135	109.25	132.5	0.000174349603636972	2	0.352365881412632	-0.352365881412632	-1	40.0611004569432	134	186	13	193	34	2	131	182	68	28	150	190
18	hsa04210	Apoptosis	114/138	Signaling	0.00629753896190303	0.0751518392957429	105	110.333333333333	112.5	0.000526315789473684	1	0.698067779464711	-0.739283114746251	-1	79.3645722597467	101	111	1	150	4	235	124	197	114	8	175	104
19	hsa04520	Adherens junction	66/72	Signaling	0.00629753896190303	0.0751518392957429	10	70.8333333333333	52.5	0.000526315789473684	6	0.521374127888381	-0.521374127888381	-1	59.2759525802028	6	83	6	232	8	55	8	11	50	120	186	85
20	hsa04530	Tight junction	131/170	Signaling	0.00629753896190303	0.0751518392957429	30	90.25	64.5	0.000526315789473684	7	0.454689443386063	-0.454689443386063	-1	51.6944506220594	27	53	81	250	7	50	31	132	76	145	187	44
21	hsa04621	NOD-like receptor signaling pathway	116/170	Signaling	0.00351526137925976	0.0751518392957429	5	51.0833333333333	15.5	0.000293411482117506	1	0.879570995585514	-0.879570995585514	-1	100	9	5	2	92	13	188	1	18	59	27	192	7
22	hsa04672	Intestinal immune network for IgA production	12/49	Signaling	0.00665698345202176	0.0751518392957429	5	49.8333333333333	14.5	0.000556448458071438	2	0.73428579026114	-0.73428579026114	-1	83.482263178171	14	4	75	15	106	29	6	2	9	132	202	4
23	hsa04910	Insulin signaling pathway	115/138	Signaling	0.00629753896190303	0.0751518392957429	90	130.083333333333	124.5	0.000526315789473684	10	0.610516183612418	-0.610516183612418	-1	69.4106735445227	87	126	20	255	10	277	123	147	155	24	217	120
