Rank	ID	GeneSet	NumGenes	Type	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	hsa05134	Legionellosis	45/55	Disease	8.89707254260434e-09	2.56235689227005e-06	5	5.16666666666667	1	7.41422714907086e-10	1	1.12215692621646	1.12673763350715	1	85.4499082005893	1	1	11	1	21	3	1	1	1	19	1	1
2	hsa00900	Terpenoid backbone biosynthesis	21/22	Metabolism	8.5318642861987e-08	8.49857782695947e-06	25	39.0833333333333	23	7.10988718319330e-09	1	0.752361357529996	0.771774431439433	1	51.95205053991	21	5	66	173	48	1	38	25	7	46	21	18
3	hsa00920	Sulfur metabolism	10/10	Metabolism	1.18035803152215e-07	8.49857782695947e-06	255	158.666666666667	172	9.8363174614935e-09	2	0.811865475894541	0.845851433189744	1	56.0616106781406	243	255	91	150	96	2	238	252	194	15	80	288
4	hsa03010	Ribosome	127/154	Signaling	9.99663819381435e-08	8.49857782695947e-06	115	109.25	78.5	8.33053220986633e-09	2	0.35972424284093	0.359649212846321	1	24.835173932635	2	113	45	268	73	83	19	44	214	74	261	115
5	hsa00072	Synthesis and degradation of ketone bodies	8/10	Metabolism	2.14154804977673e-07	1.2335316766714e-05	170	123.333333333333	121	1.94686205294697e-08	4	0.852411951573399	0.923418718611828	1	56.9833382162209	166	108	208	270	148	4	156	58	52	122	68	120
6	hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	16/24	Metabolism	3.65791247619067e-07	1.31982959652211e-05	195	135.666666666667	130	3.04826090787971e-08	6	0.638418595114801	-0.568058741172769	-1	42.4204546027644	158	192	68	110	113	6	135	125	84	192	249	196
7	hsa04122	Sulfur relay system	8/8	Signaling	3.66619332367253e-07	1.31982959652211e-05	80	135.666666666667	105	3.33290357693273e-08	2	0.887424217898607	-0.887424217898607	-1	58.9692827685718	80	106	245	284	118	230	104	15	2	81	270	93
8	hsa04913	Ovarian steroidogenesis	33/50	Signaling	2.76115257226402e-07	1.31982959652211e-05	5	131.916666666667	125	2.30096076807979e-08	4	1.50480202828568	1.97272047968131	1	100	246	237	147	9	103	5	228	267	92	14	4	231
9	hsa04622	RIG-I-like receptor signaling pathway	46/70	Signaling	5.03621234050345e-07	1.6115879489611e-05	210	148.333333333333	166.5	4.19684458582882e-08	7	0.600782676202947	0.536765150230551	1	39.2094400913551	210	150	12	215	55	7	205	233	163	170	209	151
10	hsa00785	Lipoic acid metabolism	3/3	Metabolism	7.4489996666791e-07	1.95028354909416e-05	5	68.3333333333333	34.5	6.77182017167614e-08	2	0.83208959004164	-0.83208959004164	-1	53.3698711568916	52	69	20	282	9	9	49	2	4	3	256	65
11	hsa04920	Adipocytokine signaling pathway	50/69	Signaling	7.33628774759702e-07	1.95028354909416e-05	120	80.5	85.5	6.11357517866618e-08	8	0.867428719441075	0.877635338568951	1	55.6368741805532	88	116	10	58	28	8	128	177	117	83	28	125
12	hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	17/20	Metabolism	1.10323625723498e-06	2.17705193632806e-05	45	51.9166666666667	50	9.19364012572278e-08	3	1.15941753985056	-0.739669393874136	-1	73.613561713515	41	93	67	43	65	34	64	57	3	17	43	96
13	hsa03018	RNA degradation	71/77	Signaling	1.0641543276419e-06	2.17705193632806e-05	60	68.0833333333333	57.5	8.86795705558433e-08	4	0.596829061967428	0.606627429018938	1	37.889594225365	56	9	4	225	59	11	67	116	86	56	107	21
14	hsa04710	Circadian rhythm	28/31	Signaling	1.13388121683753e-06	2.17705193632806e-05	10	23.3333333333333	15.5	9.44901505092491e-08	5	0.860580045549418	0.875278645360213	1	54.6375937540861	9	8	15	107	26	12	28	19	5	25	16	10
15	hsa05120	Epithelial cell signaling in Helicobacter pylori infection	55/68	Disease	9.22488269676865e-07	2.17705193632806e-05	10	86.6666666666667	68.5	7.68740549759757e-08	9	0.580019626634994	0.623957202913529	1	36.8222070588707	51	56	9	201	116	10	68	61	69	157	168	74
