Rank	ID	GeneSet	NumGenes	Type	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
1	hsa00061	Fatty acid biosynthesis	10/13	Metabolism	1.17448306269877e-07	6.19727890255064e-06	280	132.361111111111	171	3.26245313820403e-09	4	0.61053005307054	0.376354373389082	0.333333333333333	41.4556977797641
2	hsa00440	Phosphonate and phosphinate metabolism	6/6	Metabolism	4.74660989215184e-08	6.19727890255064e-06	280	190.166666666667	221.5	1.43836666708778e-09	1	0.483819533206315	-0.16522744624131	-0.333333333333333	31.5104679570495
3	hsa00900	Terpenoid backbone biosynthesis	21/22	Metabolism	7.97444114647673e-08	6.19727890255064e-06	80	100.75	48	2.21512262655642e-09	1	0.576098124704152	0.614016180016985	1	33.6653520540153
4	hsa00920	Sulfur metabolism	10/10	Metabolism	1.29109977136472e-07	6.19727890255064e-06	80	173.833333333333	172	3.58638847887906e-09	2	0.559320059245698	0.551500737319538	1	32.1454874517236
5	hsa05120	Epithelial cell signaling in Helicobacter pylori infection	55/68	Disease	9.43459803736459e-08	6.19727890255064e-06	60	74.6666666666667	59.5	2.62072179723891e-09	3	0.752986276279057	0.173698540693487	0.333333333333333	42.1355902928657
6	hsa05134	Legionellosis	45/55	Disease	2.66912173903393e-08	6.19727890255064e-06	5	57.4444444444444	2.5	7.41422714907086e-10	1	1.14324317614118	0.161645683137994	0.333333333333333	49.9477779977746
7	hsa00620	Pyruvate metabolism	35/39	Metabolism	2.90838592127898e-07	7.98495994714401e-06	220	161.361111111111	188.5	8.07885092351746e-09	7	0.75041500253905	0.31464730896733	0.333333333333333	33.7118446170715
8	hsa03410	Base excision repair	33/33	Signaling	3.99902323811434e-07	7.98495994714401e-06	120	148.361111111111	132.5	1.11084000430903e-08	2	0.48004744484813	-0.528557374516316	-1	31.6841396231082
9	hsa04390	Hippo signaling pathway	129/154	Signaling	3.26485203584416e-07	7.98495994714401e-06	25	80.5	60.5	9.06903487222969e-09	2	0.772703558420684	0.36677508595071	0.333333333333333	39.2784230320481
10	hsa04520	Adherens junction	66/72	Signaling	4.15883330580417e-07	7.98495994714401e-06	90	92.5555555555556	81	1.15523170738251e-08	6	0.557410050927511	0.221183202313384	0.333333333333333	42.0311405569034
11	hsa04622	RIG-I-like receptor signaling pathway	46/70	Signaling	3.04003158934599e-07	7.98495994714401e-06	165	132.75	135.5	8.44453344055518e-09	7	0.470962626131968	0.294375507891756	0.333333333333333	25.5883836651694
12	hsa04710	Circadian rhythm	28/31	Signaling	3.36912714292744e-07	7.98495994714401e-06	10	48.9444444444444	15.5	9.35868804086984e-09	1	0.747679517487737	0.388042390904904	0.333333333333333	52.9473377019858
13	hsa04920	Adipocytokine signaling pathway	50/69	Signaling	3.69821854327301e-07	7.98495994714401e-06	20	66.8055555555556	50	1.02728311336628e-08	7	0.733724380903629	0.42999929912383	0.333333333333333	50.2970966829795
14	hsa05211	Renal cell carcinoma	58/65	Disease	2.7814493536163e-07	7.98495994714401e-06	10	50.8055555555556	27	7.72624924915084e-09	2	0.594065253502674	0.24973851838695	0.333333333333333	37.0060649826099
15	hsa03010	Ribosome	127/154	Signaling	2.99899115834599e-07	7.98495994714401e-06	55	130	101	8.33053220986633e-09	1	0.287575697116717	0.278135809182019	1	31.3061951541258
16	hsa04012	ErbB signaling pathway	69/86	Signaling	4.76684263516018e-07	8.07559222897724e-06	15	45.3333333333333	28	1.32412326103904e-08	6	0.714859530784409	0.257489209353208	0.333333333333333	39.0131406793535
17	hsa04913	Ovarian steroidogenesis	33/50	Signaling	4.62184476174431e-07	8.07559222897724e-06	275	171.416666666667	194	1.28384605559678e-08	4	1.17331614315709	1.19508409084316	0.333333333333333	62.5751041858566
18	hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	17/20	Metabolism	7.23200229768991e-07	9.41616887211026e-06	50	79.5555555555556	62.5	2.00889023337293e-08	3	1.00862950995697	-0.39917933146885	-0.333333333333333	50.148799152795
19	hsa04080	Neuroactive ligand-receptor interaction	69/278	Signaling	7.41997635041051e-07	9.41616887211026e-06	175	127.861111111111	144.5	2.06110528520765e-08	8	1.02415243947965	-0.86498145478641	-1	54.8713224467049
20	hsa04122	Sulfur relay system	8/8	Signaling	6.60134265099948e-07	9.41616887211026e-06	130	170.888888888889	130	2.00040750419994e-08	2	0.57330764841296	-0.575680027655395	-1	33.4171347826741
21	hsa04140	Regulation of autophagy	116/127	Signaling	6.6565685493148e-07	9.41616887211026e-06	10	86.3888888888889	56.5	1.84904741757485e-08	1	0.72568094099804	0.167000551698045	0.333333333333333	32.7325442941227
22	hsa05169	Epstein-Barr virus infection	164/202	Disease	7.51985708536583e-07	9.41616887211026e-06	65	97.9166666666667	61	2.08884995395569e-08	2	0.617036520591997	0.284616306601081	0.333333333333333	29.2516380750408
23	hsa00072	Synthesis and degradation of ketone bodies	8/10	Metabolism	6.42464277346186e-07	9.41616887211026e-06	215	164.305555555556	139	1.94686205294697e-08	4	0.672247832937734	0.618244758825414	0.333333333333333	34.9429843831681
24	hsa05217	Basal cell carcinoma	41/55	Disease	7.95091804300403e-07	9.54110165160484e-06	20	130.611111111111	57	2.20858919890528e-08	1	0.996109256885977	-0.756219817572414	-1	53.0705303361171
