Rank	ID	GeneSet	Description	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	gmtcustom1	HALLMARK_TNFA_SIGNALING_VIA_NFKB	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB	170/200	2.0810387456957e-48	1.04051937284785e-46	5	1.91666666666667	1	1.73419895474642e-49	1	1.72303124263515	1.76602959576153	1	100	1	1	5	1	1	4	1	2	1	1	1	4
2	gmtcustom22	HALLMARK_HEDGEHOG_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_HEDGEHOG_SIGNALING	25/36	1.56579134388603e-26	3.91447835971508e-25	50	27.3333333333333	22.5	1.30482611990502e-27	1	1.1272622886277	-0.798611723227752	-1	34.6378036329004	49	49	4	18	8	1	48	50	27	15	12	47
3	gmtcustom6	HALLMARK_TGF_BETA_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TGF_BETA_SIGNALING	51/54	2.19907603749123e-25	3.66512672915205e-24	5	9.5	8	1.83256336457602e-26	2	1.10686484937465	1.16539080276813	1	32.6496579310186	13	21	2	9	4	2	18	6	7	2	9	21
4	gmtcustom5	HALLMARK_WNT_BETA_CATENIN_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_WNT_BETA_CATENIN_SIGNALING	39/42	8.89569878088777e-25	1.11196234761097e-23	50	25.0833333333333	20.5	7.41308231740645e-26	3	1.12792487368011	-0.804249625708561	-1	32.586338258688	47	45	3	11	9	3	44	34	18	22	19	46
5	gmtcustom2	HALLMARK_HYPOXIA	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_HYPOXIA	174/200	1.47083263553096e-22	1.47083263553096e-21	5	3.91666666666667	3.5	1.22569386294246e-23	2	1.24507377556976	1.31091821329709	1	32.6465419628224	2	4	7	2	5	6	2	3	2	4	2	8
6	gmtcustom40	HALLMARK_ANGIOGENESIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ANGIOGENESIS	24/36	4.23711746304672e-20	3.5309312192056e-19	25	22.5833333333333	23	3.53093121920559e-21	5	0.999523571302809	1.135514459379	1	23.1744026378143	29	35	15	23	10	5	35	23	24	23	14	35
7	gmtcustom26	HALLMARK_MTORC1_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MTORC1_SIGNALING	191/200	1.58737773121104e-16	1.13384123657932e-15	10	7.91666666666667	6.5	1.3228147760092e-17	3	0.930663597399505	0.95752732948453	1	17.4438824234703	5	6	6	15	6	7	5	13	10	11	8	3
8	gmtcustom17	HALLMARK_PROTEIN_SECRETION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_PROTEIN_SECRETION	93/96	2.01210104318556e-16	1.25756315199097e-15	5	19.5	13	1.6767508693213e-17	1	0.630268289235478	0.629789845131865	1	11.7338938283933	4	2	36	48	30	8	3	1	12	36	40	14
9	gmtcustom31	HALLMARK_INFLAMMATORY_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE	114/200	7.33691079956073e-16	4.07606155531152e-15	10	9.41666666666667	8.5	6.11409233296726e-17	3	1.10988228034074	1.15121313522695	1	20.0496552009968	7	17	10	3	14	9	8	7	4	18	3	13
10	gmtcustom11	HALLMARK_NOTCH_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_NOTCH_SIGNALING	30/32	1.63773682559571e-15	8.18868412797857e-15	50	35.75	44	1.36478068799643e-16	10	0.654043359148212	-0.659258383012752	-1	11.5090211035957	44	47	28	36	11	10	49	44	17	45	50	48
