Rank	ID	GeneSet	Description	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	gmtcustom40	HALLMARK_ANGIOGENESIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ANGIOGENESIS	24/36	4.85187256504662e-07	2.42593628252331e-05	30	24.5833333333333	29	4.04322803666184e-08	1	0.724260368805216	-0.724260368805216	-1	100	29	29	2	15	13	1	39	48	43	5	42	29
2	gmtcustom17	HALLMARK_PROTEIN_SECRETION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_PROTEIN_SECRETION	93/96	1.04754239483186e-06	2.61885598707966e-05	5	15.1666666666667	8	8.72952414818351e-08	1	0.510335536442404	-0.510335536442404	-1	69.9554847393958	5	6	19	47	20	2	1	5	9	36	25	7
3	gmtcustom50	HALLMARK_PANCREAS_BETA_CELLS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_PANCREAS_BETA_CELLS	19/40	3.70002645447583e-06	6.16671075745972e-05	5	16.5833333333333	16.5	3.08336060763644e-07	1	0.604751776349343	-0.604751776349343	-1	76.1684967219331	30	23	3	16	8	3	22	3	17	1	50	23
4	gmtcustom1	HALLMARK_TNFA_SIGNALING_VIA_NFKB	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB	170/200	7.79007697297579e-06	9.73759621621973e-05	5	8.58333333333333	5.5	6.49175398934143e-07	1	0.74640198007902	-0.745422004155508	-1	89.5791251442815	1	18	13	2	6	12	3	17	5	4	5	17
5	gmtcustom42	HALLMARK_COAGULATION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_COAGULATION	97/138	0.000303118726505944	0.00303118726505944	35	27.0833333333333	30.5	2.52634038975743e-05	1	1.28526544457258	-1.28526544457258	-1	96.8361478934247	35	37	34	5	28	31	30	27	45	11	1	41
6	gmtcustom6	HALLMARK_TGF_BETA_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TGF_BETA_SIGNALING	51/54	0.000595878448290448	0.00490904911101108	5	8.25	7.5	4.96701042671022e-05	1	0.84343254552635	-0.878835499926211	-1	58.2633861976994	2	12	10	26	12	7	8	1	1	2	6	12
7	gmtcustom43	HALLMARK_IL2_STAT5_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_IL2_STAT5_SIGNALING	145/199	0.000687266875541552	0.00490904911101108	10	11.5	9.5	5.72902881557076e-05	1	0.743641706580955	-0.75611416528449	-1	51.3698967602507	3	7	15	12	1	16	7	12	2	10	44	9
8	gmtcustom39	HALLMARK_UV_RESPONSE_DN	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_UV_RESPONSE_DN	121/144	0.00215280853585814	0.0134550533491134	5	9	6	0.000179577970555991	2	0.881200229777139	-0.881200229777139	-1	49.3282112299553	4	2	18	25	16	17	2	2	3	8	9	2
9	gmtcustom29	HALLMARK_MYC_TARGETS_V2	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MYC_TARGETS_V2	56/58	0.00349280892343302	0.0194044940190724	40	24.25	23	0.000291534414047362	4	0.223968309115266	0.21783361584041	1	11.4715871982244	31	40	8	37	22	4	24	18	16	17	35	39
10	gmtcustom7	HALLMARK_IL6_JAK_STAT3_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_IL6_JAK_STAT3_SIGNALING	55/87	0.00568516910126295	0.0224912105782251	10	8.41666666666667	7	0.000475003082621056	1	0.646816503379886	-0.646816503379886	-1	31.8899116515378	6	1	9	6	17	5	11	4	8	16	17	1
