Rank	ID	GeneSet	Description	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	gmtcustom1	HALLMARK_TNFA_SIGNALING_VIA_NFKB	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB	170/200	1.19467475004604e-42	5.9733737502302e-41	5	2.66666666666667	1	9.95562291705039e-44	1	1.68743642297826	1.71644284140735	1	100	1	7	4	1	4	4	1	1	1	1	1	6
2	gmtcustom22	HALLMARK_HEDGEHOG_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_HEDGEHOG_SIGNALING	25/36	2.94802858054985e-20	7.37007145137462e-19	50	26.4166666666667	20	2.45669048379154e-21	1	0.948018788570597	-0.729581663331384	-1	25.210847128364	49	49	3	14	10	1	49	43	26	14	9	50
3	gmtcustom2	HALLMARK_HYPOXIA	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_HYPOXIA	174/200	7.13868946086517e-19	1.18978157681086e-17	5	4.25	4	5.94890788405432e-20	2	1.14584756515365	1.20479927998423	1	28.4614536452828	2	8	6	2	5	7	2	4	2	4	2	7
4	gmtcustom6	HALLMARK_TGF_BETA_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TGF_BETA_SIGNALING	51/54	1.02515356720812e-16	1.28144195901015e-15	35	17.1666666666667	16	8.54294639340103e-18	2	1.00570322026869	1.11848386442346	1	21.9458018520196	22	32	2	18	6	2	30	32	14	3	14	31
5	gmtcustom5	HALLMARK_WNT_BETA_CATENIN_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_WNT_BETA_CATENIN_SIGNALING	39/42	3.02899141926511e-16	3.02899141926511e-15	45	27.6666666666667	27.5	2.52415951605426e-17	3	1.02448108801635	-0.877138830808886	-1	21.7936717533371	44	45	34	11	16	3	44	46	12	21	11	45
6	gmtcustom33	HALLMARK_FATTY_ACID_METABOLISM	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_FATTY_ACID_METABOLISM	142/158	9.95265121405537e-15	8.29387601171281e-14	20	19.5833333333333	17	8.29387601171281e-16	5	0.800664656319273	0.760215201199057	1	15.3005259326473	18	28	11	36	12	5	16	17	31	16	17	28
7	gmtcustom49	HALLMARK_KRAS_SIGNALING_DN	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_KRAS_SIGNALING_DN	89/200	1.88649147450321e-14	1.34749391035943e-13	50	34.0833333333333	40.5	1.57207622875268e-15	6	1.129165406119	-0.676011235421088	-1	21.2901462652996	45	48	46	10	31	6	47	47	36	12	35	46
8	gmtcustom26	HALLMARK_MTORC1_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MTORC1_SIGNALING	191/200	3.84994176373201e-13	2.40621360233251e-12	5	8	6.5	3.20828480311057e-14	2	0.870136631007654	0.870703372766848	1	14.7636242382737	5	9	5	20	2	8	4	13	10	10	5	5
9	gmtcustom3	HALLMARK_CHOLESTEROL_HOMEOSTASIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_CHOLESTEROL_HOMEOSTASIS	69/74	1.17246549081312e-12	6.51369717118398e-12	5	5.41666666666667	5	9.7705457567812e-14	1	0.88378349595559	0.923899194101041	1	14.4335814304198	3	1	1	8	3	10	7	8	3	9	10	2
10	gmtcustom10	HALLMARK_APOPTOSIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS	133/161	1.56923251111036e-12	7.84616255555181e-12	5	5.5	5.5	1.30769375925957e-13	1	1.00642130159564	1.09269515246533	1	16.3377964350424	4	2	8	5	1	9	6	10	4	8	6	3
11	gmtcustom11	HALLMARK_NOTCH_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_NOTCH_SIGNALING	30/32	6.39325844722077e-12	2.90602656691853e-11	50	36.3333333333333	40.5	5.32771537269957e-13	9	0.487032019375118	0.439734385631543	1	7.41808998498456	46	50	35	35	9	11	50	39	20	42	50	49
12	gmtcustom19	HALLMARK_INTERFERON_GAMMA_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_INTERFERON_GAMMA_RESPONSE	135/200	1.88245282889092e-11	7.84355345371216e-11	30	22.3333333333333	24.5	1.56871069075596e-12	10	0.735770789172334	0.770187832429048	1	10.8172189454695	28	13	10	19	32	12	25	29	24	34	29	13
13	gmtcustom24	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_UNFOLDED_PROTEIN_RESPONSE	112/113	3.74711752480491e-11	1.44119904800189e-10	40	33.0833333333333	37	3.12259793739104e-12	13	0.766859446967179	0.62813304608622	1	10.9818230184655	39	37	23	41	34	13	37	41	49	19	26	38
14	gmtcustom38	HALLMARK_UV_RESPONSE_UP	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_UV_RESPONSE_UP	138/158	4.67789446938724e-11	1.67067659620973e-10	10	6.25	6.5	3.89824539123961e-12	1	1.22841799451215	1.25345806955052	1	17.5680066811112	6	3	7	9	8	14	5	7	5	2	8	1
15	gmtcustom9	HALLMARK_G2M_CHECKPOINT	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_G2M_CHECKPOINT	196/200	1.45535980276037e-10	4.79624967089611e-10	50	33	37.5	1.21279983571453e-11	12	0.648397966780639	0.662283273009298	1	8.76199603274475	21	36	49	39	42	15	12	19	25	49	48	41
16	gmtcustom31	HALLMARK_INFLAMMATORY_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE	114/200	1.53479989468676e-10	4.79624967089611e-10	20	14.4166666666667	15	1.27899991232893e-11	3	0.953366615387402	1.00605729535488	1	12.9556002287944	11	17	19	3	21	16	14	18	6	30	7	11
17	gmtcustom43	HALLMARK_IL2_STAT5_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_IL2_STAT5_SIGNALING	145/199	2.16403741685262e-10	6.36481593191949e-10	20	15.5833333333333	15.5	1.80336451422272e-11	4	1.05702128144495	1.14078760314476	1	14.1892861240788	16	16	9	7	15	17	27	35	15	7	4	19
18	gmtcustom36	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	44/49	8.38026205238715e-09	2.32785057010754e-08	15	15.5	14	6.9835517371461e-10	2	0.712164695172562	0.732602020831249	1	7.86706696248107	8	15	13	32	13	18	15	2	11	6	32	21
19	gmtcustom27	HALLMARK_E2F_TARGETS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_E2F_TARGETS	198/200	1.50160744986583e-08	3.9515985522785e-08	45	36.1666666666667	40.5	1.25133955016703e-09	19	0.668592074824719	0.643602902367945	1	7.14957926126277	31	43	50	38	43	19	23	22	23	50	49	43
20	gmtcustom13	HALLMARK_ESTROGEN_RESPONSE_EARLY	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ESTROGEN_RESPONSE_EARLY	171/200	3.84415360024351e-08	9.61038400060877e-08	20	26.75	26	3.20346138997816e-09	13	0.906096047155739	0.95583545305522	1	9.22801863026711	32	41	17	17	30	20	38	42	22	13	13	36
21	gmtcustom28	HALLMARK_MYC_TARGETS_V1	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MYC_TARGETS_V1	200/200	8.51377690852623e-08	2.02708974012529e-07	25	23.6666666666667	22	7.09481436728866e-09	3	0.566337384765024	0.542949475587717	1	5.43914711913032	7	23	15	49	22	21	3	9	35	31	47	22
22	gmtcustom30	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	127/200	1.16423438187819e-07	2.54665043040672e-07	15	19.6666666666667	17.5	9.70195370002167e-09	4	1.01838410425376	1.06841084185302	1	9.75471438996067	14	11	21	4	40	39	24	31	7	23	12	10
23	gmtcustom48	HALLMARK_KRAS_SIGNALING_UP	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_KRAS_SIGNALING_UP	130/200	1.17145919798709e-07	2.54665043040672e-07	35	29.8333333333333	32.5	9.76216050737451e-09	6	1.01923877651193	0.968476098859055	1	9.76303028355648	34	27	44	6	45	22	32	34	33	37	20	24
24	gmtcustom25	HALLMARK_PI3K_AKT_MTOR_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_PI3K_AKT_MTOR_SIGNALING	92/105	2.05472589517745e-07	4.28067894828635e-07	25	28.5833333333333	25	1.71227174056763e-08	12	0.549880698581436	0.556817789484342	1	5.01321083387736	20	20	24	45	28	23	21	12	44	36	44	26
25	gmtcustom4	HALLMARK_MITOTIC_SPINDLE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MITOTIC_SPINDLE	196/199	2.45205324486548e-07	4.90410648973097e-07	50	34.6666666666667	36.5	2.04337793370119e-08	18	0.645634640828662	0.616794677343183	1	5.85676897491592	24	29	48	42	47	24	18	20	41	48	43	32
