Rank	ID	GeneSet	Description	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
1	gmtcustom1	HALLMARK_TNFA_SIGNALING_VIA_NFKB	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB	170/200	6.24311623708709e-48	3.12155811854355e-46	5	4.38888888888889	1	1.73419895474642e-49	1	1.38562321523081	0.91235014433779	0.333333333333333	96.5263750480938
2	gmtcustom22	HALLMARK_HEDGEHOG_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_HEDGEHOG_SIGNALING	25/36	4.69737403165809e-26	1.17434350791452e-24	50	29.4722222222222	22.5	1.30482611990502e-27	1	0.901417205120794	-0.719054641574407	-1	21.7423635973912
3	gmtcustom6	HALLMARK_TGF_BETA_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TGF_BETA_SIGNALING	51/54	6.59722811247367e-25	1.09953801874561e-23	5	11.6388888888889	8	1.83256336457602e-26	1	0.985333538389897	0.46834638908846	0.333333333333333	37.6196153269125
4	gmtcustom5	HALLMARK_WNT_BETA_CATENIN_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_WNT_BETA_CATENIN_SIGNALING	39/42	2.66870963426632e-24	3.3358870428329e-23	50	22.6388888888889	20.5	7.41308231740645e-26	3	0.825290488146524	-0.695395691129783	-1	21.8491179118174
5	gmtcustom2	HALLMARK_HYPOXIA	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_HYPOXIA	174/200	4.41249790659286e-22	4.41249790659286e-21	5	9.13888888888889	4	1.22569386294246e-23	2	1.05533337502437	0.569937529603597	0.333333333333333	27.807226507548
6	gmtcustom40	HALLMARK_ANGIOGENESIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ANGIOGENESIS	24/36	1.27113523891401e-19	1.05927936576168e-18	30	25.1111111111111	27.5	3.53093121920559e-21	1	0.836020322652128	0.41860947872161	0.333333333333333	43.0577486934055
7	gmtcustom26	HALLMARK_MTORC1_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MTORC1_SIGNALING	191/200	4.76213319363312e-16	3.40152370973795e-15	10	12.5277777777778	6.5	1.3228147760092e-17	2	0.831845415000745	0.365190301578322	0.333333333333333	14.4034380859089
8	gmtcustom17	HALLMARK_PROTEIN_SECRETION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_PROTEIN_SECRETION	93/96	6.03630312955666e-16	3.77268945597291e-15	5	20.5833333333333	13	1.6767508693213e-17	1	0.584824949216836	0.248405970506428	0.333333333333333	28.4098943748301
9	gmtcustom31	HALLMARK_INFLAMMATORY_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE	114/200	2.20107323986821e-15	1.22281846659345e-14	10	11.3333333333333	10	6.11409233296726e-17	1	0.98158890231525	0.422935754625375	0.333333333333333	24.8822948736629
10	gmtcustom11	HALLMARK_NOTCH_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_NOTCH_SIGNALING	30/32	4.91321047678712e-15	2.45660523839356e-14	50	34.75	40.5	1.36478068799643e-16	9	0.59544827683082	0.141915151529307	0.333333333333333	6.30958192967345
11	gmtcustom48	HALLMARK_KRAS_SIGNALING_UP	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_KRAS_SIGNALING_UP	130/200	5.6104994708452e-15	2.55022703220237e-14	30	20.8888888888889	22	1.55847207523478e-16	3	0.981084584897259	0.476538632177738	0.333333333333333	20.2347004762718
12	gmtcustom3	HALLMARK_CHOLESTEROL_HOMEOSTASIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_CHOLESTEROL_HOMEOSTASIS	69/74	6.42912974069893e-15	2.67880405862455e-14	10	13	6.5	1.78586937241637e-16	1	0.880319822776326	0.409205344865579	0.333333333333333	12.6186557142639
13	gmtcustom43	HALLMARK_IL2_STAT5_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_IL2_STAT5_SIGNALING	145/199	1.14831753225944e-14	4.41660589330555e-14	10	12.9166666666667	11.5	3.18977092294291e-16	1	0.972399397425282	0.519720575909337	0.333333333333333	28.3142662635754
14	gmtcustom10	HALLMARK_APOPTOSIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS	133/161	1.47496211615023e-14	5.11571485726542e-14	5	7.86111111111111	5.5	4.0971169893062e-16	1	0.924539357937768	0.528162840670598	0.333333333333333	22.8341557601957
