"","N9-UI9","WT9-UI9","WT9-N9"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.76602959576153,1.71644284140735,-0.745422004155508
"HALLMARK_HEDGEHOG_SIGNALING",-0.798611723227752,-0.729581663331384,-0.628970538164085
"HALLMARK_TGF_BETA_SIGNALING",1.16539080276813,1.11848386442346,-0.878835499926211
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",-0.804249625708561,-0.877138830808886,-0.404798616871902
"HALLMARK_HYPOXIA",1.31091821329709,1.20479927998423,-0.805904904470525
"HALLMARK_ANGIOGENESIS",1.135514459379,0.844574345591048,-0.724260368805216
"HALLMARK_MTORC1_SIGNALING",0.95752732948453,0.870703372766848,-0.73265979751641
"HALLMARK_PROTEIN_SECRETION",0.629789845131865,0.625763602829822,-0.510335536442404
"HALLMARK_INFLAMMATORY_RESPONSE",1.15121313522695,1.00605729535488,-0.888463166705708
"HALLMARK_NOTCH_SIGNALING",-0.659258383012752,0.439734385631543,0.64526945196913
"HALLMARK_KRAS_SIGNALING_UP",1.18252699099094,0.968476098859055,-0.721387193316779
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.05064075625788,0.923899194101041,-0.746923915762189
"HALLMARK_IL2_STAT5_SIGNALING",1.17448828986774,1.14078760314476,-0.75611416528449
"HALLMARK_APOPTOSIS",1.16726888304338,1.09269515246533,-0.675475513496908
"HALLMARK_KRAS_SIGNALING_DN",-0.798199798211638,-0.676011235421088,-0.581671393893767
"HALLMARK_FATTY_ACID_METABOLISM",0.826071059108791,0.760215201199057,-0.607648038006885
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.771324271658147,0.62813304608622,-0.630630194781876
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.860802321347273,0.770187832429048,-0.542651196380223
"HALLMARK_ESTROGEN_RESPONSE_EARLY",1.03050172862625,0.95583545305522,-0.710387381546659
"HALLMARK_IL6_JAK_STAT3_SIGNALING",1.19630425419624,0.867186216768649,-0.646816503379886
"HALLMARK_UV_RESPONSE_UP",1.25967198838337,1.25345806955052,-0.659324792135033
"HALLMARK_G2M_CHECKPOINT",0.666265410208659,0.662283273009298,-0.75075849349056
"HALLMARK_UV_RESPONSE_DN",1.10758688555776,1.0723242367916,-0.881200229777139
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1.31757249035507,1.06841084185302,-0.861506684828362
"HALLMARK_P53_PATHWAY",1.21497501624301,1.15884470150659,-0.724214138743793
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.729528506768453,0.732602020831249,-0.128741288625156
"HALLMARK_E2F_TARGETS",0.617866913741066,0.643602902367945,0.283781995317947
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.597425853457846,0.556817789484342,-0.786946176427904
"HALLMARK_MITOTIC_SPINDLE",0.700614516478867,0.616794677343183,-0.627025814965959
"HALLMARK_MYC_TARGETS_V1",0.579083262925289,0.542949475587717,-0.69495893750368
"HALLMARK_GLYCOLYSIS",0.836952123961115,0.768266615468775,-0.665858484477778
"HALLMARK_COMPLEMENT",1.04707075067477,1.03537805254839,-0.780981320515934
"HALLMARK_APICAL_SURFACE",1.24540927321158,0.782883904279667,0.750550217752753
"HALLMARK_DNA_REPAIR",0.677903143835388,0.629389998034285,-0.525062371964061
"HALLMARK_ESTROGEN_RESPONSE_LATE",1.10438072914659,1.05096814455225,-0.871870390687002
