Rank	ID	GeneSet	Description	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	gmtcustom33	YY1_01	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/YY1_01	193/252	1.09805351662384e-12	2.35954529769854e-10	30	172.166666666667	100	9.15044597186992e-14	5	0.862878454024738	0.819814681737711	1	62.6357640274343	44	27	513	496	304	5	29	37	156	162	266	27
2	gmtcustom46	GATA3_01	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GATA3_01	157/245	1.84788186720674e-12	2.35954529769854e-10	865	716.5	857.5	1.53990155600692e-13	8	0.760576786321652	0.773317049297757	1	55.2097454458517	863	863	655	556	687	8	918	981	918	964	333	852
3	gmtcustom55	ZID_01	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZID_01	202/269	1.29709300043986e-12	2.35954529769854e-10	145	387.416666666667	306.5	1.08091083370053e-13	6	0.722230452824334	0.674528286635307	1	52.4262073913879	142	337	510	688	392	6	108	176	272	978	764	276
4	gmtcustom227	SOX9_B1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/SOX9_B1	177/239	1.90798811134653e-12	2.35954529769854e-10	110	253.583333333333	267.5	1.58999009279016e-13	9	0.906943109588801	0.937234260635646	1	65.8343917561581	107	126	533	279	443	9	157	256	34	408	381	310
5	gmtcustom314	CEBPGAMMA_Q6	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/CEBPGAMMA_Q6	165/259	1.67250058787881e-12	2.35954529769854e-10	980	643.25	729	1.39375048990007e-13	7	0.880017562361503	0.817596433948419	1	63.8798819371244	978	959	544	270	633	7	825	835	921	446	305	996
6	gmtcustom365	HP1SITEFACTOR_Q6	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HP1SITEFACTOR_Q6	161/235	9.99854504733219e-13	2.35954529769854e-10	595	559	574.5	8.33212087278062e-14	4	0.885346584596731	0.842919450150796	1	64.2667125629489	593	689	923	309	556	4	543	530	982	778	100	701
7	gmtcustom471	KCCGNSWTTT_UNKNOWN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KCCGNSWTTT_UNKNOWN	94/108	5.8160625007227e-13	2.35954529769854e-10	5	225.666666666667	20.5	4.84671875060353e-14	2	0.636455660815705	0.624638731892009	1	46.1998651079351	15	2	13	756	308	2	18	2	217	584	768	23
8	gmtcustom739	LHX4_TARGET_GENES	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/LHX4_TARGET_GENES	5/8	4.66561027524154e-13	2.35954529769854e-10	490	603	640.5	4.24146388658413e-14	1	0.488737682320784	0.492033264948706	1	35.4771029304812	486	756	74	971	660	1	621	591	1041	171	1071	793
9	gmtcustom1059	ZNF746_TARGET_GENES	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF746_TARGET_GENES	61/79	9.54660918781088e-13	2.35954529769854e-10	35	382.416666666667	277.5	7.95550765651253e-14	3	0.8567134235197	0.871891964473911	1	62.1882480473497	258	763	33	297	31	3	523	649	997	108	161	766
10	gmtcustom40	YY1_02	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/YY1_02	228/251	2.64079248562535e-12	2.44933503041751e-10	95	444.833333333333	407	2.20066040469046e-13	12	0.617024359092362	0.546393040927238	1	44.7138968918401	93	45	631	852	609	12	77	58	844	998	914	205
11	gmtcustom111	SRY_02	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/SRY_02	173/259	2.45515898000138e-12	2.44933503041751e-10	220	200.75	152.5	2.04596581667011e-13	10	1.04693904681882	1.11354925587618	1	75.8685760883933	287	160	648	145	358	10	125	53	218	94	220	91
