Rank	ID	GeneSet	Description	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	gmtcustom33	YY1_01	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/YY1_01	193/252	4.13322633263221e-11	1.06388408223289e-08	50	193.416666666667	96.5	3.44435527725875e-12	3	0.832505340371186	0.864122124094253	1	43.3023039450552	33	46	515	548	405	3	20	25	146	177	356	47
2	gmtcustom40	YY1_02	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/YY1_02	228/251	4.98201784729144e-11	1.06388408223289e-08	80	458.416666666667	428.5	4.15168153950432e-12	4	0.548111568400875	0.526150481726269	1	28.5096580301719	97	80	602	855	660	4	79	71	794	992	1012	255
3	gmtcustom55	ZID_01	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZID_01	202/269	8.79507168565338e-11	1.06388408223289e-08	255	474.75	419.5	7.32922640500658e-12	8	0.656271530068077	0.613054025842805	1	34.1355618747797	254	441	609	780	772	8	192	279	299	973	692	398
4	gmtcustom111	SRY_02	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/SRY_02	173/259	6.31481841695561e-11	1.06388408223289e-08	415	259.166666666667	198.5	5.26234868094865e-12	5	1.01552555716339	1.18549602634488	1	52.8220386548397	412	131	813	141	449	5	223	174	229	88	341	104
5	gmtcustom207	ZF5_B	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZF5_B	190/243	3.12064573984863e-11	1.06388408223289e-08	1040	705.083333333333	842	2.60053811657772e-12	1	0.647839341031684	0.66174250502999	1	33.6969644124001	1038	970	394	748	593	1	896	912	283	873	811	942
6	gmtcustom471	KCCGNSWTTT_UNKNOWN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KCCGNSWTTT_UNKNOWN	94/108	3.13017383946858e-11	1.06388408223289e-08	5	276.666666666667	124	2.60847819959456e-12	1	0.584697306475659	0.561677856558974	1	30.4126528289871	9	4	267	809	408	2	11	1	218	764	797	30
7	gmtcustom502	TTANWNANTGGM_UNKNOWN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/TTANWNANTGGM_UNKNOWN	35/65	8.75262839944472e-11	1.06388408223289e-08	95	292.416666666667	207	7.29385699982985e-12	7	0.703683712751498	0.716920460486902	1	36.6016905302301	92	48	299	453	739	7	218	69	99	809	480	196
8	gmtcustom522	YNTTTNNNANGCARM_UNKNOWN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/YNTTTNNNANGCARM_UNKNOWN	37/72	9.5587069383009e-11	1.06388408223289e-08	895	561.916666666667	602	7.96558911559972e-12	10	0.911049099754961	0.924654425950358	1	47.3877310391101	895	867	50	227	794	10	692	445	414	912	512	925
9	gmtcustom639	CTR9_TARGET_GENES	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/CTR9_TARGET_GENES	54/68	7.98185827764157e-11	1.06388408223289e-08	130	286.75	248	6.65154856494464e-12	6	0.724009584609678	0.60453770276059	1	37.6589338841412	127	238	441	258	458	6	182	22	993	355	319	42
10	gmtcustom1055	ZNF707_TARGET_GENES	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF707_TARGET_GENES	31/53	9.38647993359958e-11	1.06388408223289e-08	740	584.333333333333	652	7.82206661166948e-12	9	0.95043680204611	1.11910377638439	1	49.4364690594864	739	800	565	182	918	9	983	1049	380	159	433	795
11	gmtcustom171	EGR3_01	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/EGR3_01	66/83	1.34651246975158e-10	1.06763353579683e-08	150	181.166666666667	164	1.12209372486223e-11	13	0.994760609690447	1.03460149746027	1	51.7320415219332	147	336	22	50	28	13	404	216	463	181	69	245
12	gmtcustom206	WHN_B	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WHN_B	201/261	1.89536954503644e-10	1.06763353579683e-08	265	263	276	1.57947462100091e-11	17	0.967317206910027	1.14604613259891	1	50.3048557488385	263	362	512	149	153	17	405	397	289	66	93	450
13	gmtcustom249	AR_Q2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/AR_Q2	86/126	1.83914469898156e-10	1.06763353579683e-08	810	648.833333333333	720.5	1.53262058261383e-11	16	0.805835989512523	0.920649726066822	1	41.9070743973161	809	733	930	554	826	16	708	532	704	321	885	768
14	gmtcustom278	ATF6_01	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ATF6_01	99/126	2.11032684524081e-10	1.06763353579683e-08	65	64.3333333333333	45.5	1.75860570453744e-11	7	0.988311562841264	1.05261844064757	1	51.3966608117925	17	236	7	51	31	21	30	40	64	64	124	87
15	gmtcustom307	HTF_01	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HTF_01	52/72	1.81382944526242e-10	1.06763353579683e-08	155	215.916666666667	217	1.51152453784434e-11	7	0.829360285684038	0.875287223900346	1	43.1304482291503	154	7	290	292	566	15	249	200	234	108	299	177
16	gmtcustom325	HOXA4_Q2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HOXA4_Q2	168/272	1.17507569693046e-10	1.06763353579683e-08	205	268.5	243.5	9.79229747494785e-12	12	0.809812397910288	0.800136600830906	1	42.1138663005911	201	54	626	369	398	12	228	186	259	476	116	297
17	gmtcustom400	AHR_Q5	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/AHR_Q5	185/221	2.05761177400255e-10	1.06763353579683e-08	615	365	308.5	1.71467647849716e-11	19	0.729720146983203	0.732408227023251	1	37.9486932725649	612	263	212	643	156	19	406	313	632	206	614	304
18	gmtcustom417	GGARNTKYCCA_UNKNOWN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GGARNTKYCCA_UNKNOWN	51/80	1.57106626227214e-10	1.06763353579683e-08	665	482.75	488	1.30922188532105e-11	14	0.790623620470037	0.80051731285286	1	41.1159597951578	663	670	40	106	499	14	981	1042	403	477	291	607
19	gmtcustom550	TTCNRGNNNNTTC_HSF_Q6	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/TTCNRGNNNNTTC_HSF_Q6	124/155	1.9386871824018e-10	1.06763353579683e-08	40	70.0833333333333	37.5	1.61557265214506e-11	4	1.16375514398572	1.25145880849397	1	60.5205506221623	37	338	4	38	23	18	75	67	25	32	86	98
20	gmtcustom623	CDX1_TARGET_GENES	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/CDX1_TARGET_GENES	35/42	2.08468232780844e-10	1.06763353579683e-08	885	585.75	624	1.73723527333968e-11	20	0.612313593790176	0.587589242160863	1	31.8430013608926	882	1060	48	362	381	20	937	836	183	497	751	1072
21	gmtcustom739	LHX4_TARGET_GENES	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/LHX4_TARGET_GENES	5/8	1.07414409683431e-10	1.06763353579683e-08	600	740.083333333333	784	9.76494633533412e-12	11	0.441216547611354	0.410020289873734	1	22.9451517728248	599	850	571	971	790	11	778	771	935	680	1049	876
22	gmtcustom824	PSMB5_TARGET_GENES	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PSMB5_TARGET_GENES	255/309	1.82151271021475e-10	1.06763353579683e-08	5	56.25	32.5	1.51792725863902e-11	1	0.821624802903943	0.813567093168081	1	42.7281668116416	1	5	161	4	70	177	2	35	30	136	11	43
23	gmtcustom436	GGCNKCCATNK_UNKNOWN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GGCNKCCATNK_UNKNOWN	109/121	2.21291229311041e-10	1.07085712270951e-08	90	419.333333333333	368.5	1.84409357777904e-11	22	0.590243100560471	0.557379931322453	1	30.6901904201236	89	242	548	835	487	22	165	134	554	761	945	250
24	gmtcustom22	CREBP1CJUN_01	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/CREBP1CJUN_01	204/264	6.97306087623334e-10	1.0779189937844e-08	5	42.0833333333333	19	5.81088406538493e-11	2	1.04080111412528	1.07701412472619	1	54.0980911274185	2	8	184	20	76	71	5	3	18	65	43	10
25	gmtcustom23	SOX5_01	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/SOX5_01	190/268	4.9796361730573e-10	1.0779189937844e-08	165	323.333333333333	260.5	4.14969681182818e-11	46	0.865404156992362	0.894174337167016	1	44.9813905404628	163	348	897	201	539	46	176	198	371	484	137	320
26	gmtcustom36	TAL1BETAE47_01	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/TAL1BETAE47_01	154/255	4.91977023337373e-10	1.0779189937844e-08	570	592.666666666667	624	4.0998085287359e-11	45	0.805097165137739	0.723622468059481	1	41.8467820670561	569	762	539	368	515	45	709	701	679	908	547	770
27	gmtcustom46	GATA3_01	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GATA3_01	157/245	4.41125759563894e-10	1.0779189937844e-08	925	844.666666666667	884.5	3.67604799710901e-11	40	0.735734252494503	0.820680440917412	1	38.2414691999215	924	889	1070	705	1105	40	880	862	1092	1045	674	850
28	gmtcustom63	PAX2_01	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PAX2_01	41/59	2.74078016047388e-10	1.0779189937844e-08	235	402.083333333333	427	2.28398346734848e-11	25	0.862787510943111	0.918240140338675	1	44.8453837421522	232	434	448	335	678	25	519	581	303	420	348	502
29	gmtcustom72	TAXCREB_01	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/TAXCREB_01	112/140	6.41183998034348e-10	1.0779189937844e-08	40	80.25	57	5.3431999851898e-11	3	1.129129629944	1.30948280822812	1	58.6891892010258	53	76	260	48	15	61	113	136	40	3	120	38
30	gmtcustom82	GATA1_02	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GATA1_02	161/249	2.51673252608181e-10	1.0779189937844e-08	210	211.833333333333	185.5	2.09727710531009e-11	24	0.927621176481963	1.02300802099943	1	48.2152775324112	208	138	734	189	340	24	240	114	74	182	97	202
31	gmtcustom92	OCT1_01	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/OCT1_01	169/271	6.18027410339969e-10	1.0779189937844e-08	365	423.416666666667	460.5	5.1502284209586e-11	48	0.849038545488133	0.845410030598459	1	44.1307464788703	362	615	630	143	527	59	410	511	286	845	48	645
32	gmtcustom101	HSF1_01	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HSF1_01	184/276	3.53297865114286e-10	1.0779189937844e-08	30	67.0833333333333	56	2.94414887642912e-11	26	1.06358661912249	1.14897319212218	1	55.2824253951147	60	63	211	28	26	34	88	52	44	68	30	101
33	gmtcustom103	HSF2_01	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HSF2_01	173/259	6.56921917478134e-10	1.0779189937844e-08	35	66.0833333333333	54	5.47434931396604e-11	2	1.16055331282275	1.25051799136866	1	60.322514617999	45	66	231	35	33	63	98	88	2	39	8	85
34	gmtcustom143	HNF1_C	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HNF1_C	168/249	5.87274727567645e-10	1.0779189937844e-08	570	538.25	576.5	4.893956064381e-11	54	0.800708268378673	0.871430415229497	1	41.6186580544534	598	566	634	390	865	54	585	746	393	825	235	568
35	gmtcustom175	GFI1_01	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GFI1_01	182/265	5.85297254810669e-10	1.0779189937844e-08	55	241.25	247.5	4.87747712473067e-11	28	1.03387711398707	1.12965125430246	1	53.7381987030802	252	406	400	54	176	53	243	294	381	218	28	390
