Rank	ID	GeneSet	Description	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
1	gmtcustom33	YY1_01	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/YY1_01	193/252	3.2941605498679e-12	7.07863589308214e-10	30	353.416666666667	100	9.15044597186992e-14	3	0.813022991685348	0.809207328830695	1	39.4042539571831
2	gmtcustom46	GATA3_01	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GATA3_01	157/245	5.54364560161e-12	7.07863589308214e-10	865	729.972222222222	857.5	1.53990155600692e-13	8	0.787438934444894	0.234166890414191	0.333333333333333	45.8567861027599
3	gmtcustom55	ZID_01	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZID_01	202/269	3.89127900131455e-12	7.07863589308214e-10	145	397.583333333333	306.5	1.08091083370053e-13	6	0.704231435527863	0.646505752419655	1	35.1765636200624
4	gmtcustom227	SOX9_B1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/SOX9_B1	177/239	5.72396433402868e-12	7.07863589308214e-10	110	328.583333333333	267.5	1.58999009279016e-13	9	0.874275628138316	0.292522390510176	0.333333333333333	50.7028476789616
5	gmtcustom314	CEBPGAMMA_Q6	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/CEBPGAMMA_Q6	165/259	5.01750176362804e-12	7.07863589308214e-10	980	647.166666666667	729	1.39375048990007e-13	7	0.796325800148487	0.258367209891596	0.333333333333333	47.187918786659
6	gmtcustom365	HP1SITEFACTOR_Q6	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HP1SITEFACTOR_Q6	161/235	2.99956351419666e-12	7.07863589308214e-10	595	604.916666666667	617.5	8.33212087278062e-14	4	0.786265286669379	0.792147795870651	1	46.7384991087476
7	gmtcustom471	KCCGNSWTTT_UNKNOWN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KCCGNSWTTT_UNKNOWN	94/108	1.7448187502158e-12	7.07863589308214e-10	5	288.555555555556	124	4.84671875060353e-14	1	0.466170171143793	0.340319739288417	0.333333333333333	27.0080905747862
8	gmtcustom739	LHX4_TARGET_GENES	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/LHX4_TARGET_GENES	5/8	1.39968308257181e-12	7.07863589308214e-10	490	635.444444444444	640.5	4.24146388658413e-14	1	0.348493534772183	0.259949275943804	0.333333333333333	21.4359363995842
9	gmtcustom1059	ZNF746_TARGET_GENES	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF746_TARGET_GENES	61/79	2.86398275634053e-12	7.07863589308214e-10	35	424.666666666667	277.5	7.95550765651253e-14	3	0.766816583354356	0.377882761492094	0.333333333333333	51.2820091339717
10	gmtcustom40	YY1_02	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/YY1_02	228/251	7.92237745685514e-12	7.34800509123314e-10	95	503.722222222222	428.5	2.20066040469046e-13	4	0.622169072494689	0.123724077554225	0.333333333333333	25.4208104455632
11	gmtcustom111	SRY_02	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/SRY_02	173/259	7.36547693998605e-12	7.34800509123314e-10	220	268.583333333333	198.5	2.04596581667011e-13	5	0.953016331294861	0.45948057754423	0.333333333333333	45.087933573587
