Rank	ID	GeneSet	Description	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	gmtcustom15	MIR520D_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR520D_5P	741/939	5.27074659224434e-09	8.67376454606322e-08	80	801.916666666667	708.5	4.79158782261088e-10	79	0.807858772749497	0.807665490526474	1	23.7251556879929	79	979	1101	2417	872	164	354	658	375	641	1224	759
2	gmtcustom16	MIR524_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR524_5P	741/941	5.13625486879211e-09	8.67376454606322e-08	70	790.833333333333	681	4.6693226188941e-10	69	0.806753543583647	0.807665490526474	1	23.6926966027811	69	698	1102	2418	884	159	348	655	378	664	1353	762
3	gmtcustom20	MIR3658	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR3658	626/819	6.30793738428324e-09	8.67376454606322e-08	40	665.916666666667	441.5	5.73448854760875e-10	40	0.796045180636072	0.797712130374856	1	23.3782064715626	40	641	455	2422	334	200	291	428	327	839	1307	707
4	gmtcustom24	MIR548E_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR548E_5P	604/745	3.86831666644145e-09	8.67376454606322e-08	965	1206.91666666667	1120	3.51665152113019e-10	108	0.716706711624667	0.687950682557153	1	21.04814298266	194	1277	1734	2425	2148	108	378	619	963	1563	2111	963
5	gmtcustom44	MIR95_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR95_5P	527/672	3.73968022879826e-09	8.67376454606322e-08	15	451.666666666667	281.5	3.39970930468651e-10	13	0.861409288623814	0.837717007569521	1	25.2978618846894	15	629	457	2442	304	102	120	259	32	743	13	304
6	gmtcustom61	MIR10527_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR10527_5P	451/592	4.26518857398811e-09	8.67376454606322e-08	75	503.916666666667	391.5	3.55432381860502e-10	74	0.835731411015631	0.853653215247143	1	24.5437373618335	74	966	459	1302	363	111	420	712	340	296	266	738
7	gmtcustom62	MIR3529_3P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR3529_3P	435/547	3.08656403418634e-09	8.67376454606322e-08	95	892.083333333333	695	2.57213669879402e-10	75	0.753082282818851	0.763693969950477	1	22.1164442920206	95	950	760	2278	609	75	587	630	782	614	2249	1076
8	gmtcustom139	MIR3688_3P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR3688_3P	318/416	6.15146378047427e-09	8.67376454606322e-08	180	729.833333333333	676	5.12621983151486e-10	144	0.784477488059138	0.793836606089531	1	23.038478991814	180	228	783	1948	587	177	343	795	144	1313	1495	765
9	gmtcustom184	MIR4531	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR4531	250/333	5.40797744360272e-09	8.67376454606322e-08	605	814.666666666667	732.5	4.50664788083936e-10	130	0.738821601479429	0.746015151404276	1	21.6976273759658	601	426	1479	1724	978	151	130	864	247	1218	1800	158
10	gmtcustom186	MIR7159_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR7159_5P	283/372	6.64638395513201e-09	8.67376454606322e-08	845	1707.83333333333	1758.5	5.53865331281551e-10	194	0.69699379315116	0.712948527580587	1	20.4692012389237	845	1765	2425	2328	2568	194	1193	1588	1458	2016	2362	1752
