Rank	ID	GeneSet	Description	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	gmtcustom2377	LET_7I_3P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/LET_7I_3P	3/5	2.95004001585401e-08	7.66125392117287e-05	285	727.166666666667	304.5	2.681854595829e-09	1	0.253868865576705	-0.253868865576705	-1	27.0756992839072	609	325	283	2586	434	2	161	1	1518	99	2424	284
2	gmtcustom2362	MIR127_3P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR127_3P	5/6	8.50292673038779e-07	0.00110410503594085	15	1163.75	892	7.72993637885677e-08	2	0.392000762067616	-0.488731927145668	-1	30.0374612619784	911	14	1710	2572	873	2579	545	2	2238	100	2410	11
3	gmtcustom2239	MIR598_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR598_5P	2/5	2.98315272301843e-06	0.00258241587389295	5	1146.18181818182	1654	2.98315672766607e-07	1	1.49112346918866	-1.49112346918866	-1	100	2216	1959	284	2465	NA	1	1654	66	2182	1	3	1777
4	gmtcustom2349	MIR101_2_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR101_2_5P	5/6	7.65908339350653e-06	0.00497265989323411	100	516.166666666667	109	6.96282732543748e-07	3	0.296298805537151	-0.296298805537151	-1	17.6859297268375	119	99	276	2559	361	5	146	3	41	98	2397	90
5	gmtcustom2067	MIR621	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR621	29/36	3.41467621142127e-05	0.0177358282421221	1125	684.583333333333	601.5	2.84560804526359e-06	3	0.961464926124173	0.961464926124173	1	43.6297720222886	1121	885	244	960	61	3	318	195	1245	121	2122	940
6	gmtcustom2208	MIR885_3P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR885_3P	24/29	6.67539747461347e-05	0.0192622302684124	1100	664.25	535	5.56300143410562e-06	4	0.961464926124173	0.961464926124173	1	42.7364442164712	1099	101	681	860	886	4	374	37	960	322	2258	389
7	gmtcustom2336	MIR3197	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR3197	4/5	6.66696736688238e-05	0.0192622302684124	420	1156.91666666667	1194.5	6.06106310352836e-06	6	0.411988350007215	-0.411988350007215	-1	18.3125941974432	418	100	1103	2546	1286	1302	410	6	1989	2105	2384	234
8	gmtcustom2369	MIR412_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR412_5P	4/5	5.90469045111468e-05	0.0192622302684124	740	1100.58333333333	837	5.36804448729209e-06	5	0.487420859164666	-0.487420859164666	-1	21.6655165426323	738	743	715	2579	1279	1595	931	5	152	1527	2417	526
9	gmtcustom2421	GCGCCTT_MIR525_MIR524	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GCGCCTT_MIR525_MIR524	13/15	5.77210124157501e-05	0.0192622302684124	615	897	709.5	4.81021162568607e-06	4	0.246931660190637	-0.198794901715089	-1	10.9759396211811	614	82	1094	158	1601	1974	417	4	805	1431	2451	133
10	gmtcustom28	MIR4262	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR4262	600/769	0.000116038488018238	0.0301351953383365	5	581	373.5	1.05495098993883e-05	1	0.680317685476291	-0.683869683972354	-1	26.8130584955581	1	445	290	2429	194	1311	246	309	201	438	483	625
11	gmtcustom2199	MIR4538	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR4538	21/27	0.000136630131535505	0.0322571319634279	25	264.166666666667	53	1.13865573628477e-05	6	0.65754892102794	-0.65754892102794	-1	25.412139045459	69	37	259	224	24	6	107	21	15	143	2249	16
12	gmtcustom78	MIR181D_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR181D_5P	470/599	0.000205584415059642	0.0355935150606593	5	616.583333333333	383.5	1.71336490867149e-05	3	0.669638006392457	-0.673542836378563	-1	25.1376004743928	3	682	300	2204	280	1109	320	275	290	749	447	740
13	gmtcustom79	MIR181C_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR181C_5P	472/601	0.000195432522277185	0.0355935150606593	5	587.583333333333	384	1.62875024989442e-05	2	0.66411054184835	-0.667157890513527	-1	24.930104491289	2	746	298	2208	261	1015	317	277	274	479	451	723
14	gmtcustom2063	MIR6819_3P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR6819_3P	27/34	0.000183176126407482	0.0355935150606593	70	370.083333333333	86	1.52659589076583e-05	7	0.663822924735848	-0.663822924735848	-1	24.9193076069237	178	83	675	886	219	7	69	69	89	27	2118	21
15	gmtcustom2069	MIR6877_3P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR6877_3P	27/33	0.000183176126407482	0.0355935150606593	25	366.583333333333	80	1.52659589076583e-05	8	0.663822924735848	-0.663822924735848	-1	24.9193076069237	179	25	676	887	220	8	70	70	90	28	2124	22
16	gmtcustom77	MIR181A_5P_MIR181B_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR181A_5P_MIR181B_5P	471/600	0.000236094492582667	0.0383210873273242	750	625.5	393	1.96766703513526e-05	4	0.669638006392457	-0.673542836378563	-1	24.5811529852462	4	778	299	2218	278	1064	337	287	295	748	449	749
