Rank	ID	GeneSet	Description	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	gmtcustom24	MIR548E_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR548E_5P	604/745	7.29597255394704e-08	2.58864718695736e-06	300	1216.25	1221.5	6.63270254173374e-09	73	0.691845253287736	0.666129425740632	1	15.2295980198571	298	1013	1705	2425	2102	73	501	703	1284	1398	1934	1159
2	gmtcustom184	MIR4531	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR4531	250/333	1.13940162661649e-07	2.58864718695736e-06	110	713	396.5	9.49501405099149e-09	45	0.72525092744457	0.738713155525696	1	15.964975820619	213	107	1126	2075	1477	108	45	580	129	1454	1138	104
3	gmtcustom186	MIR7159_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR7159_5P	283/372	1.17084434572109e-07	2.58864718695736e-06	985	1488.83333333333	1518	9.75703673794116e-09	112	0.676353072579232	0.680778212453385	1	14.8885599756932	985	1711	1121	2313	2172	112	1180	1325	1814	1217	2142	1774
4	gmtcustom271	MIR1323	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR1323	247/321	9.83804359037482e-08	2.58864718695736e-06	35	676.833333333333	583	8.19837002831867e-09	32	0.691429907870604	0.69190599292299	1	15.220454788741	32	358	662	2117	579	89	336	278	587	1075	1096	913
5	gmtcustom288	MIR4446_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR4446_5P	227/304	1.42265764177565e-07	2.58864718695736e-06	830	1241	996	1.18554811211688e-08	133	0.699715524949022	0.700805470268424	1	15.4028507145492	829	702	2115	2012	2082	133	549	817	1024	1977	1684	968
6	gmtcustom326	MIR8067	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR8067	212/287	6.04753086358251e-08	2.58864718695736e-06	185	945.25	759.5	5.03960919267255e-09	52	0.638295640264504	0.631449270711472	1	14.0507804192365	185	920	668	2297	851	52	617	564	323	1733	2145	988
7	gmtcustom336	MIR548O_3P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR548O_3P	222/281	8.76204463570818e-08	2.58864718695736e-06	25	729.75	722.5	7.301704156322e-09	25	0.695793886077783	0.701385674835104	1	15.3165214833241	25	851	887	2092	594	83	359	264	475	1178	1003	946
8	gmtcustom379	MIR4801	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR4801	202/273	9.89306420804989e-08	2.58864718695736e-06	225	275.333333333333	251.5	8.24422054719435e-09	64	0.837936737451464	0.885790026137465	1	18.4455916211233	64	97	455	481	221	91	107	431	282	221	498	356
9	gmtcustom439	MIR3140_3P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR3140_3P	174/236	1.06942432964574e-07	2.58864718695736e-06	205	625.166666666667	212	8.91186985053235e-09	63	0.869904624889009	0.843395479557207	1	19.1493186181735	71	77	2586	769	1881	102	63	203	299	1027	219	205
10	gmtcustom459	MIR766_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR766_5P	158/226	5.32230057988352e-08	2.58864718695736e-06	1975	1307.08333333333	1412	4.43525059142922e-09	41	0.717321874657998	0.669453023466405	1	15.7904291441191	1547	1592	901	1972	987	41	1460	1973	1090	1511	1247	1364
