Rank	ID	GeneSet	Description	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
1	gmtcustom15	MIR520D_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR520D_5P	741/939	1.58122396933907e-08	2.58924751790299e-07	80	882.944444444444	708.5	4.79158782261088e-10	79	0.745426070103316	0.285721498139609	0.333333333333333	20.2596136856304
2	gmtcustom16	MIR524_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR524_5P	741/941	1.5408764527233e-08	2.58924751790299e-07	70	870.638888888889	681	4.6693226188941e-10	69	0.745344026933853	0.285721498139609	0.333333333333333	20.2939091622862
3	gmtcustom20	MIR3658	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR3658	626/819	1.89238120334795e-08	2.58924751790299e-07	40	772.333333333333	612.5	5.73448854760875e-10	40	0.748425320053883	0.280292711505002	0.333333333333333	21.1257792300276
4	gmtcustom24	MIR548E_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR548E_5P	604/745	1.16049499544327e-08	2.58924751790299e-07	965	1096.91666666667	1120	3.51665152113019e-10	73	0.736320208029004	0.174459715522649	0.333333333333333	18.3279998305908
5	gmtcustom44	MIR95_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR95_5P	527/672	1.12190406444392e-08	2.58924751790299e-07	15	575.888888888889	344.5	3.39970930468651e-10	13	0.803541563294407	0.293886540652034	0.333333333333333	19.7517718872382
6	gmtcustom61	MIR10527_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR10527_5P	451/592	1.27955656673889e-08	2.58924751790299e-07	75	725.805555555556	709	3.55432381860502e-10	74	0.756532949371246	0.364676824676043	0.333333333333333	19.1589970629592
7	gmtcustom62	MIR3529_3P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR3529_3P	435/547	9.25969207397838e-09	2.58924751790299e-07	95	976.555555555556	778.5	2.57213669879402e-10	75	0.715721611424163	0.2780817063452	0.333333333333333	19.6379808915169
8	gmtcustom139	MIR3688_3P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR3688_3P	318/416	1.84543912279013e-08	2.58924751790299e-07	180	785.111111111111	747.5	5.12621983151486e-10	144	0.704931221550527	0.357590057137233	0.333333333333333	17.8498651854741
9	gmtcustom184	MIR4531	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR4531	250/333	1.62239322430695e-08	2.58924751790299e-07	605	980.138888888889	732.5	4.50664788083936e-10	45	0.745452435740425	0.240574852099806	0.333333333333333	14.5766483763349
10	gmtcustom186	MIR7159_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR7159_5P	283/372	1.99391517328728e-08	2.58924751790299e-07	845	1522.25	1518	5.53865331281551e-10	112	0.642880090293952	0.279477778294169	0.333333333333333	13.3845177784491
11	gmtcustom248	MIR3120_3P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR3120_3P	283/346	1.5731405533149e-08	2.58924751790299e-07	25	750.138888888889	498	4.36983490373621e-10	22	0.70538583429121	0.266981265800406	0.333333333333333	19.849231371339
12	gmtcustom271	MIR1323	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR1323	247/321	1.32173502917917e-08	2.58924751790299e-07	65	863.25	595.5	3.67148621575402e-10	32	0.694760744054817	0.255096402910572	0.333333333333333	15.4847312474796
13	gmtcustom288	MIR4446_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR4446_5P	227/304	1.3450581722887e-08	2.58924751790299e-07	760	1058.66666666667	867.5	3.73627272523147e-10	42	0.755964996266725	0.220435652132287	0.333333333333333	15.8966946925234
14	gmtcustom294	MIR4503	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR4503	200/281	1.14586130189699e-08	2.58924751790299e-07	175	697.555555555556	340.5	3.18294807855449e-10	90	0.798057125738091	0.307108849806716	0.333333333333333	22.4581874508455
15	gmtcustom310	MIR515_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR515_5P	228/304	1.76068373063358e-08	2.58924751790299e-07	945	1013.11111111111	893	4.89078818250848e-10	43	0.785245290953169	0.296457213130641	0.333333333333333	18.6621551597
16	gmtcustom326	MIR8067	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR8067	212/287	1.20298360948903e-08	2.58924751790299e-07	300	1140.33333333333	1000.5	3.34162115701078e-10	52	0.63919200861991	0.247396925559623	0.333333333333333	14.1597368250751
17	gmtcustom336	MIR548O_3P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR548O_3P	222/281	1.22489509847687e-08	2.58924751790299e-07	35	903.694444444444	722.5	3.40248640491756e-10	25	0.684609407465747	0.269549402654829	0.333333333333333	15.5378851366853
18	gmtcustom364	MIR3617_5P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR3617_5P	200/260	1.28593443797306e-08	2.58924751790299e-07	115	549.527777777778	483	3.57204012780978e-10	28	0.829773044737553	0.401922189589522	0.333333333333333	23.0215530694547
19	gmtcustom367	MIR641	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIR641	200/259	7.80246811288524e-09	2.58924751790299e-07	140	544.222222222222	483	2.16735226179971e-10	19	0.829773044737553	0.401922189589522	0.333333333333333	23.2866479264411
20	gmtcustom370	LET_7A_2_3P	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/LET_7A_2_3P	217/287	1.95874119891967e-08	2.58924751790299e-07	510	912.472222222222	819.5	5.44094782658370e-10	189	0.646874013249961	0.260796905836475	0.333333333333333	15.4263436734908
