"","N9-UI9","WT9-UI9","WT9-N9"
"MIR520D_5P",0.807665490526474,0.787205628092792,-0.737706624200439
"MIR524_5P",0.807665490526474,0.787205628092792,-0.737706624200439
"MIR3658",0.797712130374856,0.729175276525276,-0.686009272385127
"MIR548E_5P",0.687950682557153,0.666129425740632,-0.830700961729839
"MIR95_5P",0.837717007569521,0.793903354170118,-0.749960739783538
"MIR10527_5P",0.853653215247143,0.875561329659184,-0.635184070878197
"MIR3529_3P",0.763693969950477,0.749967404714706,-0.679416255629583
"MIR3688_3P",0.793836606089531,0.804048750960932,-0.525115185638766
"MIR4531",0.746015151404276,0.738713155525696,-0.763003750630553
"MIR7159_5P",0.712948527580587,0.680778212453385,-0.555293405151464
"MIR3120_3P",0.725397052412891,0.728633979810474,-0.653087234822147
"MIR1323",0.753178837410266,0.69190599292299,-0.67979562160154
"MIR4446_5P",0.738553372960345,0.700805470268424,-0.778051886831908
"MIR4503",0.823699112390477,0.810884661222551,-0.713257224192881
"MIR515_5P",0.857510051076184,0.848429845309221,-0.816568256993483
"MIR8067",0.694947411073416,0.631449270711472,-0.584205905106019
"MIR548O_3P",0.766358850594289,0.701385674835104,-0.659096317464907
"MIR3617_5P",0.941865801891802,0.931824980057032,-0.667924213180268
"MIR641",0.941865801891802,0.931824980057032,-0.667924213180268
"LET_7A_2_3P",0.711400797218033,0.638084629740811,-0.567094709449418
"LET_7G_3P",0.711400797218033,0.638084629740811,-0.567094709449418
"MIR507",0.731595332308711,0.727272172596146,-0.665818213683457
"MIR4496",0.665086882016629,0.577547818690535,-0.547411206418067
"MIR5093",0.67742905387662,0.699120406077645,-0.683353154044887
"MIR5683",0.631812092383401,0.587688245913879,-0.547824138077473
"MIR3140_3P",0.72207306378269,0.843395479557207,-0.511931410204866
"MIR766_5P",0.751732323575293,0.669453023466405,-0.521653632652875
"MIR761",0.720927693295277,0.604319700298048,-0.507057230271313
"MIR557",0.773943061562165,0.769194469591306,-0.665818213683457
"MIR4743_3P",0.829260276189447,0.800900037913586,-0.594238128061478
"MIR452_5P",0.782862283868301,0.68586645634432,-1.12222025649419
"MIR3185",0.817868342671641,0.880612452089,-0.576065464837781
"MIR4731_3P",0.925615918359048,0.933623166784422,-0.532158622579827
"MIR892C_3P",0.794562819801654,0.68298361447743,-1.12222025649419
"MIR4676_3P",0.78754546587046,0.674849094141895,-1.12222025649419
