Rank	ID	GeneSet	NumGenes	Type	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	hsa00061	Fatty acid biosynthesis	10/13	Metabolism	3.91494369559708e-08	2.47891166770433e-06	280	171.666666666667	171	3.26245313820403e-09	4	0.874162800631655	0.858233194642897	1	28.7286872235102	277	244	75	79	111	4	274	268	285	101	129	213
2	hsa00440	Phosphonate and phosphinate metabolism	6/6	Metabolism	1.58220332241762e-08	2.47891166770433e-06	280	196.333333333333	248	1.43836666708778e-09	1	0.622290953170928	-0.585553462244907	-1	20.4510169426433	280	272	77	276	128	1	258	280	220	68	258	238
3	hsa00900	Terpenoid backbone biosynthesis	21/22	Metabolism	2.65814711948303e-08	2.47891166770433e-06	80	71.9166666666667	65	2.21512262655642e-09	2	0.861269294125948	0.96677255156467	1	28.3049471481725	80	76	148	156	15	2	110	151	8	26	54	37
4	hsa00920	Sulfur metabolism	10/10	Metabolism	4.30366608976447e-08	2.47891166770433e-06	80	161.75	168	3.58638847887906e-09	5	1.18144441269705	-0.953738623600099	-1	38.8273778619993	287	267	76	158	77	5	283	277	178	13	45	275
5	hsa05120	Epithelial cell signaling in Helicobacter pylori infection	55/68	Disease	3.14486611135669e-08	2.47891166770433e-06	60	57.0833333333333	59	2.62072179723891e-09	3	0.847180892522131	0.916828582834016	1	27.8419373102865	19	59	14	122	74	3	28	14	62	89	142	59
6	hsa00620	Pyruvate metabolism	35/39	Metabolism	9.69462067745329e-08	2.85177180502912e-06	220	143.25	188.5	8.07885092351746e-09	7	0.875708408437141	0.993570478919328	1	28.4670605445692	217	219	65	106	32	7	211	212	258	10	166	216
7	hsa03410	Base excision repair	33/33	Signaling	1.33300792372912e-07	2.85177180502912e-06	200	146.75	129.5	1.11084000430903e-08	11	0.548198009432376	-0.62494358465704	-1	17.8204030780131	121	197	96	240	138	11	120	117	45	202	275	199
8	hsa04390	Hippo signaling pathway	129/154	Signaling	1.08828413038428e-07	2.85177180502912e-06	25	48.0833333333333	38.5	9.06903487222969e-09	9	0.894586167814853	0.919624660949403	1	29.0807358307321	22	65	27	13	24	9	53	98	107	50	15	94
9	hsa04520	Adherens junction	66/72	Signaling	1.38627796077804e-07	2.85177180502912e-06	10	85.4166666666667	81	1.15523170738251e-08	8	0.671115661320332	0.692565189761222	1	21.8161911208392	8	104	42	225	88	13	39	22	74	94	194	122
10	hsa04622	RIG-I-like receptor signaling pathway	46/70	Signaling	1.01334396580193e-07	2.85177180502912e-06	165	121.333333333333	135.5	8.44453344055518e-09	8	0.652704281077037	0.594400266867544	1	21.2176768155453	183	127	18	196	73	8	136	135	165	163	157	95
11	hsa04710	Circadian rhythm	28/31	Signaling	1.12304250709826e-07	2.85177180502912e-06	5	21.75	11	9.35868804086984e-09	1	0.950138033582412	0.950138033582412	1	30.8866073030657	3	2	52	89	10	18	12	1	1	27	44	2
12	hsa04920	Adipocytokine signaling pathway	50/69	Signaling	1.23273966638904e-07	2.85177180502912e-06	90	55.9166666666667	61	1.02728311336628e-08	10	0.857248368947562	0.910280878824471	1	27.8669644320125	28	87	16	56	33	10	66	83	83	44	87	78
13	hsa05134	Legionellosis	45/55	Disease	7.43897928700921e-08	2.85177180502912e-06	5	4.58333333333333	2.5	6.19914961720301e-09	1	1.16146306089152	1.17770297383034	1	37.75632865148	1	1	15	2	1	12	3	2	5	9	3	1
