Rank	ID	GeneSet	NumGenes	Type	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	hsa03010	Ribosome	127/154	Signaling	1.90979743942878e-07	5.50021662555489e-05	95	94.1666666666667	94.5	1.59149800549827e-08	1	0.149978386729581	0.151908225644121	1	63.3028604337958	1	94	107	269	124	17	17	36	47	183	140	95
2	hsa00061	Fatty acid biosynthesis	10/13	Metabolism	0.0070454849339759	0.0751518392957429	25	64.5833333333333	49	0.000589028251295735	8	0.262468905118502	-0.284582388906486	-1	29.2341983841693	121	17	40	95	67	8	169	23	15	139	58	23
3	hsa00062	Fatty acid elongation	21/25	Metabolism	0.00379339622628555	0.0751518392957429	285	176	209.5	0.000316667300418695	4	0.191817216290259	0.218990943301268	1	21.3648993866409	261	284	74	174	111	4	247	282	86	245	59	285
4	hsa00190	Oxidative phosphorylation	117/133	Metabolism	0.00394290213182671	0.0751518392957429	105	98.4166666666667	84	0.000329170466826542	3	0.137310705904722	0.146904339033591	1	15.2938763913037	3	102	139	266	214	24	19	34	20	191	66	103
5	hsa00240	Pyrimidine metabolism	94/105	Metabolism	0.00629753896190303	0.0751518392957429	145	99.0833333333333	101.5	0.000526315789473684	2	0.628223572481734	0.628223572481734	1	69.9725428591316	110	93	141	162	2	89	68	117	142	118	69	78
6	hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis	4/5	Metabolism	0.00494550703874101	0.0751518392957429	35	85	79.5	0.000450605403963734	1	0.304915284394552	-0.375589185488259	-1	33.9619445346931	57	32	77	274	115	106	141	1	1	103	82	31
7	hsa00520	Amino sugar and nucleotide sugar metabolism	43/48	Metabolism	0.00700654963344541	0.0751518392957429	205	140.166666666667	166	0.000585762604293628	7	0.499815449531174	0.499815449531174	1	55.6702391213417	237	160	32	205	33	7	202	204	195	142	93	172
8	hsa00630	Glyoxylate and dicarboxylate metabolism	26/28	Metabolism	0.00301434411865007	0.0751518392957429	5	129.75	132.5	0.000251543058095938	2	0.50262071201908	0.50262071201908	1	55.982693779539	153	221	72	186	40	3	253	258	41	2	112	216
9	hsa00740	Riboflavin metabolism	8/8	Metabolism	0.00534319297731768	0.0751518392957429	280	186	194.5	0.000486928583273715	5	0.22966659031049	0.252185767863531	1	25.5806236810531	276	287	159	279	161	5	262	211	178	17	117	280
10	hsa00760	Nicotinate and nicotinamide metabolism	20/29	Metabolism	0.00629753896190303	0.0751518392957429	10	132	126	0.000526315789473684	9	0.616026429501592	-0.616026429501592	-1	68.6140054112911	211	183	127	125	9	9	287	260	45	49	119	160
