Rank	ID	GeneSet	NumGenes	Type	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	hsa05134	Legionellosis	45/55	Disease	4.6434369753976e-07	0.00013465967228653	5	6	2.5	3.86953163636135e-08	1	1.38283346973583	1.41886114208563	1	100	1	1	12	2	29	5	1	3	1	13	3	1
2	hsa05323	Rheumatoid arthritis	44/90	Disease	0.000118798406085764	0.0172257688824358	5	32.3333333333333	15	9.9004062552652e-06	1	1.53990852138226	1.67026641835954	1	50.7435414267246	2	18	38	3	89	62	2	1	11	68	82	12
3	hsa00785	Lipoic acid metabolism	3/3	Metabolism	0.000314497612203506	0.0250121577977168	5	42.25	19	2.8594779975017e-05	1	1.02193486537307	-1.02193486537307	-1	30.582490481323	34	26	26	284	65	1	12	2	2	8	36	11
4	hsa05164	Influenza A	113/173	Disease	0.00036541372490764	0.0250121577977168	15	45.9166666666667	39.5	3.04562449301133e-05	2	1.22556253551751	1.39586640492372	1	36.6763767319298	43	13	74	69	33	104	36	81	16	65	15	2
5	hsa05416	Viral myocarditis	31/59	Disease	0.000431244099960635	0.0250121577977168	45	37.6666666666667	29	3.59441133648099e-05	3	1.29735235456408	1.62113778761011	1	38.8248027828251	25	28	41	30	3	145	55	45	3	10	23	44
6	hsa04060	Cytokine-cytokine receptor interaction	108/270	Signaling	0.00106655817778676	0.0309301871558162	85	56.1666666666667	57	8.89233257286414e-05	1	1.174160848456	1.30489995510326	1	33.1148818878367	13	82	5	1	45	99	33	82	109	91	47	67
7	hsa04380	Osteoclast differentiation	85/130	Signaling	0.000960302726313349	0.0309301871558162	10	18.3333333333333	12	8.00604710211157e-05	3	1.38842267479267	1.51832391361574	1	39.1578142103112	8	7	32	16	4	51	3	26	6	24	39	4
8	hsa04922	Glucagon signaling pathway	79/103	Signaling	0.00102351633093425	0.0309301871558162	10	39.25	31.5	8.5333065714785e-05	3	1.49307279901133	1.81053095434686	1	42.1093134531033	70	9	9	37	31	48	85	114	32	3	30	3
9	hsa05014	Amyotrophic lateral sclerosis (ALS)	37/51	Disease	0.000768693741358161	0.0309301871558162	40	80	45	6.40803915876587e-05	4	1.34053826245475	1.40014726421609	1	37.8073064320154	35	39	157	129	95	217	38	50	4	40	119	37
10	hsa05140	Leishmaniasis	40/73	Disease	0.000905113023909518	0.0309301871558162	45	74.4166666666667	59.5	7.54573934506295e-05	5	1.57513405060225	1.69946507950501	1	44.4237275423507	41	6	194	65	112	185	54	38	5	96	75	22
11	hsa00052	Galactose metabolism	26/31	Metabolism	0.00629753896190303	0.0372711489582016	30	85	68.5	0.000526315789473684	20	1.40492301629336	1.40492301629336	1	37.4973874127047	28	94	129	111	20	178	71	64	49	52	158	66
12	hsa00563	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	24/25	Metabolism	0.00495356892113972	0.0372711489582016	5	41.9166666666667	18.5	0.000413737596271433	2	0.844474527086113	-0.803813964273152	-1	22.5387979507841	27	2	19	205	66	2	13	6	18	55	77	13
13	hsa00670	One carbon pool by folate	17/20	Metabolism	0.00325793370274983	0.0372711489582016	10	23.9166666666667	13.5	0.000271900721939043	3	1.0275046839037	-1.0275046839037	-1	27.4239444498993	17	3	21	61	6	69	8	5	10	25	52	10
14	hsa00900	Terpenoid backbone biosynthesis	21/22	Metabolism	0.00629753896190303	0.0372711489582016	80	54.1666666666667	39.5	0.000526315789473684	15	0.853736561613043	0.853736561613043	1	22.786005276236	37	77	20	160	16	15	80	78	15	42	27	83
