Rank	ID	GeneSet	NumGenes	Type	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
1	hsa00061	Fatty acid biosynthesis	10/13	Metabolism	1.17448306269877e-07	6.19727890255064e-06	280	132.388888888889	171	3.26245313820403e-09	4	0.572708701160166	-0.0610222764178919	-0.333333333333333	28.7787602497915
2	hsa00440	Phosphonate and phosphinate metabolism	6/6	Metabolism	4.74660989215184e-08	6.19727890255064e-06	280	190.166666666667	221.5	1.43836666708778e-09	1	0.483819533206315	-0.16522744624131	-0.333333333333333	25.3072084438738
3	hsa00900	Terpenoid backbone biosynthesis	21/22	Metabolism	7.97444114647673e-08	6.19727890255064e-06	80	101.611111111111	65	2.21512262655642e-09	1	0.599436296900516	0.639496083526789	1	26.2552321467316
4	hsa00920	Sulfur metabolism	10/10	Metabolism	1.29109977136472e-07	6.19727890255064e-06	80	173.805555555556	172	3.58638847887906e-09	2	0.748899698010814	-0.532690448418526	-0.333333333333333	31.6272941378579
5	hsa05120	Epithelial cell signaling in Helicobacter pylori infection	55/68	Disease	9.43459803736459e-08	6.19727890255064e-06	60	75.3611111111111	59	2.62072179723891e-09	3	0.568428943744992	0.429212215693144	0.333333333333333	24.9945796573309
6	hsa05134	Legionellosis	45/55	Disease	2.66912173903393e-08	6.19727890255064e-06	5	57.3333333333333	2.5	7.41422714907086e-10	1	0.866353611635898	0.662943271286805	0.333333333333333	38.1978153773191
7	hsa00620	Pyruvate metabolism	35/39	Metabolism	2.90838592127898e-07	7.98495994714401e-06	220	161.25	188.5	8.07885092351746e-09	7	0.828131760219661	0.40619789231476	0.333333333333333	29.2769465656216
8	hsa03410	Base excision repair	33/33	Signaling	3.99902323811434e-07	7.98495994714401e-06	200	148.555555555556	132.5	1.11084000430903e-08	2	0.459438534489743	-0.353671260942382	-0.333333333333333	22.8601387235426
9	hsa04390	Hippo signaling pathway	129/154	Signaling	3.26485203584416e-07	7.98495994714401e-06	25	79.2777777777778	60.5	9.06903487222969e-09	2	0.811992074569176	0.334780321555772	0.333333333333333	32.3447780263947
10	hsa04520	Adherens junction	66/72	Signaling	4.15883330580417e-07	7.98495994714401e-06	10	92.5277777777778	81	1.15523170738251e-08	6	0.671702043762562	0.186797644321961	0.333333333333333	45.8124430002992
11	hsa04622	RIG-I-like receptor signaling pathway	46/70	Signaling	3.04003158934599e-07	7.98495994714401e-06	165	133.75	135.5	8.44453344055518e-09	7	0.483152030322478	0.305256948684642	0.333333333333333	19.660248171226
12	hsa04710	Circadian rhythm	28/31	Signaling	3.36912714292744e-07	7.98495994714401e-06	10	47.3611111111111	15.5	9.35868804086984e-09	1	0.785784534777314	0.431159917851102	0.333333333333333	44.9871829241554
13	hsa04920	Adipocytokine signaling pathway	50/69	Signaling	3.69821854327301e-07	7.98495994714401e-06	90	68.4444444444444	61	1.02728311336628e-08	7	0.785067483490819	0.392034058137373	0.333333333333333	46.0343271511252
14	hsa05211	Renal cell carcinoma	58/65	Disease	2.7814493536163e-07	7.98495994714401e-06	10	54.5555555555556	29.5	7.72624924915084e-09	4	0.688294959354116	0.258673921271856	0.333333333333333	35.0814551603271
15	hsa03010	Ribosome	127/154	Signaling	2.99899115834599e-07	7.98495994714401e-06	55	129.666666666667	94.5	8.33053220986633e-09	1	0.315783802232748	0.305184798602328	1	29.9750133108342
16	hsa04012	ErbB signaling pathway	69/86	Signaling	4.76684263516018e-07	8.07559222897724e-06	15	44.1666666666667	23.5	1.32412326103904e-08	4	0.801233764063769	0.307157203394771	0.333333333333333	35.0412156040246
17	hsa04913	Ovarian steroidogenesis	33/50	Signaling	4.62184476174431e-07	8.07559222897724e-06	275	171.583333333333	194	1.28384605559678e-08	4	1.20173608763048	-0.675302876262503	-1	51.25422332808
18	hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	17/20	Metabolism	7.23200229768991e-07	9.41616887211026e-06	50	79.5	62.5	2.00889023337293e-08	3	0.945331484727678	-0.456920616824065	-0.333333333333333	36.7319110304966
19	hsa04080	Neuroactive ligand-receptor interaction	69/278	Signaling	7.41997635041051e-07	9.41616887211026e-06	165	127.388888888889	144.5	2.06110528520765e-08	8	1.00886201752131	-0.869768641113412	-1	41.2714066991359
20	hsa04122	Sulfur relay system	8/8	Signaling	6.60134265099948e-07	9.41616887211026e-06	130	170.472222222222	130	2.00040750419994e-08	2	0.650858252898919	-0.653230632141354	-1	28.2078696006893
21	hsa04140	Regulation of autophagy	116/127	Signaling	6.6565685493148e-07	9.41616887211026e-06	10	86.5833333333333	56.5	1.84904741757485e-08	1	0.737964981684558	0.198806197762866	0.333333333333333	26.2055500397115
