"","N9-UI9","WT9-UI9","WT9-N9"
"Ribosome",0.904099032341191,0.653940530879329,0.186659596790778
"Legionellosis",1.44254615666203,1.41886114208563,-0.358796211819889
"Cytokine-cytokine receptor interaction",1.80217872742568,1.30489995510326,-0.393118952919257
"Influenza A",1.1697857472152,1.39586640492372,-0.258065225455696
"Rheumatoid arthritis",2.2186429493786,1.67026641835954,0.257192124122981
"Oxidative phosphorylation",-0.660059678940373,-0.47898609651591,0.175682019163037
"Osteoclast differentiation",1.50623847393097,1.51832391361574,-0.220180102542127
"Glucagon signaling pathway",1.78983535889852,1.81053095434686,-0.279455733828593
"Dorso-ventral axis formation",1.11971831981543,0.838742107373764,-0.366289943975929
"Dopaminergic synapse",1.61265552109633,1.56622729074839,-0.238184503141463
"Renal cell carcinoma",1.03243481879826,0.788494138683563,-0.238363530664896
"Lipoic acid metabolism",-0.764291316806795,-1.02193486537307,-0.322094678622353
"Viral myocarditis",1.55656569660393,1.62113778761011,0.255356380014603
"Ras signaling pathway",1.13298044413724,1.08751571086495,-0.258355892274106
"Circadian rhythm",1.22822644589442,1.0952554594145,-0.242477038548093
"Serotonergic synapse",2.05259905437555,1.6623006715259,-0.352456810247168
"Amphetamine addiction",2.46690104309231,2.79947071976403,-0.267219516320144
"Amyotrophic lateral sclerosis (ALS)",1.71182323370233,1.40014726421609,0.189860122857961
"Leishmaniasis",1.81143410421634,1.69946507950501,-0.311179201862782
"Parkinson's disease",-0.699188886993,2.28268167479151,0.189867036028383
"Signaling pathways regulating pluripotency of stem cells",1.65619876204197,1.34944344041952,-0.259103209657456
"B cell receptor signaling pathway",1.21392074742529,1.15510678245518,0.20236541488644
"MAPK signaling pathway",1.66515482133981,1.76568033513107,-0.252891439894684
"AMPK signaling pathway",1.08331790269655,1.08596616206142,-0.206777592882284
"ErbB signaling pathway",1.30983231064088,1.26488263801212,-0.240146680341107
"Measles",1.0190702828384,1.1583904680394,-0.304763222656327
"Epithelial cell signaling in Helicobacter pylori infection",1.24061209664587,1.19154846842853,-0.338127364422804
"Fatty acid biosynthesis",1.01484280928013,-0.807440540212492,-0.351956724074513
"Vasopressin-regulated water reabsorption",1.1964325868176,1.06927465445454,-0.20895630459956
"Pertussis",1.66823718508315,1.35571254441651,0.248962823844407
"Retinol metabolism",1.17968172917848,-0.790817661417974,-0.429130469186908
"Systemic lupus erythematosus",0.825926701525205,0.971185962427379,0.206325923895004
"Toxoplasmosis",1.80751363554101,1.74754722545322,-0.325131863243056
"Inflammatory mediator regulation of TRP channels",-0.87359546770924,-0.928368936471256,-0.273400394740487
"Bile secretion",-0.596284869272487,-0.592925468712158,-0.323211572530782
