Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Gene Ratio
WTN,"HALLMARK TNFA
SIGNALING VIA NFKB",HALLMARK_TNFA_SIGNALING_VIA_NFKB,9/42,170/3448,1.518521536798984e-4,0.00668149476191553,0.005274864285722787,ATF3/RHOB/AREG/EDN1/VEGFA/SERPINE1/KLF10/TRIB1/KLF6,9,0.21428571428571427
WTN,HALLMARK HYPOXIA,HALLMARK_HYPOXIA,8/42,174/3448,9.659682081646498e-4,0.021251300579622295,0.016777342562859707,ATF3/VEGFA/SERPINE1/KLF6/DDIT4/DDIT3/PGF/ISG20,8,0.19047619047619047
WTN,"HALLMARK
INFLAMMATORY
RESPONSE",HALLMARK_INFLAMMATORY_RESPONSE,6/42,114/3448,0.00227069825486135,0.033303574404633135,0.026292295582605107,EREG/EDN1/SERPINE1/KLF6/SLC7A1/CX3CL1,6,0.14285714285714285
WTN,"HALLMARK TGF BETA
SIGNALING",HALLMARK_TGF_BETA_SIGNALING,4/42,51/3448,0.0031408437377319705,0.034435899223036665,0.027186236228713155,SPTBN1/SERPINE1/KLF10/SMAD6,4,0.09523809523809523
WTN,"HALLMARK EPITHELIAL
MESENCHYMAL
TRANSITION",HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,6/42,127/3448,0.003913170366254166,0.034435899223036665,0.027186236228713155,RHOB/AREG/ITGA2/VEGFA/SERPINE1/MMP1,6,0.14285714285714285
WTN,HALLMARK APOPTOSIS,HALLMARK_APOPTOSIS,6/42,133/3448,0.004916228021460471,0.036052338824043455,0.02846237275582378,ATF3/RHOB/EREG/DDIT3/ISG20/H1-0,6,0.14285714285714285
WTN,"HALLMARK IL2 STAT5
SIGNALING",HALLMARK_IL2_STAT5_SIGNALING,6/42,145/3448,0.007477642335930472,0.04700232325442011,0.03710709730612114,RHOB/ITGA6/UMPS/TNFRSF21/SNX9/KLF6,6,0.14285714285714285
WTUI,"HALLMARK TNFA
SIGNALING VIA NFKB",HALLMARK_TNFA_SIGNALING_VIA_NFKB,78/440,170/3448,4.547956061036565e-28,2.2739780305182825e-26,1.8670556461097478e-26,RNF19B/JUN/GADD45A/DNAJB4/CCN1/MCL1/EFNA1/IER5/BTG2/G0S2/ATF3/RHOB/FOSL2/REL/MXD1/NR4A2/NFE2L2/BHLHE40/TIPARP/CCNL1/BCL6/CXCL3/CXCL2/AREG/PLK2/F2RL1/EGR1/HBEGF/DUSP1/EDN1/CDKN1A/NFKBIE/PNRC1/NAMPT/EGR3/DUSP4/ZBTB10/GEM/TRIB1/NFIL3/NR4A3/ABCA1/KLF6/PFKFB3/EGR2/NFKB2/DUSP5/DENND5A/FJX1/FOSL1/SLC2A3/NR4A1/BTG1/IRS2/NFKBIA/GCH1/FOS/PER1/STAT5A/SOCS3/TGIF1/GADD45B/TNFSF9/ICAM1/LDLR/JUNB/ZFP36/PLAUR/FOSB/PPP1R15A/BMP2/CEBPB/BTG3/RCAN1/ETS2/SIK1/MAFF/SAT1,78,0.17727272727272728
WTUI,HALLMARK HYPOXIA,HALLMARK_HYPOXIA,56/440,174/3448,4.863232202645778e-12,1.2158080506614446e-10,9.982423994904494e-11,B3GALT6/ERRFI1/SLC2A1/JUN/CCN1/EFNA1/ATF3/FOSL2/KDM3A/PDK1/BHLHE40/SIAH2/TIPARP/KLHL24/NOCT/LOX/NDST1/DUSP1/CDKN1A/PIM1/ZNF292/PNRC1/FOXO3/PHKG1/TES/STC1/BNIP3L/EXT1/NDRG1/NFIL3/ALDOB/KLF6/PFKFB3/P4HA1/MXI1/ADM/LDHA/TPI1/SLC2A3/DDIT3/BTG1/IRS2/FOS/RORA/ISG20/ALDOA/WSB1/ALDOC/JMJD6/ZFP36/PLAUR/PPP1R15A/PCK1/MAFF/PDGFB/PGK1,56,0.12727272727272726
WTUI,"HALLMARK CHOLESTEROL
HOMEOSTASIS",HALLMARK_CHOLESTEROL_HOMEOSTASIS,20/440,69/3448,2.4004709113378136e-4,0.00400078485222969,0.0032848549313043767,ERRFI1/ATF3/HMGCS1/HMGCR/PNRC1/ACAT2/FDFT1/SQLE/NFIL3/ABCA2/IDI1/STX5/CHKA/MVD/CXCL16/ALDOC/ACTG1/LDLR/PLAUR/TRIB3,20,0.045454545454545456
WTUI,"HALLMARK MTORC1
SIGNALING",HALLMARK_MTORC1_SIGNALING,41/440,191/3448,3.7471513962350386e-4,0.004683939245293798,0.0038457606435043823,SLC2A1/CTH/PHGDH/CACYBP/BTG2/EPRS1/SLC1A4/RAB1A/PDK1/HSPD1/HSPE1/BHLHE40/HMGCS1/HMGCR/CDKN1A/PSPH/ASNS/NAMPT/TES/INSIG1/STC1/SQLE/PSAT1/NFIL3/IDI1/P4HA1/LDHA/STIP1/HMBS/TPI1/SLC2A3/DDIT3/TXNRD1/PNP/ALDOA/LDLR/PPP1R15A/TRIB3/AURKA/PGK1/GLA,41,0.09318181818181819
