Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Gene Ratio
WTN,"REACTOME CELL
SURFACE INTERACTIONS
AT THE VASCULAR WALL",REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,6/78,84/7653,1.9957319281773707e-4,0.035866745135485004,0.03234520259986798,ITGA6/MMP1/GRB7/CEACAM5/CEACAM6/CEACAM1,6,0.07692307692307693
WTN,"REACTOME APOPTOSIS
INDUCED DNA
FRAGMENTATION",REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,3/78,12/7653,2.097470475759357e-4,0.035866745135485004,0.03234520259986798,H1-3/H1-5/H1-0,3,0.038461538461538464
WTN,"REACTOME RESPONSE OF
EIF2AK1 HRI TO HEME
DEFICIENCY",REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY,3/78,15/7653,4.243333841204622e-4,0.04432615539567168,0.03997403364398831,ATF3/DDIT3/TRIB3,3,0.038461538461538464
WTN,"REACTOME FORMATION
OF SENESCENCE
ASSOCIATED
HETEROCHROMATIN FOCI
SAHF",REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF,3/78,16/7653,5.184345660312477e-4,0.04432615539567168,0.03997403364398831,H1-3/H1-5/H1-0,3,0.038461538461538464
WTUI,"REACTOME ATTENUATION
PHASE",REACTOME_ATTENUATION_PHASE,11/911,23/7653,2.226781307077585e-5,0.018271296980464664,0.01811132889781392,HSPA6/HSPA1A/HSPA1B/HSP90AB1/TNFRSF21/MRPL18/DNAJB6/HSPH1/HSP90AA1/DNAJB1/DEDD2,11,0.012074643249176729
WTUI,"REACTOME NGF
STIMULATED
TRANSCRIPTION",REACTOME_NGF_STIMULATED_TRANSCRIPTION,13/911,32/7653,3.493555828004716e-5,0.018271296980464664,0.01811132889781392,ID3/MEF2D/EGR1/EGR3/TRIB1/EGR2/FOSL1/NAB2/FOS/CDK5R1/JUNB/JUND/FOSB,13,0.014270032930845226
WTUI,"REACTOME NUCLEAR
EVENTS KINASE AND
TRANSCRIPTION FACTOR
ACTIVATION",REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION,17/911,53/7653,8.268967587773519e-5,0.02279012030261547,0.022590589210099873,ID3/MEF2D/DUSP7/PPP2CA/EGR1/EGR3/DUSP4/TRIB1/EGR2/FOSL1/NAB2/FOS/MEF2A/CDK5R1/JUNB/JUND/FOSB,17,0.018660812294182216
WTUI,"REACTOME RESPONSE OF
EIF2AK1 HRI TO HEME
DEFICIENCY",REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY,8/911,15/7653,1.1655430214195716e-4,0.02279012030261547,0.022590589210099873,ATF3/ASNS/DDIT3/CHAC1/PPP1R15A/TRIB3/CEBPB/ATF4,8,0.008781558726673985
WTUI,"REACTOME HSF1
DEPENDENT
TRANSACTIVATION",REACTOME_HSF1_DEPENDENT_TRANSACTIVATION,12/911,31/7653,1.2229479571737936e-4,0.02279012030261547,0.022590589210099873,HSPA6/HSPA1A/HSPA1B/HSP90AB1/TNFRSF21/MRPL18/DNAJB6/HSPB8/HSPH1/HSP90AA1/DNAJB1/DEDD2,12,0.013172338090010977
WTUI,"REACTOME HSF1
ACTIVATION",REACTOME_HSF1_ACTIVATION,11/911,27/7653,1.366954094520986e-4,0.02279012030261547,0.022590589210099873,HSPA6/HSPA1A/HSPA1B/HSP90AB1/TNFRSF21/MRPL18/DNAJB6/HSPH1/HSP90AA1/DNAJB1/DEDD2,11,0.012074643249176729
WTUI,"REACTOME GPCR LIGAND
BINDING",REACTOME_GPCR_LIGAND_BINDING,33/911,145/7653,1.5251514542859304e-4,0.02279012030261547,0.022590589210099873,CD55/OPN3/GPR39/IHH/CCR1/ADRA2C/CXCL3/CXCL2/F2RL1/EDN1/CGA/FZD1/SMO/SHH/PTCH1/ADRB1/ADM/P2RY2/WNT11/LPAR5/WNT10B/WNT1/DHH/HCAR1/SSTR1/CXCL16/KISS1R/LPAR2/ADRA1D/NTSR1/SSTR3/WNT7B/ADM2,33,0.036223929747530186
WTUI,"REACTOME INTERLEUKIN
4 AND INTERLEUKIN 13
SIGNALING",REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,18/911,63/7653,2.699079220442906e-4,0.035290460807290994,0.03498148726495082,MCL1/RHOU/BCL6/PIK3R1/CDKN1A/PIM1/FOXO3/FSCN1/MMP1/FOXO1/FOS/HSP90AA1/RORA/TP53/SOCS3/ICAM1/JUNB/MAOA,18,0.019758507135016465
