entrezid	symbol
653635	WASH7P
102723897	WASH9P
101928626	LOC101928626
100887749	MTND1P23
100652939	MTND2P28
107075141	MTCO1P12
107075310	MTCO2P12
106480796	MTATP6P1
107075270	MTCO3P12
105378580	LINC01409
643837	LINC01128
79854	LINC00115
26155	NOC2L
339451	KLHL17
84069	PLEKHN1
84808	PERM1
57801	HES4
9636	ISG15
375790	AGRN
100288175	LOC100288175
401934	RNF223
54991	C1orf159
254099	LINC01342
406984	MIR200B
406983	MIR200A
554210	MIR429
51150	SDF4
126792	B3GALT6
388581	C1QTNF12
118424	UBE2J2
6339	SCNN1D
116983	ACAP3
126789	PUSL1
54973	INTS11
80772	CPTP
83756	TAS1R3
1855	DVL1
54587	MXRA8
54998	AURKAIP1
81669	CCNL2
148413	MRPL20-AS1
55052	MRPL20
64856	VWA1
219293	ATAD3C
83858	ATAD3B
55210	ATAD3A
339453	TMEM240
29101	SSU72
643988	FNDC10
142678	MIB2
984	CDK11B
728661	SLC35E2B
728642	CDK11A
9906	SLC35E2A
65220	NADK
2782	GNB1
339456	TMEM52
85452	CFAP74
105378591	LOC105378591
5590	PRKCZ
100506504	PRKCZ-AS1
199990	FAAP20
6497	SKI
79906	MORN1
100129534	LOC100129534
11079	RER1
5192	PEX10
9651	PLCH2
55229	PANK4
8764	TNFRSF14
100996583	LOC100996583
127281	PRXL2B
79258	MMEL1
100287898	TTC34
440556	PRDM16-DT
63976	PRDM16
27237	ARHGEF16
1953	MEGF6
127262	TPRG1L
49856	WRAP73
7161	TP73
388588	SMIM1
57470	LRRC47
9731	CEP104
1677	DFFB
339448	C1orf174
100133612	LINC01134
261734	NPHP4
8514	KCNAB2
6146	RPL22
388591	RNF207
23463	ICMT
387509	GPR153
11332	ACOT7
83715	ESPN
8718	TNFRSF25
57449	PLEKHG5
79707	NOL9
3104	ZBTB48
9903	KLHL21
148479	PHF13
90326	THAP3
55735	DNAJC11
23261	CAMTA1
9341	VAMP3
8863	PER3
11315	PARK7
54206	ERRFI1
473	RERE
644896	RPL7P7
2023	ENO1
100505975	ENO1-AS1
155184	SLC2A7
6518	SLC2A5
80045	GPR157
106614088	MIR34AHG
102724571	LNCTAM34A
9563	H6PD
80176	SPSB1
84275	SLC25A33
642740	RPL9P11
199953	TMEM201
5293	PIK3CD
101929074	PIK3CD-AS2
22883	CLSTN1
56998	CTNNBIP1
84328	LZIC
64802	NMNAT1
10277	UBE4B
100420660	PGAM1P11
106479932	RNU6-828P
23095	KIF1B
5226	PGD
378708	CENPS
1676	DFFA
5195	PEX14
54897	CASZ1
23435	TARDBP
6723	SRM
5394	EXOSC10
2475	MTOR
29914	UBIAD1
57540	DISP3
26232	FBXO2
93611	FBXO44
26270	FBXO6
10459	MAD2L2
57085	AGTRAP
4524	MTHFR
1185	CLCN6
90231	KIAA2013
5351	PLOD1
9927	MFN2
60672	MIIP
7133	TNFRSF1B
55187	VPS13D
677882	SNORA59B
9249	DHRS3
106479551	RNU6ATAC18P
7799	PRDM2
23254	KAZN
200197	TMEM51-AS1
55092	TMEM51
79180	EFHD2
842	CASP9
23341	DNAJC16
79814	AGMAT
84301	DDI2
23207	PLEKHM2
284723	SLC25A34
388595	TMEM82
54751	FBLIM1
440567	UQCRHL
729614	FLJ37453
23013	SPEN
7709	ZBTB17
348487	FAM131C
1969	EPHA2
128272	ARHGEF19
79363	CPLANE2
54455	FBXO42
26099	SZRD1
55707	NECAP2
107984921	LINC01772
114819	CROCCP3
55672	NBPF1
