"UI92"	"UI93"	"UI96"	"N92"	"N93"	"WT96"	"WT91"	"WT94"	"N95"
"WASH7P"	7.15191170971862	7.30003184861362	7.33237998111587	7.06620147182024	7.10549469116583	6.74978581715234	7.04212315959857	7.09277678737786	7.22946470227307
"WASH9P"	7.65106405863973	7.62990420897986	7.60351512049149	7.50431233475527	7.76947541563608	7.61503317413063	7.90687405646727	7.77972087584891	7.7508470358946
"ENSG00000237094"	5.42218414487129	5.05188473093621	5.20148926253616	5.40244626677765	5.25331967814364	5.33597725385187	5.36465162541813	5.76065171927661	5.35066772312305
"LOC101928626"	5.81035074400708	5.86987720072366	6.16714817363826	5.65950870112231	6.08346125806324	5.83083309807375	6.05526766449259	5.4929148124122	5.67439573853356
"MTND1P23"	5.61396790487439	5.51784281742773	5.71235820584962	5.62855769058244	5.55633937377571	5.62775145360476	5.54775161776861	5.57464553329632	5.45718634886734
"MTND2P28"	8.90282737868585	8.64457128090345	9.25803414703796	8.55679681653399	8.42143942969007	8.29258985059194	8.60076363973725	8.93203536250679	8.39558043669075
"MTCO1P12"	8.22394283837847	8.09061008471787	8.30942546151125	8.26019299590315	8.23907219833398	8.03760601506137	7.97891565886701	7.9659519803268	8.09870128799826
"MTCO2P12"	5.51355437792282	5.13871182329263	4.99377939425282	4.89342605140626	5.11193188597157	5.10434242347952	5.04364740868365	4.99356998620433	5.01100209227662
"MTATP6P1"	12.2809990517524	12.0309185357301	12.547091444817	12.0519667309727	11.9210815108568	11.7768624105849	11.8815232254257	12.0934808647282	11.8149925801919
"MTCO3P12"	5.54795109663115	5.33344897324865	5.60463658381875	5.46269693356268	5.65478297495713	5.44785952658495	5.68145021973664	5.61943404375148	5.49951260850675
"ENSG00000228327"	7.94063117105729	8.00135901068243	7.90532310442955	7.47674553784804	7.55662937096268	7.17597203330364	7.37835888410581	7.41310101456013	7.67379536766302
"LINC01409"	6.17763605170325	6.071067084471	6.39255169092227	5.40012893531717	5.53091141070653	5.08731663409301	5.39230632855633	5.37770247441016	5.43385087340436
"ENSG00000230092"	5.64875491337718	5.47410769594961	5.55380274797327	5.38996894858844	5.32765094946589	5.82340216789965	5.54324550710255	5.50652581259897	5.16594820372204
"LINC01128"	7.71087852065799	7.3974752548907	7.52220559043315	7.43586989573556	7.5557685560841	7.19605878408848	7.41710233671304	7.56067079785449	7.55565545751526
"LINC00115"	6.21953218268786	6.40280279037146	6.12811317719272	6.30715826725591	6.40517728968525	6.2565418484795	6.27811810807546	6.15078098689026	6.48279247619079
"NOC2L"	9.28136324807497	9.31444398675505	9.22834814434809	9.33604674836497	9.3882732790717	9.42305712878613	9.37359708575844	9.27976225092032	9.35918279117428
"KLHL17"	7.40675577136655	7.72219665112772	7.67770414090548	7.45132721297171	7.61799318367786	7.67543459554973	7.99891444166147	7.82450349968499	7.68068842118865
"PLEKHN1"	6.71459277003001	6.63183824854826	6.4096900011493	6.52656123552286	6.68723265418672	6.52955544775111	6.49914908423562	6.39600781181302	6.67242885657188
"PERM1"	5.05146221204582	4.88055994763698	5.05868067943084	5.60280853781434	5.80231447842404	5.61417082229318	5.85924678304531	5.8034228976007	5.70058296682287
"ENSG00000272512"	5.36503013664322	5.68675151594589	5.26395052834314	7.32178460138585	7.70232277806499	8.08625827386924	8.57048231269869	8.36081732591822	7.91697630460354
"HES4"	7.73001608240753	7.9675502526447	7.70315956774731	9.72188413540039	9.84377848894562	9.31056355858056	9.57860988036246	9.55689230195017	10.0520610163801
"ISG15"	7.10576880466031	7.43700750211485	6.94324707312282	7.64019710670871	7.73382337730429	7.5649461964955	7.83525258654896	7.8816999964496	8.09879780189195
