"UI92"	"UI93"	"UI96"	"N92"	"N93"	"WT96"	"WT91"	"WT94"	"N95"
"hsa-let-7a-5p_hsa-let-7a-1"	1.91490379817388	1.79108268848431	1.71666566240165	1.77403086730512	1.00476143816845	0.497595778711118	0.514343844983279	0.541475437566137	0.687572591925029
"hsa-let-7a-3p_hsa-let-7a-1"	1.87335781062345	1.71522136315498	1.7186777349541	1.93078754117597	0.885566445119974	0.491184627455208	0.614620189769257	0.481547228480775	0.728481488114213
"hsa-let-7a-5p_hsa-let-7a-2"	1.96874322538739	1.84259957936325	1.77198453999227	1.77711518528758	1.03363176502857	0.461221558090731	0.51488079502565	0.502022458780045	0.710393802262916
"hsa-let-7a-5p_hsa-let-7a-3"	1.94617820066688	1.82036314396205	1.79980876258691	1.7492337259549	1.02159663853009	0.467369050509216	0.522287320027887	0.508688246447551	0.706780514820811
"hsa-let-7a-3p_hsa-let-7a-3"	1.88925367399751	1.72977540312021	1.71336143478121	1.89793756821116	0.893080676058909	0.482333978791343	0.61983538064636	0.479718121975614	0.73466281777795
"hsa-let-7b-5p_hsa-let-7b"	1.95697906709218	1.70998286727173	1.70084832639646	1.81807888309736	0.969605419863737	0.513056360722958	0.529193441122458	0.488388699912276	0.75162909103046
"hsa-let-7c-5p_hsa-let-7c"	1.78090782651238	1.64403190474798	1.87127811240562	1.7654565414873	0.883610117167969	0.50134950075587	0.589589237549906	0.576934154593403	0.686081775029079
"hsa-let-7d-5p_hsa-let-7d"	1.97220201427592	1.71755332213508	1.68512967243141	1.71286212459979	0.986216462120647	0.534831631520411	0.560090738583626	0.503294858633873	0.687879589396164
"hsa-let-7d-3p_hsa-let-7d"	1.94329735777716	1.67378108645466	1.83798735150423	1.64601513185375	0.885838492260597	0.48201299142405	0.630798619248909	0.517761556418244	0.728705278555835
"hsa-let-7e-5p_hsa-let-7e"	1.8702908725473	1.74015261235549	1.71282746387989	1.67859417358421	0.972634933515522	0.512982977528918	0.59257372235685	0.473058209104963	0.764072182348514
"hsa-let-7e-3p_hsa-let-7e"	1.93808464800645	1.56941845432593	1.7716679721061	1.619963332082	0.887062604619004	0.541453797624587	0.583793338082592	0.534587397485625	0.764200748023574
"hsa-let-7f-5p_hsa-let-7f-1"	1.89515839683165	1.76673417019217	1.93962972937059	1.63060853826058	1.01325573413712	0.466263161113603	0.537703854210078	0.522728717003075	0.71112353200681
"hsa-let-7f-5p_hsa-let-7f-2"	1.92933748516499	1.69256801086613	1.70113942330615	1.64326357107954	1.04872881203175	0.482837146089645	0.542162320126629	0.541681197438408	0.736650632798467
"hsa-let-7f-2-3p_hsa-let-7f-2"	1.75774374479204	1.59844040461941	1.77284952050412	1.90139611501251	0.887127714066691	0.483378059118513	0.639227754048055	0.533161543865518	0.722463637209764
"hsa-let-7g-5p_hsa-let-7g"	1.8544607319906	1.65389676303814	1.78480481034204	1.40783200121204	1.0237169483076	0.496169604528215	0.648407675289447	0.481303615280073	0.818568598629119
"hsa-let-7i-5p_hsa-let-7i"	1.69443295202681	1.73057085763531	1.68603643982757	1.59187620536072	0.994207888830858	0.501954325616483	0.603526116739796	0.554292893772956	0.761085052033751
"hsa-miR-100-5p_hsa-mir-100"	1.96512013505371	1.64666861010426	1.80011216329043	1.67721581988182	1.01136398143927	0.463320066024163	0.57946477228371	0.503085946995324	0.749304522822812
"hsa-miR-101-5p_hsa-mir-101-1"	2.68750856923685	1.65141163853185	1.77621773969194	1.88400482705746	0.721038884429399	0.484632692813203	0.721038884429399	0.416374567064864	0.641803842184411
"hsa-miR-101-3p_hsa-mir-101-1"	1.84371714770432	1.64398906667492	1.81536941232175	1.529014741224	0.989119351942337	0.489364520516937	0.611591053121499	0.527823544533943	0.760674807990465
"hsa-miR-101-3p_hsa-mir-101-2"	1.95393542713762	1.67546902374156	1.7976590894278	1.46532559275394	0.990341183452679	0.503675331288426	0.591694713781083	0.55100275318255	0.713058139004486
"hsa-miR-10395-3p_hsa-mir-10395"	1.74671833507038	1.54772482558247	1.70890660039259	1.66916480037162	0.87626069300873	0.532629048691581	0.659900028068303	0.528077636184069	0.797318288233169
"hsa-miR-10396b-3p_hsa-mir-10396b"	1.6732749011	2.86553465864053	1.6732749011	1.74333970472428	0.768801981586485	0.402705799878635	0.642768869850995	0.467311008415314	0.768801981586485
