"UI92"	"UI93"	"UI96"	"N92"	"N93"	"WT96"	"WT91"	"WT94"	"N95"
"hsa-let-7a-5p_hsa-let-7a-1"	15.6056495101283	15.6056494056712	15.4470054117278	15.4027462257405	15.6056481414367	15.449698382151	15.4007515268033	15.4496989071515	15.4007531603595
"hsa-let-7a-3p_hsa-let-7a-1"	6.95220137905603	6.50840732554795	7.06865000221309	6.95222037434407	6.80914669387489	6.9092063915593	6.73124876962276	7.00342532644443	6.42953530072692
"hsa-let-7a-5p_hsa-let-7a-2"	15.5713640950702	15.5713639920382	15.4088707664311	15.4088707718342	15.5713627335139	15.5648085466117	15.4061686869395	15.5648090711018	15.3619122840932
"hsa-let-7a-5p_hsa-let-7a-3"	15.5823871865126	15.5823870820885	15.3787958822393	15.423054401722	15.5823858191237	15.540032014569	15.3787912804279	15.5400325408273	15.3607491940173
"hsa-let-7a-3p_hsa-let-7a-3"	6.94341477239156	6.50062365939175	7.07196008178094	6.97012018279283	6.80066062435022	6.92798673144552	6.72293531758618	7.00743474359868	6.42195218346872
"hsa-let-7b-5p_hsa-let-7b"	8.91824435491905	8.93354467775209	8.61397398812437	9.19230274001613	8.80265434537835	8.25632234333522	8.87084752943976	8.88031974934573	8.20690083669958
"hsa-let-7c-5p_hsa-let-7c"	6.66981312986499	6.66974421889836	6.52921326422779	6.5291607601479	6.74993547340778	6.70070444279604	6.65133160009242	6.45074131387504	6.81093854264904
"hsa-let-7d-5p_hsa-let-7d"	8.88333941435784	8.96182218694022	8.78040583528886	9.13856827313864	8.84863159299542	8.55284260339904	8.63633873889511	8.76990803690355	8.61042768978299
"hsa-let-7d-3p_hsa-let-7d"	6.54531223014433	6.26014271810253	6.56341759033712	6.65052874650559	6.50721419439527	7.26328763335275	6.5617536663528	6.23437947523449	6.42925929487168
"hsa-let-7e-5p_hsa-let-7e"	12.6324748646128	12.6759625103257	12.5852216120765	12.5852213325395	12.6324636527549	12.2744861971795	12.2365757810508	12.5851856894557	12.2745048515673
"hsa-let-7e-3p_hsa-let-7e"	5.82580616769474	5.85775491269229	6.23603754003139	6.21249235631901	5.4786336093192	5.8858328762009	6.21019094630258	5.60429975214372	6.23450416129626
