"Mature miRNA","Precursor miRNA","baseMean.WTvsUI","log2FoldChange.WTvsUI","lfcSE.WTvsUI","stat.WTvsUI","pvalue.WTvsUI","padj.WTvsUI","baseMean.WTvsN","log2FoldChange.WTvsN","lfcSE.WTvsN","stat.WTvsN","pvalue.WTvsN","padj.WTvsN","baseMean.NvsUI","log2FoldChange.NvsUI","lfcSE.NvsUI","stat.NvsUI","pvalue.NvsUI","padj.NvsUI"
"hsa-let-7a-5p","hsa-let-7a-1",45915.69164011,-0.121222504406458,0.133760900611015,-0.906262621234738,0.364796864871923,0.999999765622576,45915.69164011,-0.0394360901535874,0.133788318715498,-0.294764823507862,0.768173539871226,0.966539810149098,45915.69164011,-0.0817864142528702,0.133704791639836,-0.611693965861599,0.54074025494104,0.957959527950537
"hsa-let-7a-3p","hsa-let-7a-1",77.5365456482083,0.02598157331417,0.314547939813248,0.0825997249563793,0.934169819982286,0.999999765622576,77.5365456482083,0.173048687520464,0.321635650502794,0.538027072713946,0.590558358272408,0.949810705021192,77.5365456482083,-0.147067114206294,0.303482520335622,-0.484598302543593,0.627961318030512,0.957959527950537
"hsa-let-7a-5p","hsa-let-7a-2",46132.7840094479,-0.00537828361669835,0.138354021279709,-0.0388733451109826,0.968991368020778,0.999999765622576,46132.7840094479,0.0636753775075779,0.138380138656892,0.460148241833016,0.645409819019762,0.949810705021192,46132.7840094479,-0.0690536611242762,0.138299795612525,-0.499304144438102,0.617565135891518,0.957959527950537
"hsa-let-7a-5p","hsa-let-7a-3",45927.4347558716,-0.0294358212150706,0.142699870584759,-0.206277840999068,0.836573886637915,0.999999765622576,45927.4347558716,0.029822852938883,0.142725291328436,0.208952825818764,0.834485065194654,0.980831326628045,45927.4347558716,-0.0592586741539537,0.14264704642272,-0.415421669358275,0.67783324628097,0.971966550624695
"hsa-let-7a-3p","hsa-let-7a-3",77.6295359335804,0.0385918686501491,0.318322234826775,0.121235227790952,0.903504722154062,0.999999765622576,77.6295359335804,0.176816142425265,0.325270010520334,0.543598046873159,0.586718104109813,0.949810705021192,77.6295359335804,-0.138224273775116,0.307322365509018,-0.449769653263522,0.65287654160134,0.958680738359908
"hsa-let-7b-5p","hsa-let-7b",398.315942665312,-0.144967483401467,0.285077222106846,-0.50852005056768,0.611088681334251,0.999999765622576,398.315942665312,-0.106839695452242,0.286335613688258,-0.373127513116692,0.709053542451692,0.949810705021192,398.315942665312,-0.0381277879492255,0.281610124368761,-0.135392106497202,0.892301864771741,0.992127100200388
"hsa-let-7c-5p","hsa-let-7c",64.0040086406808,-0.031288390767482,0.278995171059765,-0.112146710814502,0.910707081125808,0.999999765622576,64.0040086406808,-0.128827316018077,0.286400526080984,-0.449815221294843,0.652843681525121,0.949810705021192,64.0040086406808,0.0975389252505954,0.260572252252325,0.374325832499401,0.708161915238651,0.971966550624695
"hsa-let-7d-5p","hsa-let-7d",409.294489532485,-0.243201636720655,0.197777982007737,-1.22966992711626,0.218820732612066,0.935260699519635,409.294489532485,-0.255668790287401,0.199548930562739,-1.28123357798211,0.20011163531683,0.878363041892466,409.294489532485,0.0124671535667464,0.192718360968478,0.0646910522904747,0.948419987138424,0.999999390127491
"hsa-let-7d-3p","hsa-let-7d",60.455290994729,0.433614086434439,0.360528728403627,1.20271715475886,0.229085793138084,0.935260699519635,60.455290994729,0.318521407623008,0.367513982836317,0.866691942344059,0.386110821520855,0.942828750225344,60.455290994729,0.115092678811431,0.352477187468545,0.326525184900659,0.744027037755692,0.973969168629416
"hsa-let-7e-5p","hsa-let-7e",5783.70374072649,-0.259646183574864,0.167452206784468,-1.55056889700511,0.121005030673884,0.820960875326919,5783.70374072649,-0.133302594090965,0.167616979258979,-0.79528097141641,0.426450079893218,0.948758636864511,5783.70374072649,-0.126343589483899,0.167048197287498,-0.756330158214489,0.449451270776505,0.957959527950537
"hsa-let-7e-3p","hsa-let-7e",29.4348624272423,-0.114276377290452,0.486415241246556,-0.234935848222171,0.814258525278506,0.999999765622576,29.4348624272423,-0.192065453318688,0.495341381156852,-0.387743605975592,0.698205782536752,0.949810705021192,29.4348624272423,0.0777890760282366,0.461548048823993,0.168539497082569,0.866158873879169,0.982339093784102
"hsa-let-7f-5p","hsa-let-7f-1",42687.1321388008,0.212977887746699,0.152724785486756,1.39452078500492,0.16316039740494,0.901675880395719,42687.1321388008,-0.0150148907431453,0.152743637268946,-0.0983012517680691,0.921693084230484,0.99410751050234,42687.1321388008,0.227992778489844,0.152674792011402,1.49332300038645,0.135352657743226,0.952119013076541
"hsa-let-7f-5p","hsa-let-7f-2",42739.3417185033,0.099539756631281,0.162732757859308,0.611676210375168,0.540752004596136,0.999999765622576,42739.3417185033,-0.0151012464103176,0.162750228191447,-0.0927878662790794,0.926072090728734,0.99410751050234,42739.3417185033,0.114641003041599,0.162685883996936,0.704677014532852,0.481011258757866,0.957959527950537
"hsa-let-7f-2-3p","hsa-let-7f-2",65.377764948469,-0.166962456746052,0.304821427149033,-0.547738583562307,0.58387141499435,0.999999765622576,65.377764948469,0.00592092229864233,0.313045854622409,0.0189139137644358,0.984909779947861,0.99958590982298,65.377764948469,-0.172883379044695,0.289157257789196,-0.597887047229961,0.54991530314674,0.957959527950537
"hsa-let-7g-5p","hsa-let-7g",7721.30214964408,-0.310715313372204,0.192252857903942,-1.61618046545477,0.106055301003905,0.786056936852471,7721.30214964408,-0.223430741694061,0.192351671961662,-1.16157421152333,0.245408462355863,0.878363041892466,7721.30214964408,-0.087284571678143,0.191974510565527,-0.454667504665156,0.649348462178152,0.958680738359908
"hsa-let-7i-5p","hsa-let-7i",1562.48225503847,0.166414335235677,0.219730076568949,0.757358017774401,0.448835400738756,0.999999765622576,1562.48225503847,-0.261159463193493,0.219896513923683,-1.18764712788549,0.234972462251001,0.878363041892466,1562.48225503847,0.42757379842917,0.218689090662007,1.95516748062208,0.0505633055196244,0.846253005671936
"hsa-miR-100-5p","hsa-mir-100",384.282114708156,0.391571089525893,0.313313094145318,1.24977569352489,0.211381497566269,0.935260699519635,384.282114708156,0.376838470917169,0.314596492843851,1.19784701828895,0.230976578916627,0.878363041892466,384.282114708156,0.014732618608724,0.311609840220621,0.0472790544685406,0.962290821524222,0.999999390127491
"hsa-miR-101-5p","hsa-mir-101-1",5.25728253338327,0.717491122677688,1.03908597140597,0.690502174432073,0.489878442990229,0.999999765622576,5.25728253338327,0.184616842155811,1.0617079872459,0.173886647151175,0.861954546789295,0.985537866564892,5.25728253338327,0.532874280521877,1.00251664107963,0.53153659369486,0.59504699003917,NA
"hsa-miR-101-3p","hsa-mir-101-1",4661.82205963699,-0.148167837971898,0.174961783274503,-0.846858297845724,0.397074109098175,0.999999765622576,4661.82205963699,0.0295291500242992,0.175181083774288,0.168563576546575,0.866139932229222,0.987913878032417,4661.82205963699,-0.177696987996197,0.174591675514131,-1.01778614285545,0.308779598778435,0.957959527950537
