"4UIN"	"4UIWT"	"490WT"	"490N"	"4180N"	"4180WT"	"5UIN"	"5UIWT"	"545WT"	"545N"	"590WT"	"590N"	"5180N"	"5180WT"	"6UIWT"	"645WT"	"645N"	"690WT"	"690N"	"6180N"	"6180WT"	"445N"	"445WT"	"Gene_ID"
5463180	6997925	3373601	9093479	7570497	8229125	30211756	11875824	20855239	9536264	5886710	12487840	3766375	6285667	26584975	17585895	13498641	8849464	21605186	17417594	7557777	2414252	3269438	"N_unmapped"
1172044	8568503	312103	56188	8969989	1001489	654987	227848	132139	271369	112895	47702	168449	374044	213441	242455	140049	987161	396103	189870	327284	404549	181092	"N_multimapping"
758818	135826	91165	57420	36053	1012142	341966	299692	34188	13959	161288	17525	168696	1072758	1434521	35072	11578	243159	43969	443388	2003280	14146	67389	"N_noFeature"
162690	22902	34733	14770	10744	229543	10790	16609	8489	2308	61065	6670	58914	403389	46073	10101	4046	41699	7150	145009	605809	2810	19253	"N_ambiguous"
1739	286	217	161	123	2402	256	319	95	40	400	44	348	2323	1766	95	37	501	142	653	2751	90	351	"E2348C_0001"
317	46	44	32	15	396	58	52	47	6	111	16	176	633	81	23	19	41	13	178	951	18	48	"E2348C_0002"
67	14	11	8	15	89	10	29	12	2	40	3	52	156	26	13	1	9	4	58	245	1	11	"E2348C_0003"
121	28	12	11	9	142	23	25	15	6	63	10	82	251	57	12	9	17	5	92	450	8	20	"E2348C_0004"
60	9	4	5	3	36	7	2	10	0	8	2	16	39	12	6	1	4	1	17	67	0	16	"E2348C_0005"
50	9	32	12	3	155	3	3	3	1	37	6	40	213	9	6	1	13	7	87	481	6	10	"E2348C_0006"
24	5	8	1	0	39	0	5	0	0	15	1	6	70	15	0	0	6	3	29	132	0	2	"E2348C_0007"
578	131	210	59	70	856	60	59	42	8	267	21	377	1622	153	46	18	154	27	553	2687	15	107	"E2348C_0008"
62	4	21	6	3	105	7	6	2	2	31	3	37	129	25	4	3	8	4	41	320	0	11	"E2348C_0009"
20	3	15	4	8	93	0	4	2	1	13	1	47	110	3	5	1	3	11	69	292	0	3	"E2348C_0011"
1432	216	298	210	171	2150	173	249	80	5	635	112	1466	2801	536	78	42	422	117	2128	6280	36	90	"E2348C_0014"
127	19	29	31	24	247	15	34	5	4	106	15	212	483	82	7	6	23	14	262	751	10	15	"E2348C_0015"
198	40	76	52	14	753	24	62	21	9	131	20	82	470	100	27	7	111	38	251	830	7	39	"EBG00001076582"
10	1	5	1	1	36	2	1	0	0	7	0	3	42	3	0	0	3	0	11	65	0	0	"E2348C_0020"
281	48	186	89	61	1579	15	37	36	6	277	34	302	1821	68	54	20	181	22	652	4226	22	85	"E2348C_0021"
107	13	71	14	14	362	10	14	11	1	112	7	72	601	71	19	7	59	7	151	999	5	32	"E2348C_0022"
17650	2583	2184	1084	603	27479	1461	1891	624	383	3522	367	2097	19207	7887	521	241	4728	628	5964	40444	207	1047	"E2348C_0023"
20	0	4	5	3	29	0	1	0	0	14	0	9	39	5	0	0	20	0	17	66	0	5	"E2348C_0024"
294	38	78	41	33	484	20	26	29	7	206	14	185	877	86	36	9	84	16	246	1420	10	74	"E2348C_0025"
594	100	102	65	83	671	79	97	24	17	269	21	447	1549	185	31	18	116	45	444	2143	27	88	"E2348C_0026"
78	8	12	10	6	87	12	15	7	2	33	4	42	144	38	7	3	26	5	64	294	0	26	"E2348C_0027"
45	4	15	4	4	34	4	2	1	0	30	5	33	99	14	4	2	5	0	34	146	2	9	"E2348C_0028"
135	29	24	9	5	170	7	12	4	6	50	3	81	299	49	14	0	21	10	81	526	2	27	"E2348C_0029"
10	0	3	2	1	44	4	3	0	0	18	2	12	57	5	2	1	5	1	15	123	0	1	"E2348C_0030"
80	7	4	2	6	85	10	15	2	1	26	3	34	164	18	5	0	19	1	61	272	1	15	"E2348C_0031"
78	16	46	35	26	435	19	9	15	5	117	14	160	574	31	14	18	76	18	266	1000	5	50	"E2348C_0032"
220	37	204	97	99	1374	28	27	90	12	603	62	633	2264	69	63	25	311	79	753	4058	20	122	"E2348C_0033"
103	20	11	11	2	100	6	17	4	0	20	1	33	215	7	6	2	20	0	69	400	1	12	"E2348C_0035"
55	6	2	2	3	30	10	7	1	0	8	1	9	50	28	1	0	3	0	10	68	0	2	"E2348C_0038"
36	9	7	6	1	129	7	4	4	0	18	2	32	155	24	8	1	21	4	32	307	0	3	"E2348C_0040"
18	1	5	2	1	23	5	6	1	0	11	0	14	47	5	3	4	5	3	15	95	0	0	"E2348C_0048"
69	12	34	10	11	163	2	5	7	0	72	3	49	391	15	6	5	47	6	105	509	1	19	"E2348C_0049"
102	14	18	4	7	179	7	12	7	1	20	6	26	169	20	9	0	31	1	56	370	3	3	"E2348C_0050"
18	2	11	3	5	93	1	2	9	0	25	1	19	105	7	6	10	10	0	35	203	0	2	"E2348C_0051"
39	3	2	1	4	32	4	5	1	0	8	1	27	76	19	5	1	4	0	21	114	0	0	"E2348C_0052"
116	23	11	3	3	69	9	11	2	0	13	0	19	104	47	1	2	7	1	28	146	2	3	"E2348C_0053"
149	31	21	14	10	131	13	13	9	2	41	6	63	255	65	10	3	12	6	69	371	3	10	"E2348C_0054"
112	10	14	4	12	85	11	14	6	2	31	6	66	172	25	15	5	11	3	50	263	5	4	"E2348C_0055"
1004	133	55	47	34	626	81	130	37	6	125	13	174	737	369	19	10	110	17	305	1496	11	41	"E2348C_0056"
410	57	70	49	35	418	52	35	23	4	127	16	210	794	149	13	13	70	24	275	1259	8	69	"E2348C_0057"
