Rank	ID	GeneSet	Description	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	gmtcustom1	HALLMARK_TNFA_SIGNALING_VIA_NFKB	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB	168/200	1.69200058888111e-54	8.46000294440555e-53	5	1	1	1.41000049073425e-55	1	2.00084960773951	2.00084960773951	1	100	1	1	1	1	1	1	1	1	1	1	1	1
2	gmtcustom31	HALLMARK_INFLAMMATORY_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE	107/200	9.74157333862994e-10	2.43539333465749e-08	5	5.33333333333333	4	8.1179777858162e-11	2	1.500921898968	1.500921898968	1	10.9676620582696	7	4	8	3	4	2	3	2	7	18	2	4
3	gmtcustom43	HALLMARK_IL2_STAT5_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_IL2_STAT5_SIGNALING	148/199	4.93903223208287e-07	8.23172038680478e-06	10	10	8.5	4.11586112511947e-08	2	1.86975939308183	1.86975939308183	1	9.12452410851024	9	9	19	15	9	31	4	8	5	6	3	2
4	gmtcustom2	HALLMARK_HYPOXIA	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_HYPOXIA	165/200	1.51000831692283e-06	1.75257511831622e-05	10	6.91666666666667	7	1.25834113498432e-07	2	1.60896107043052	1.60896107043052	1	7.34500667047736	11	7	10	6	8	9	7	6	2	8	4	5
5	gmtcustom48	HALLMARK_KRAS_SIGNALING_UP	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_KRAS_SIGNALING_UP	132/200	1.75257511831622e-06	1.75257511831622e-05	20	12.75	14	1.46048043841466e-07	2	1.62327217341161	1.62327217341161	1	7.41033786281575	17	8	12	2	20	24	19	17	4	16	5	9
6	gmtcustom13	HALLMARK_ESTROGEN_RESPONSE_EARLY	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ESTROGEN_RESPONSE_EARLY	172/200	2.30356916402978e-06	1.91964097002482e-05	20	16.9166666666667	18.5	1.9196429967896e-07	5	1.79034851588978	1.79034851588978	1	8.10510345558978	19	15	7	19	23	18	22	29	26	5	6	14
7	gmtcustom37	HALLMARK_P53_PATHWAY	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_P53_PATHWAY	183/200	4.30429058972092e-06	3.07449327837209e-05	10	11.3333333333333	9.5	3.5869159010401e-07	5	1.52238132753013	1.51596192632768	1	6.59309795397579	5	10	5	13	12	35	9	9	9	12	7	10
8	gmtcustom28	HALLMARK_MYC_TARGETS_V1	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MYC_TARGETS_V1	200/200	5.59902272348482e-06	3.49938920217801e-05	5	23.25	23.5	4.66586424321108e-07	2	2.25092746358551	2.25092746358551	1	9.62682146876618	2	25	13	49	30	5	17	16	22	35	37	28
9	gmtcustom34	HALLMARK_OXIDATIVE_PHOSPHORYLATION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_OXIDATIVE_PHOSPHORYLATION	196/200	1.21588199615937e-05	6.75489997866318e-05	25	27.1666666666667	26.5	1.01324064339171e-06	3	0.492033777180434	0.492033777180434	1	1.96944432568161	3	31	25	45	26	6	21	22	27	44	45	31
10	gmtcustom10	HALLMARK_APOPTOSIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS	136/161	2.35827555262882e-05	0.000117913777631441	5	4.75	3	1.96525086921192e-06	2	1.62314444308471	1.62254682130707	1	6.12000690572641	8	2	2	12	3	3	2	3	8	3	8	3
11	gmtcustom6	HALLMARK_TGF_BETA_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TGF_BETA_SIGNALING	52/54	2.84981438599523e-05	0.000129537017545238	5	8.75	6	2.37487634162414e-06	2	1.61461020561232	1.61461020561232	1	6.02455613158579	4	6	18	9	2	33	8	5	3	2	9	6
12	gmtcustom38	HALLMARK_UV_RESPONSE_UP	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_UV_RESPONSE_UP	141/158	0.00027616641467229	0.00115069339446787	10	11.25	6.5	2.30167814130652e-05	4	2.69767917254278	2.69767917254278	1	7.60976361408087	6	5	17	16	5	47	5	7	6	4	10	7
