Rank	ID	GeneSet	Description	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	gmtcustom1	HALLMARK_TNFA_SIGNALING_VIA_NFKB	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB	168/200	1.32507183612399e-45	6.62535918061994e-44	5	1.16666666666667	1	1.10422653010332e-46	1	1.86667337497856	1.86667337497856	1	100	1	1	2	1	1	2	1	1	1	1	1	1
2	gmtcustom43	HALLMARK_IL2_STAT5_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_IL2_STAT5_SIGNALING	148/199	4.77629749151842e-07	1.1940743728796e-05	5	6.08333333333333	5.5	3.98024878092949e-08	2	1.47944270470841	1.47944270470841	1	9.03500499293528	6	8	13	10	10	10	2	2	3	5	2	2
3	gmtcustom10	HALLMARK_APOPTOSIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS	136/161	1.5377477303489e-06	2.56291288391483e-05	5	6.75	5	1.28145734513014e-07	2	1.28550336444631	1.23878949074581	1	7.32139670874418	15	3	5	14	2	3	5	11	9	4	3	7
4	gmtcustom2	HALLMARK_HYPOXIA	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_HYPOXIA	165/200	3.18960093836482e-06	3.18960093836482e-05	5	4.5	3.5	2.65800466771108e-07	2	1.49458413334757	1.49458413334757	1	8.33623539664302	2	4	3	5	7	7	3	3	2	6	9	3
5	gmtcustom13	HALLMARK_ESTROGEN_RESPONSE_EARLY	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ESTROGEN_RESPONSE_EARLY	172/200	2.80965038455745e-06	3.18960093836482e-05	10	12.4166666666667	8.5	2.34137833559107e-07	4	1.55295114336206	1.58860456832076	1	8.66183672750075	9	7	10	19	12	49	6	5	12	8	4	8
6	gmtcustom31	HALLMARK_INFLAMMATORY_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE	107/200	1.03984111682927e-05	8.66534264024392e-05	5	4.66666666666667	4	8.66538393900798e-07	1	1.36384495304497	1.36384495304497	1	6.87243971356319	3	2	1	2	5	1	4	4	7	18	5	4
7	gmtcustom37	HALLMARK_P53_PATHWAY	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_P53_PATHWAY	183/200	3.72041405303415e-05	0.000265743860931011	10	11.75	12	3.10039791221843e-06	6	1.39234507519557	1.34651574362419	1	6.17535286133907	8	13	7	18	14	18	8	10	11	15	6	13
8	gmtcustom14	HALLMARK_ESTROGEN_RESPONSE_LATE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ESTROGEN_RESPONSE_LATE	162/200	6.93500041744955e-05	0.000392438733351483	15	10.3333333333333	10	5.7793507159232e-06	4	1.54438646227372	1.66796407040427	1	6.52541851674753	14	6	4	15	17	12	7	9	13	11	7	9
9	gmtcustom48	HALLMARK_KRAS_SIGNALING_UP	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_KRAS_SIGNALING_UP	132/200	7.06389720032669e-05	0.000392438733351483	10	11.3333333333333	11	5.88677159397117e-06	3	1.42528012110718	1.4909967091952	1	6.02206214384325	18	9	6	3	19	13	13	15	5	22	8	5
10	gmtcustom6	HALLMARK_TGF_BETA_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TGF_BETA_SIGNALING	52/54	0.000162101370920268	0.000810506854601341	10	10.1666666666667	7.5	1.35094513104996e-05	2	1.49956187539019	1.49956187539019	1	5.74995340296296	7	5	24	17	3	26	10	8	4	2	10	6
11	gmtcustom42	HALLMARK_COAGULATION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_COAGULATION	99/138	0.00034662171582324	0.001575553253742	15	15.5	12.5	2.88897329349279e-05	6	1.8529661910152	1.8529661910152	1	6.44170736162653	13	15	34	7	23	11	12	12	6	26	15	12
12	gmtcustom9	HALLMARK_G2M_CHECKPOINT	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_G2M_CHECKPOINT	198/200	0.000705716324061999	0.00252041544307857	25	22.3333333333333	23.5	5.882872444325e-05	5	0.95292095325958	-0.584735280593435	-1	3.07088529877561	5	23	18	45	26	15	15	6	24	29	37	25
13	gmtcustom27	HALLMARK_E2F_TARGETS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_E2F_TARGETS	200/200	0.000681173144870285	0.00252041544307857	30	26.6666666666667	28	5.67821585576103e-05	4	1.08070528339658	-0.555418683710534	-1	3.48286131665878	4	27	31	48	34	23	17	7	26	36	38	29
14	gmtcustom30	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	138/200	0.0006847703997162	0.00252041544307857	30	25.9166666666667	27	5.70821175917059e-05	6	1.51676478910877	1.51676478910877	1	4.8887149023904	29	24	32	6	29	27	38	41	25	27	11	22
15	gmtcustom38	HALLMARK_UV_RESPONSE_UP	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_UV_RESPONSE_UP	141/158	0.003189864920861	0.0106328830695367	15	14.8333333333333	12	0.00026621150818732	7	2.00433361709962	2.00433361709962	1	4.90595330570929	12	11	23	21	15	36	9	14	8	7	12	10
16	gmtcustom23	HALLMARK_COMPLEMENT	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_COMPLEMENT	151/200	0.00708529417873065	0.0208391005256784	15	20.25	16.5	0.000592367320581604	10	1.83622853190889	1.83622853190889	1	3.82861924147539	17	12	37	16	32	39	11	13	10	24	21	11
17	gmtcustom36	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	46/49	0.00683501144738827	0.0208391005256784	20	17.5	17	0.000571376462655178	4	1.27374591105808	1.27374591105808	1	2.65541116091292	10	17	25	23	13	4	14	17	16	19	34	18
18	gmtcustom34	HALLMARK_OXIDATIVE_PHOSPHORYLATION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_OXIDATIVE_PHOSPHORYLATION	196/200	0.00768075273849857	0.0213354242736071	35	31.9166666666667	33.5	0.000642327089125798	9	0.792046020283721	0.792046020283721	1	1.64065170418008	11	33	38	49	35	9	27	26	28	46	47	34
19	gmtcustom49	HALLMARK_KRAS_SIGNALING_DN	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_KRAS_SIGNALING_DN	88/200	0.00955393226875859	0.0251419270230489	35	28.5833333333333	33.5	0.000799668749833565	4	1.71839744429337	1.85882164506868	1	3.40904984537133	35	34	21	4	41	24	36	34	45	23	13	33
20	gmtcustom7	HALLMARK_IL6_JAK_STAT3_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_IL6_JAK_STAT3_SIGNALING	55/87	0.0119342195057911	0.0298355487644777	10	14.6666666666667	13.5	0.001	5	1.47888233486659	1.47888233486659	1	2.79730742193811	24	10	8	9	6	5	18	22	30	13	17	14
21	gmtcustom4	HALLMARK_MITOTIC_SPINDLE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MITOTIC_SPINDLE	198/199	0.0469367700972786	0.11175421451733	40	36.5	38.5	0.00399815511470716	16	0.809207597566627	0.916926322562186	1	0.954201146947763	16	40	35	47	39	35	35	25	38	45	41	42
22	gmtcustom15	HALLMARK_ANDROGEN_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ANDROGEN_RESPONSE	89/100	0.0591142897519218	0.128509325547656	30	22.5833333333333	26.5	0.00506492996655506	9	1.25659623048334	1.25659623048334	1	1.38789705325505	30	30	12	36	11	25	30	31	15	9	14	28
23	gmtcustom46	HALLMARK_ALLOGRAFT_REJECTION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ALLOGRAFT_REJECTION	105/200	0.0583771930856242	0.128509325547656	20	22.3333333333333	18	0.005	14	1.1984967707877	1.1984967707877	1	1.32366547277534	25	14	16	20	36	43	16	16	14	31	22	15
24	gmtcustom35	HALLMARK_GLYCOLYSIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_GLYCOLYSIS	175/200	0.0786908457623861	0.163939262004971	20	24.9166666666667	19.5	0.00680669766475004	16	1.51810600320707	1.51810600320707	1	1.47782937996338	31	16	19	35	31	50	19	28	18	20	16	16
25	gmtcustom11	HALLMARK_NOTCH_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_NOTCH_SIGNALING	30/32	0.12891500154455	0.2578300030891	25	20.5	22	0.0114354227466703	9	0.984008400845768	0.984008400845768	1	0.717352355390541	21	19	9	24	9	29	25	23	29	17	24	17
26	gmtcustom3	HALLMARK_CHOLESTEROL_HOMEOSTASIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_CHOLESTEROL_HOMEOSTASIS	67/74	0.19444360470269	0.285946477503956	25	26.5833333333333	25	0.0178571428571429	18	1.4228724599932	1.4228724599932	1	0.95852545883178	28	20	36	34	25	21	21	18	35	25	35	21
27	gmtcustom5	HALLMARK_WNT_BETA_CATENIN_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_WNT_BETA_CATENIN_SIGNALING	38/42	0.19444360470269	0.285946477503956	35	26.0833333333333	27	0.0178571428571429	11	1.6836984029089	2.03182601669765	1	1.13447545246117	32	31	42	11	20	22	33	20	36	12	27	27
28	gmtcustom22	HALLMARK_HEDGEHOG_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_HEDGEHOG_SIGNALING	24/36	0.19444360470269	0.285946477503956	40	28.75	34	0.0178571428571429	8	1.13279470244918	1.13279470244918	1	0.7628425485302	37	41	14	28	8	31	41	38	37	10	20	40
