Rank	ID	GeneSet	Description	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
1	gmtcustom1	HALLMARK_TNFA_SIGNALING_VIA_NFKB	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB	168/200	1.01520035332867e-53	5.07600176664333e-52	5	1.86111111111111	1	1.41000049073425e-55	1	1.92565829689557	1.92809159035096	1	100
2	gmtcustom31	HALLMARK_INFLAMMATORY_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE	107/200	5.84494398894323e-09	1.46123599723581e-07	5	8.44444444444444	6	8.1179777858162e-11	1	1.41432703428779	1.4220593097444	1	6.85899083020611
3	gmtcustom28	HALLMARK_MYC_TARGETS_V1	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MYC_TARGETS_V1	200/200	6.87046166197398e-08	1.14507694366233e-06	45	27.1666666666667	23.25	9.54230818710027e-10	1	1.79242187179393	1.79242187179393	1	7.87621904992239
4	gmtcustom34	HALLMARK_OXIDATIVE_PHOSPHORYLATION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_OXIDATIVE_PHOSPHORYLATION	196/200	2.87890298946943e-07	3.59862873683679e-06	50	31.5972222222222	32	3.99847694183058e-09	2	0.472455447585305	0.479923528011774	1	1.18212930589084
5	gmtcustom2	HALLMARK_HYPOXIA	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_HYPOXIA	165/200	8.30462738716036e-07	8.30462738716036e-06	5	8.54166666666667	6.25	1.15342094272367e-08	2	1.6661432460663	1.67442185079839	1	7.64731115925539
6	gmtcustom43	HALLMARK_IL2_STAT5_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_IL2_STAT5_SIGNALING	148/199	2.85367465290319e-06	2.37806221075266e-05	10	12.0416666666667	8.75	3.96344259456736e-08	2	1.51650989265907	1.52580030314804	1	7.19140630350249
7	gmtcustom38	HALLMARK_UV_RESPONSE_UP	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_UV_RESPONSE_UP	141/158	4.28715600705304e-06	3.06225429075218e-05	10	12.1111111111111	7.5	5.95439592957672e-08	2	2.35659730042494	2.35659730042494	1	10.1101521042114
8	gmtcustom13	HALLMARK_ESTROGEN_RESPONSE_EARLY	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ESTROGEN_RESPONSE_EARLY	172/200	9.51737748532681e-06	5.25770231860589e-05	10	17.4861111111111	15.5	1.32186418705754e-07	2	1.68523565774898	1.69396763503997	1	7.16980640971972
9	gmtcustom10	HALLMARK_APOPTOSIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS	136/161	9.22645091214488e-06	5.25770231860589e-05	5	9.30555555555556	5.5	1.28145734513014e-07	1	1.27222808868264	1.26314616790338	1	4.80670153305888
10	gmtcustom48	HALLMARK_KRAS_SIGNALING_UP	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_KRAS_SIGNALING_UP	132/200	1.05154046372118e-05	5.25770231860589e-05	10	11.8888888888889	10	1.46048043841466e-07	2	1.50237243530955	1.51332519999088	1	6.69959884793256
