Rank	ID	GeneSet	NumGenes	Type	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	hsa03010	Ribosome	128/154	Signaling	2.04917194061216e-10	5.92210690836913e-08	5	102.75	112.5	1.70764328400384e-11	1	0.201442513937604	0.202844285665017	1	16.3149556177059	1	115	47	243	110	7	81	126	80	136	168	119
2	hsa04010	MAPK signaling pathway	196/255	Signaling	1.60058324961798e-06	0.000231284279569798	10	35.4166666666667	15.5	1.33382035317342e-07	1	2.45441695150717	2.45441695150717	1	100	9	15	115	46	1	154	16	33	7	17	1	11
3	hsa05132	Salmonella infection	67/86	Disease	1.61755105601355e-05	0.00155824085062639	5	16.4166666666667	7.5	1.34796920691513e-06	1	2.68302951500267	2.68302951500267	1	84.4052833029785	2	2	31	23	26	80	1	1	13	6	9	3
4	hsa05140	Leishmaniasis	40/73	Disease	2.73635213911523e-05	0.00197701442051076	15	12.4166666666667	10.5	2.28032204832285e-06	1	3.04104089356668	3.04104089356668	1	92.1451760162518	15	3	20	36	9	26	12	6	1	2	13	6
5	hsa04668	TNF signaling pathway	91/108	Signaling	0.000103652568988884	0.00599111848755751	5	10.25	3	8.63812446515898e-06	1	2.47776275341628	2.47776275341628	1	61.7085271384762	3	1	18	15	2	56	3	9	3	10	2	1
6	hsa04726	Serotonergic synapse	57/113	Signaling	0.000216913113974279	0.0104479816564278	55	72.9166666666667	60	1.80778901785035e-05	2	2.48038490413145	2.48038490413145	1	55.060694882839	62	55	202	7	52	118	69	118	2	82	50	58
7	hsa05133	Pertussis	51/76	Disease	0.000299524924072513	0.0121928292973313	20	27.1666666666667	13	2.49638376167121e-05	2	3.04104089356668	3.04104089356668	1	65.220739603332	19	7	26	20	13	191	5	10	4	13	16	2
8	hsa05161	Hepatitis B	116/144	Disease	0.000337517766016091	0.0121928292973313	15	40.1666666666667	20	2.81308324837948e-05	3	3.27047936460679	3.27047936460679	1	70.1414714517223	31	13	13	40	7	206	27	39	87	4	3	12
9	hsa05012	Parkinson's disease	120/142	Disease	0.000508241445608198	0.0163201975311966	145	127.75	142	4.2363322988221e-05	4	0.190424413746779	0.19398734314736	1	3.81381079049942	4	142	76	143	140	11	103	197	150	168	257	142
10	hsa04064	NF-kappa B signaling pathway	69/95	Signaling	0.00217963768540962	0.0203198480994639	40	51.8333333333333	40.5	0.000181818181818182	2	1.42909769715117	1.42909769715117	1	27.0974192405715	34	39	2	114	8	140	42	55	68	28	53	39
11	hsa04151	PI3K-Akt signaling pathway	223/342	Signaling	0.00217963768540962	0.0203198480994639	75	75.3333333333333	62.5	0.000181818181818182	5	1.56761842608533	1.56761842608533	1	29.7239396488352	52	64	40	116	5	267	73	74	71	55	26	61
12	hsa04350	TGF-beta signaling pathway	68/84	Signaling	0.00217963768540962	0.0203198480994639	10	26.5833333333333	10.5	0.000181818181818182	5	1.36889406388744	1.36889406388744	1	25.9558856041584	5	9	48	90	6	85	13	11	9	24	10	9
13	hsa04380	Osteoclast differentiation	85/130	Signaling	0.00108440701079181	0.0203198480994639	5	11.3333333333333	9	9.04121963614775e-05	3	3.27384124534016	3.27384124534016	1	62.0759860919926	8	10	6	25	3	20	19	18	5	5	4	13
14	hsa04620	Toll-like receptor signaling pathway	62/104	Signaling	0.00217963768540962	0.0203198480994639	60	43.25	33	0.000181818181818182	8	3.04104089356668	3.04104089356668	1	57.6618101077278	59	27	39	58	15	152	39	70	14	8	19	19
15	hsa04660	T cell receptor signaling pathway	73/103	Signaling	0.00217963768540962	0.0203198480994639	20	35	19.5	0.000181818181818182	7	3.04104089356668	3.04104089356668	1	57.6618101077278	20	17	63	115	19	89	22	13	17	7	22	16
