Rank	ID	GeneSet	NumGenes	Type	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
1	hsa03010	Ribosome	128/154	Signaling	2.62398199908955e-20	7.58330797736879e-18	5	113.083333333333	109	3.64441944317993e-22	1	0.272471433909372	0.278121514040563	1	25.6517670676085
2	hsa04668	TNF signaling pathway	91/108	Signaling	4.38869735654641e-08	6.34166768020956e-06	5	23.5277777777778	5.75	6.09541312710025e-10	1	2.16441710347627	2.16441710347627	1	83.2640047580477
3	hsa05012	Parkinson's disease	120/142	Disease	1.50396721945168e-06	0.000144882175473845	240	124.305555555556	121.25	2.08884490931074e-08	2	1.70088172949258	1.70401504875006	1	41.2644872215984
4	hsa04060	Cytokine-cytokine receptor interaction	109/270	Signaling	4.17220898382292e-06	0.000301442099081206	5	51.5555555555556	18.75	5.79474662031434e-08	1	1.46571018689174	1.35751058005485	0.666666666666667	56.4988044554513
5	hsa04010	MAPK signaling pathway	196/255	Signaling	9.60346106978879e-06	0.000555080049833792	5	60	15.5	1.33382035317342e-07	1	2.21249318755242	2.21249318755242	1	74.8802970356147
6	hsa00190	Oxidative phosphorylation	118/133	Metabolism	1.45000491901928e-05	0.000698419035994287	170	145.055555555556	145.5	2.01391011900304e-07	3	0.238602682499746	0.241967773039025	1	3.81176349558347
7	hsa04210	Apoptosis	113/138	Signaling	6.589951811441e-05	0.00272070867643778	5	71.4444444444444	27	9.15300825321021e-07	1	1.61705414508163	1.61705414508163	1	28.5979902192734
8	hsa05134	Legionellosis	43/55	Disease	7.60479307994864e-05	0.00274723150013145	5	39.5	14.75	1.05626086701702e-06	1	1.76568830119042	1.79232155266901	1	45.8592391515104
9	hsa05132	Salmonella infection	67/86	Disease	9.70491387383295e-05	0.00311635567726414	10	46.9027777777778	20.25	1.34796920691513e-06	1	3.15668852003548	3.18252190246893	1	62.976559581967
10	hsa05140	Leishmaniasis	40/73	Disease	0.000164169897322137	0.00474451003260976	15	74.1388888888889	70	2.28032204832285e-06	1	2.65328000580338	2.65328000580338	1	39.4418075233281
11	hsa05142	Chagas disease (American trypanosomiasis)	75/102	Disease	0.000257442346039068	0.00676371254593551	15	71.8611111111111	36.75	3.57604207828515e-06	3	2.5323681175196	2.5323681175196	1	35.0063902162999
12	hsa04950	Maturity onset diabetes of the young	14/26	Disease	0.000366790926037956	0.00883354813541412	35	52.4444444444444	27.5	5.09523993981817e-06	1	1.0365324590771	0.662489895887642	0.666666666666667	21.6421149479543
13	hsa00140	Steroid hormone biosynthesis	28/58	Metabolism	0.000542872186396568	0.0120684662975852	45	83.8055555555556	51.75	7.54191037706296e-06	1	0.775794952109066	0.660597856699822	0.666666666666667	11.6870055620229
14	hsa04062	Chemokine signaling pathway	106/182	Signaling	0.000594018422149894	0.0122622374286657	60	110.75	108.75	8.2526731825052e-06	4	2.05334828583424	2.06837836658152	1	37.0872143231541
15	hsa05133	Pertussis	51/76	Disease	0.000686437572782488	0.0123987786583837	20	53.2222222222222	22.5	9.53708339568042e-06	2	3.04959938686264	3.04959938686264	1	60.2352069326695
16	hsa03040	Spliceosome	129/134	Signaling	0.000666902487734583	0.0123987786583837	145	141.166666666667	116.75	9.26558160365604e-06	2	0.563438831569977	0.57693792708024	1	2.62199080148233
17	hsa04380	Osteoclast differentiation	85/130	Signaling	0.000856879089964735	0.0145669445294005	15	49.6944444444444	24.75	1.19061294090596e-05	1	2.41993823083057	2.41993823083057	1	51.8473038398718
18	hsa04726	Serotonergic synapse	57/113	Signaling	0.00130077311844813	0.0208846350684173	235	131.263888888889	150.25	1.80778901785035e-05	2	2.46245711906076	2.46245711906076	1	17.0734566581098
19	hsa04350	TGF-beta signaling pathway	68/84	Signaling	0.00146083120214463	0.0211668804639495	10	42.8194444444444	21.25	2.03039502100201e-05	2	1.34168364339839	1.34168364339839	1	31.0148561631866
20	hsa05323	Rheumatoid arthritis	46/90	Disease	0.0014648360182664	0.0211668804639495	10	35.8611111111111	23	2.03596530091781e-05	1	2.88630714926719	2.88630714926719	1	48.2970050236564
21	hsa00310	Lysine degradation	54/59	Metabolism	0.00187133223427745	0.0257530959860088	245	156.138888888889	174.75	2.60147361096299e-05	2	0.34190284231354	-0.247374760892544	-0.333333333333333	1.13837774176953
22	hsa05161	Hepatitis B	116/144	Disease	0.00202339859125488	0.02658009967603	195	89.75	73.5	2.81308324837948e-05	3	2.44048971285686	2.46759821752207	1	55.0108605102879
23	hsa05416	Viral myocarditis	30/59	Disease	0.00244563803005281	0.0307299735080548	40	117.513888888889	88.5	3.40082201463481e-05	6	0.727215036840362	0.611478042207723	0.666666666666667	12.3988205452378
24	hsa05166	HTLV-I infection	200/256	Disease	0.00258235266230331	0.0310958299752356	10	62.9305555555556	33.25	3.59117535777961e-05	2	2.32117942950813	2.33314397516376	1	48.6822035667437
