"","N180-WT0","N45-WT0","N90-WT0","WT180-WT0","WT45-WT0","WT90-WT0"
"Ribosome",0.16655671866168,0.202844285665017,0.303487298802132,0.28573125591882,0.265691462974769,0.444418062220959
"TNF signaling pathway",1.69853215988866,2.47776275341628,2.04639713310344,2.08026823103171,2.60005557558586,2.08348676783167
"Parkinson's disease",2.54523812190142,0.19398734314736,2.52193459629377,2.15574815391806,0.269789208783509,2.53739286845626
"Cytokine-cytokine receptor interaction",1.84349750557717,1.257099260362,1.81177697175123,1.65749332709042,-0.321758474710353,1.89695489025864
"MAPK signaling pathway",1.8478743528323,2.45441695150717,2.33330850511025,1.93667307215572,2.26920722205556,2.4334790216535
"Oxidative phosphorylation",0.157005238160646,0.160960707441453,0.249487330663464,0.284960057073998,0.239600540360331,0.359792764534256
"Apoptosis",1.13192971685519,1.8674731579373,1.48432126789948,1.21674008242077,2.42911530380488,1.57274534157214
"Legionellosis",1.97542847194851,1.96700675787464,2.27003208051125,1.72581302015751,0.52906333171274,2.28658565380941
"Salmonella infection",2.8581029363697,2.68302951500267,3.21175466305554,3.20947549128173,4.3238375695944,2.80893123950952
"Leishmaniasis",1.77554473909381,3.04104089356668,2.23302863272106,2.49291760020151,4.3238375695944,2.0533105996428
"Chagas disease (American trypanosomiasis)",1.82259555393926,3.04104089356668,1.87324959252909,2.01148377652688,4.3238375695944,2.12200131896128
"Maturity onset diabetes of the young",0.925736252444541,1.11922413884789,1.00798810396062,-1.12961629930807,1.00025092085815,1.05135625852271
"Steroid hormone biosynthesis",1.06046107469954,-0.324885232333355,1.006814947139,1.11925857821222,0.23409454058473,0.867843231896799
"Chemokine signaling pathway",2.63215914474404,1.96700675787464,2.38653265368921,2.67419146299737,0.424669068282718,2.32571111190116
"Pertussis",2.43407918571826,3.04104089356668,3.08377355141563,2.59716780113124,4.3238375695944,2.81769731974965
"Spliceosome",1.3810765819794,0.135044597142352,0.198548953129181,1.20990994373971,0.291644274923349,0.245403211567447
"Osteoclast differentiation",1.4850917612062,3.27384124534016,2.00709149101038,2.36974390902527,3.18131166009211,2.20254931830932
"Serotonergic synapse",2.932808000285,2.48038490413145,2.50625383581131,2.52065578773332,1.91455364260613,2.42008654379734
"TGF-beta signaling pathway",1.44240543571874,1.36889406388744,1.3541156578814,1.39601390084995,1.25931458837254,1.22935821368026
"Rheumatoid arthritis",2.31487657812684,3.04104089356668,2.34744386502217,2.58649743428338,4.3238375695944,2.70414655500969
"Lysine degradation",-0.601376259034237,0.0809273194502324,-0.243300891091189,-0.597392985480236,0.22725886244307,-0.350364611642905
"Hepatitis B",1.97774973001216,3.27047936460679,2.45644290732715,1.98563041349895,2.99903098014889,2.1162559095385
"Viral myocarditis",1.12418389876861,0.168438138657067,0.998268318760084,0.945416328380505,-0.365902949816821,0.798464518496894
"HTLV-I infection",1.67306094973377,3.4043479719256,1.92291631987429,1.76123129857567,3.31446127869385,1.92284603217941
"Herpes simplex infection",1.18367330636716,3.04104089356668,1.64071009931063,1.56340671894338,4.3238375695944,1.71552995288022
"Bladder cancer",2.05558902303326,1.39264633938706,1.2655216269802,1.53329243163981,1.04380885287895,1.18825276348684
"Malaria",1.731223245112,0.407090051678188,1.80567449279769,1.33528840214967,-0.292313106628994,1.84399120810325
"Butirosin and neomycin biosynthesis",1.55031218837749,0.114547144491506,0.229690517840368,1.29286154466392,-0.0289373790025795,-0.413925645453809
"Proteasome",0.127968352072762,0.112990921304042,0.206950881870698,0.167480733367834,0.241236258122594,0.305148159321965
"Transcriptional misregulation in cancer",1.80693899686177,2.33994564637703,2.17100744386343,1.57849345669726,2.14268510812645,2.26432374361987
"Linoleic acid metabolism",1.3436883701561,-0.353083348915568,1.07347490068239,1.39437171618231,0.338971016657749,0.946698830690305
"Ether lipid metabolism",1.16091325908128,0.144792637747595,1.07347490068239,1.1781000515777,0.169952263415868,0.946698830690305
"alpha-Linolenic acid metabolism",1.3436883701561,-0.314977898037476,1.07347490068239,1.39437171618231,-0.253388079664498,0.946698830690305
"NF-kappa B signaling pathway",1.27068992251852,1.42909769715117,1.51759858600697,1.56783306015817,0.308937551195036,1.64162588366146
"HIF-1 signaling pathway",1.27515693791118,1.72622988966127,1.15727081369304,1.09668043111104,1.71594763551223,0.988567166686683
