Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Gene Ratio
WT45,"HALLMARK TNFA
SIGNALING VIA NFKB",HALLMARK_TNFA_SIGNALING_VIA_NFKB,26/39,168/3446,5.268538056846558e-26,1.633246797622433e-24,1.3309990880454464e-24,FOS/NR4A1/NR4A3/EGR1/DUSP1/ID2/HES1/EDN1/MAFF/FOSB/JUNB/EGR2/DUSP5/AREG/PPP1R15A/CXCL2/MYC/NR4A2/CCNL1/CCN1/PHLDA1/NFE2L2/KLF10/SAT1/IER2/EGR3,26,0.6666666666666666
WT45,"HALLMARK TGF BETA
SIGNALING",HALLMARK_TGF_BETA_SIGNALING,5/39,52/3446,2.512620034383783e-4,0.0038945610532948637,0.0031738358329058314,ID2/JUNB/ID1/PPP1R15A/KLF10,5,0.1282051282051282
WT45,"HALLMARK UV RESPONSE
DN",HALLMARK_UV_RESPONSE_DN,6/39,126/3446,0.002566525784592768,0.02652076644079194,0.02161284871236015,DUSP1/ID1/RND3/CITED2/MYC/CCN1,6,0.15384615384615385
WT90,"HALLMARK TNFA
SIGNALING VIA NFKB",HALLMARK_TNFA_SIGNALING_VIA_NFKB,53/127,168/3446,7.295020006409591e-39,3.20980880282022e-37,2.226900844061875e-37,MAFF/NR4A1/FOS/AREG/JUNB/RHOB/NR4A3/DUSP5/IER3/DUSP1/HES1/GADD45B/DUSP4/NR4A2/MYC/NFE2L2/BMP2/CCL2/EDN1/TRIB1/CXCL2/ID2/NFKBIA/LIF/KLF10/DUSP2/EGR1/SAT1/BHLHE40/HBEGF/FOSL1/CXCL3/SOCS3/EGR3/PHLDA1/FOSB/MAP3K8/PPP1R15A/IER5/RNF19B/EGR2/GEM/TNFSF9/TIPARP/CCND1/FJX1/CEBPD/BTG2/TGIF1/PMEPA1/KLF4/YRDC/JUN,53,0.41732283464566927
WT90,HALLMARK P53 PATHWAY,HALLMARK_P53_PATHWAY,20/127,183/3446,7.773319888053571e-6,1.7101303753717858e-4,1.1864540881765977e-4,FOS/EPHA2/IER3/PLK3/TXNIP/BMP2/LIF/SAT1/HBEGF/PPP1R15A/IER5/RNF19B/TNFSF9/DDIT4/BTG2/HMOX1/KLF4/TM4SF1/JUN/NOTCH1,20,0.15748031496062992
WT90,"HALLMARK TGF BETA
SIGNALING",HALLMARK_TGF_BETA_SIGNALING,10/127,52/3446,1.3758699690000479e-5,2.0179426212000703e-4,1.4000080386316276e-4,JUNB/ID1/BMP2/ID2/KLF10/SKIL/PPP1R15A/TGIF1/PMEPA1/ID3,10,0.07874015748031496
WT90,HALLMARK HYPOXIA,HALLMARK_HYPOXIA,18/127,165/3446,2.396281313817687e-5,2.6359094451994556e-4,1.8287410026503398e-4,MAFF/FOS/IER3/DUSP1/BHLHE40/CDKN1B/CITED2/PPP1R15A/TIPARP/ERRFI1/DDIT4/NOCT/ADM/HMOX1/PCK1/HOXB9/SCARB1/JUN,18,0.14173228346456693
WT90,"HALLMARK ESTROGEN
RESPONSE EARLY",HALLMARK_ESTROGEN_RESPONSE_EARLY,18/127,172/3446,4.2328259338058913e-5,3.7248868217491847e-4,2.58425162274465e-4,FOS/AREG/HES1/MYC/KLF10/FOXC1/BHLHE40/ELF3/EGR3/TIPARP/CCND1/RETREG1/ADCY1/KLF4/KRT15/SCARB1/IGF1R/ABCA3,18,0.14173228346456693
WT90,HALLMARK APOPTOSIS,HALLMARK_APOPTOSIS,15/127,136/3446,1.070671008674546e-4,7.430290452321732e-4,5.154986198979192e-4,RHOB/IER3/GADD45B/TXNIP/BMP2/SAT1/NEDD9/CDKN1B/EGR3/CCND1/TNFRSF12A/BTG2/HMOX1/LGALS3/JUN,15,0.11811023622047244
WT90,"HALLMARK
INFLAMMATORY
RESPONSE",HALLMARK_INFLAMMATORY_RESPONSE,13/127,107/3446,1.1820916628693665e-4,7.430290452321732e-4,5.154986198979192e-4,MYC/CCL2/EDN1/NFKBIA/LIF/AHR/HBEGF/TNFSF15/IRAK2/TNFSF9/ADM/SCN1B/BTG2,13,0.10236220472440945
