Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Gene Ratio
WT45,"KEGG MAPK SIGNALING
PATHWAY",KEGG_MAPK_SIGNALING_PATHWAY,6/19,202/3511,4.857783090152799e-4,0.012880991555147771,0.011751080015222529,FOS/DUSP6/NR4A1/DUSP1/DUSP5/MYC,6,0.3157894736842105
WT45,"KEGG JAK STAT
SIGNALING PATHWAY",KEGG_JAK_STAT_SIGNALING_PATHWAY,4/19,83/3511,8.587327703431847e-4,0.012880991555147771,0.011751080015222529,SPRY1/SPRY2/SPRY4/MYC,4,0.21052631578947367
WT45,"KEGG TGF BETA
SIGNALING PATHWAY",KEGG_TGF_BETA_SIGNALING_PATHWAY,3/19,66/3511,0.004958020763298421,0.04958020763298421,0.045231066612547,ID2/ID1/MYC,3,0.15789473684210525
WT90,"KEGG CYTOKINE
CYTOKINE RECEPTOR
INTERACTION",KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,10/86,105/3511,1.9726281328358397e-4,0.013847210954395738,0.012919646584244828,BMP2/CCL2/CXCL2/LIF/CXCL3/TNFSF15/TNFSF9/TNFRSF12A/IL11/TNFRSF11B,10,0.11627906976744186
WT90,"KEGG MAPK SIGNALING
PATHWAY",KEGG_MAPK_SIGNALING_PATHWAY,14/86,202/3511,3.147093398726304e-4,0.013847210954395738,0.012919646584244828,DUSP6/NR4A1/FOS/DUSP5/DUSP1/GADD45B/DUSP4/MYC/DUSP2/MAP3K8/FLNC/FLNA/JUN/JUND,14,0.16279069767441862
WT90,"KEGG JAK STAT
SIGNALING PATHWAY",KEGG_JAK_STAT_SIGNALING_PATHWAY,8/86,83/3511,8.235868356455123e-4,0.024158547178935025,0.02254027129135086,SPRY4/MYC/SPRY2/LIF/SOCS3/SPRY1/CCND1/IL11,8,0.09302325581395349
WT180,"KEGG CYTOKINE
CYTOKINE RECEPTOR
INTERACTION",KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,14/113,105/3511,4.484129195989517e-6,5.067065991468154e-4,4.62573327586287e-4,CXCL2/CXCL3/BMP2/TGFBR2/TNFRSF10A/TNFRSF11B/CCL2/IL11/LIF/CXCR4/TNFRSF9/CLCF1/INHBE/IL12A,14,0.12389380530973451
WT180,"KEGG JAK STAT
SIGNALING PATHWAY",KEGG_JAK_STAT_SIGNALING_PATHWAY,12/113,83/3511,9.728840499919535e-6,5.496794882454537e-4,5.018033521011129e-4,SPRY4/MYC/SPRY1/CCND1/SPRY2/SPRED1/IL11/LIF/BCL2L1/CLCF1/CCND3/IL12A,12,0.10619469026548672
WT180,"KEGG MAPK SIGNALING
PATHWAY",KEGG_MAPK_SIGNALING_PATHWAY,18/113,202/3511,5.819579973278003e-5,0.002192041789934714,0.0020011187276534888,FOS/DUSP6/NR4A1/MYC/DUSP5/DUSP2/DUSP4/GADD45B/DUSP1/DUSP16/HSPA1B/MAP3K8/TGFBR2/HSPA1A/PLA2G2A/MECOM/RASA2/CACNB2,18,0.1592920353982301
WT180,"KEGG CHRONIC MYELOID
LEUKEMIA",KEGG_CHRONIC_MYELOID_LEUKEMIA,9/113,69/3511,3.018338396590618e-4,0.008526805970368496,0.007784135864891594,MYC/CCND1/TGFBR2/CDKN1B/E2F2/BCL2L1/CDKN1A/RUNX1/MECOM,9,0.07964601769911504
WT180,"KEGG P53 SIGNALING
PATHWAY",KEGG_P53_SIGNALING_PATHWAY,8/113,62/3511,7.117994537610006e-4,0.014943865571160472,0.013642280633197267,GADD45B/CCND1/SESN2/PMAIP1/CDKN1A/CCND3/CASP9/THBS1,8,0.07079646017699115
WT180,"KEGG MATURITY ONSET
DIABETES OF THE
YOUNG",KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,4/113,14/3511,7.934795878492286e-4,0.014943865571160472,0.013642280633197267,HES1/FOXA3/PAX6/HNF1A,4,0.035398230088495575
WT180,"KEGG PATHWAYS IN
CANCER",KEGG_PATHWAYS_IN_CANCER,17/113,256/3511,0.0029282903594820327,0.04727097294592424,0.04315375266605101,FOS/MYC/CCND1/BMP2/TGFBR2/CDKN1B/SLC2A1/FOXO1/AXIN2/E2F2/BCL2L1/CDKN1A/TRAF4/RUNX1/MECOM/CASP9/SHH,17,0.1504424778761062
N45,"KEGG MAPK SIGNALING
PATHWAY",KEGG_MAPK_SIGNALING_PATHWAY,8/22,202/3511,1.6620127163373036e-5,5.817044507180562e-4,4.7236150885376e-4,FOS/DUSP6/NR4A1/DUSP1/DUSP5/MYC/JUN/GADD45B,8,0.36363636363636365
N45,"KEGG TGF BETA
SIGNALING PATHWAY",KEGG_TGF_BETA_SIGNALING_PATHWAY,4/22,66/3511,6.459775012022148e-4,0.01130460627103876,0.009179680280242,ID2/ID1/MYC/BMP2,4,0.18181818181818182
