Var1	Var2	cor	p	padj
E2348C_1081	LOC100288175	0.8777693821728657	1.7440563718036076e-4	0.022544835366181303
narH	LOC100288175	0.8124168469493053	0.0013224631440390362	0.043481108741347765
E2348C_1442	LOC100288175	0.8641096868770802	2.892066131025883e-4	0.026217009687951272
yodA	LOC100288175	0.8018919750364664	0.0017049417319423817	0.047514416993919235
yegP	LOC100288175	0.8104390336945188	0.0013887300982077728	0.04419986566887979
napG	LOC100288175	0.8395505355873254	6.355154008848796e-4	0.0334348492204148
napA	LOC100288175	0.8260774628627361	9.285493876645489e-4	0.038226100142257524
espC	LOC100288175	0.8780568591375877	1.7245092602228307e-4	0.022529933011986438
E2348C_3230	LOC100288175	0.7982490189670324	0.0018553500129438727	0.04886818787731481
E2348C_3233	LOC100288175	0.8570604956272606	3.6782461700704907e-4	0.028330184931812406
E2348C_3234	LOC100288175	0.8572051594255512	3.660603582091062e-4	0.028298985690351216
E2348C_3931	LOC100288175	0.8234312223893613	9.966535824043228e-4	0.039303344378714467
escF	LOC100288175	0.8219591056773756	0.0010361713628787169	0.039675353352797815
cesD2	LOC100288175	0.8558331885008283	3.830597976886724e-4	0.028634367829142016
espA	LOC100288175	0.8654731891010008	2.7564497329427484e-4	0.025965060850318685
E2348C_4647	LOC100288175	0.8195062720346389	0.0011046867673993779	0.04074433014649934
folA	RNF223	0.8007519580331467	0.0017509654645466984	0.04798309250227983
ecpC	RNF223	-0.8005666936357034	0.0017585338387405354	0.04805977947703007
ecpR	RNF223	-0.7965986637451953	0.0019267410346766774	0.04948609224523373
E2348C_0257	RNF223	0.9179622799368423	2.5467871738811947e-5	0.013490084531463428
frmA	RNF223	0.812237827183931	0.0013283590743801029	0.04353878049339529
fes	RNF223	-0.7974277330295151	0.001890619162040076	0.04917693602302746
entC	RNF223	-0.8189013216571769	0.001122109039212205	0.04098195838588548
ybeF	RNF223	0.8544102674402577	4.0133241595372265e-4	0.028967488716166098
glnU	RNF223	0.8467923615272388	5.109856010190966e-4	0.03120314240857022
E2348C_0615	RNF223	0.840789398104238	6.127015219975821e-4	0.03315191239070931
lysW	RNF223	0.8243178782000248	9.734193622757202e-4	0.03895362133318095
lysQ_1	RNF223	0.9475417427728171	2.8639502327627006e-6	0.007247395959358804
potD	RNF223	0.8225227536664175	0.0010209006099048852	0.039468287056381716
ychN	RNF223	0.8073324812137403	0.001497933935394383	0.04536543374127523
narI	RNF223	0.795656800337476	0.001968415812241365	0.049858408010021636
E2348C_1390	RNF223	0.8247066886162998	9.633636384713737e-4	0.03886076191188441
E2348C_1829	RNF223	0.8881633354695326	1.138816363942642e-4	0.01975929106167673
yebN	RNF223	0.8831745814262775	1.4042519207659927e-4	0.02099786125914391
shiA	RNF223	-0.8841240263553927	1.350343248219225e-4	0.02077512656039307
yfcD	RNF223	0.8972532878307099	7.572348448225638e-5	0.017330224134533292
E2348C_2486	RNF223	0.8875159238853145	1.1708425554981294e-4	0.01991843523890868
valX	RNF223	0.8292814055053949	8.509620728874493e-4	0.036928118113156466
cysA	RNF223	0.8158934594306855	0.0012118994105414864	0.04221656969017162
gspC	RNF223	0.8317647398311705	7.943492981190502e-4	0.03613950798572303
yghG	RNF223	0.8186839541335746	0.0011284205245506856	0.041040377546008464
ygiW	RNF223	0.7962493889894608	0.0019421158439811238	0.04963062085509603
cdh	RNF223	0.8802611935164407	1.5802481665042734e-4	0.0218565224486216
tufB	RNF223	0.8393266710983026	6.397071169257826e-4	0.03352411080321872
groL	RNF223	0.8000741253018488	0.0017787781007225156	0.0482125048680495
glyX	RNF223	0.8793155574366968	1.6409298361496233e-4	0.02214680665197881
glyY	RNF223	0.8331583394927445	7.638810378816689e-4	0.03575863533255161
yjgF	RNF223	0.8621406792961946	3.0970155521458677e-4	0.026741516101128706
ccmG	TNFRSF9	-0.810645714514942	0.0013816882916985877	0.04411209387693237
ecpA	GPR157	-0.7960195185637886	0.001952285695108625	0.049719763093697744
