source	target
ANKRD1	ANKRD1
AREG	AREG
CCNL1	CCNL1
CITED2	CITED2
CRY2	CRY2
CXCL2	CXCL2
CYR61	CYR61
DUSP1	DUSP1
DUSP5	DUSP5
DUSP6	DUSP6
EDN1	EDN1
EGR1	EGR1
EGR2	EGR2
EGR3	EGR3
EGR4	EGR4
ENC1	ENC1
FOS	FOS
FOSB	FOSB
GDF15	GDF15
HELZ2	HELZ2
HES1	HES1
ID1	ID1
ID2	ID2
IER2	IER2
JUNB	JUNB
KLF10	KLF10
KLF5	KLF5
MAFF	MAFF
MRPL1	MRPL1
MYC	MYC
NFE2L2	NFE2L2
NR4A1	NR4A1
NR4A2	NR4A2
RAB5A	RAB5A
SPRY1	SPRY1
SPRY2	SPRY2
TRIM62	TRIM62
NFKBIZ	NFKBIZ
RND3	RND3
PPP1R15A	PPP1R15A
SPRY4	SPRY4
PHLDA1	PHLDA1
NR4A3	NR4A3
RIPK4	RIPK4
KLHL25	KLHL25
PLK2	PLK2
PGS1	PGS1
TXNIP	TXNIP
OLA1	OLA1
SAT1	SAT1
VMP1	VMP1
TRIM66	TRIM66
ABCA3	ABCA3
ACACB	ACACB
ADCY1	ADCY1
ADM	ADM
AFAP1	AFAP1
AHR	AHR
AK6	AK6
AMOTL1	AMOTL1
ARRDC2	ARRDC2
BAMBI	BAMBI
BCL9	BCL9
BHLHE40	BHLHE40
BLOC1S4	BLOC1S4
BMP2	BMP2
BMP4	BMP4
BRD3	BRD3
BTG2	BTG2
C1QBP	C1QBP
CAD	CAD
CASP2	CASP2
CBX4	CBX4
CCDC51	CCDC51
CCL2	CCL2
CCND1	CCND1
CCRN4L	CCRN4L
CDKN1B	CDKN1B
CEBPD	CEBPD
CHD3	CHD3
CLDN2	CLDN2
CLDN23	CLDN23
COPRS	COPRS
COPS4	COPS4
CREM	CREM
CSRNP1	CSRNP1
CTNND1	CTNND1
CXCL3	CXCL3
DDIT4	DDIT4
DDX59	DDX59
DOCK6	DOCK6
DOK7	DOK7
DPF2	DPF2
DUSP2	DUSP2
DUSP4	DUSP4
ECE1	ECE1
EEF1B2	EEF1B2
EIF5A2	EIF5A2
ELF3	ELF3
ELFN2	ELFN2
EPHA2	EPHA2
EREG	EREG
ERRFI1	ERRFI1
ESRRA	ESRRA
ETS2	ETS2
EZH1	EZH1
FAM117B	FAM117B
FAM32A	FAM32A
FBL	FBL
FGA	FGA
FGB	FGB
FLNA	FLNA
FLNC	FLNC
FOSL1	FOSL1
FOXA3	FOXA3
FOXC1	FOXC1
FOXJ2	FOXJ2
FOXQ1	FOXQ1
FUT4	FUT4
GADD45B	GADD45B
GATAD2B	GATAD2B
GNAI1	GNAI1
GPR3	GPR3
HBEGF	HBEGF
HEBP2	HEBP2
HES4	HES4
HGNC:9982	HGNC:9982
HMOX1	HMOX1
HOXB3	HOXB3
HOXB8	HOXB8
HOXB9	HOXB9
HSD17B2	HSD17B2
HSD3B1	HSD3B1
HTT	HTT
HUNK	HUNK
ID3	ID3
IDI1	IDI1
IER3	IER3
IER5	IER5
IGF1R	IGF1R
IL11	IL11
INPP5B	INPP5B
IRAK2	IRAK2
ISX	ISX
ITPR3	ITPR3
JAG1	JAG1
JUN	JUN
JUND	JUND
KLF4	KLF4
KMT2B	KMT2B
KRT15	KRT15
LIF	LIF
LIMK1	LIMK1
MACROD1	MACROD1
MAP1S	MAP1S
MAP3K8	MAP3K8
MB21D1	MB21D1
MEOX1	MEOX1
MTMR3	MTMR3
MUC13	MUC13
MYLIP	MYLIP
MYO9B	MYO9B
NFIA	NFIA
NFIC	NFIC
NFKBIA	NFKBIA
NOTCH1	NOTCH1
NOTCH2	NOTCH2
PCK1	PCK1
PFDN1	PFDN1
PHACTR4	PHACTR4
PHF12	PHF12
PIM3	PIM3
PLK3	PLK3
PMEPA1	PMEPA1
POLH	POLH
PPP1R3B	PPP1R3B
PRPF8	PRPF8
PTCH1	PTCH1
PXDC1	PXDC1
RASD1	RASD1
RBM15	RBM15
RCOR3	RCOR3
REG4	REG4
RGS2	RGS2
RHOB	RHOB
RHOF	RHOF
RPL17	RPL17
RPL31	RPL31
RPL7	RPL7
RPL9	RPL9
RPS3A	RPS3A
RPS6	RPS6
RPS7	RPS7
RPS8	RPS8
SEPN1	SEPN1
SERTAD1	SERTAD1
SETD5	SETD5
SIK1B	SIK1B
SKIL	SKIL
SLC25A25	SLC25A25
SMARCA4	SMARCA4
SOX2	SOX2
SOX9	SOX9
SSH1	SSH1
TNFSF15	TNFSF15
TP53RK	TP53RK
ZKSCAN3	ZKSCAN3
ABCC1	ABCC1
