Rank	ID	GeneSet	Description	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	gmtcustom1	HALLMARK_TNFA_SIGNALING_VIA_NFKB	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB	168/200	9.28036436112322e-20	4.64018218056161e-18	5	5.25	1	7.73363696760269e-21	1	1.83378291019382	1.83378291019382	1	100	2	1	4	1	1	41	1	8	1	1	1	1
2	gmtcustom28	HALLMARK_MYC_TARGETS_V1	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MYC_TARGETS_V1	200/200	1.14507697644236e-08	2.86269244110591e-07	10	12.0833333333333	7	9.54230818710027e-10	1	1.04380885287895	1.04380885287895	1	21.3473868281039	1	7	7	49	7	20	5	1	6	10	23	9
3	gmtcustom17	HALLMARK_PROTEIN_SECRETION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_PROTEIN_SECRETION	92/96	0.000523009284175596	0.0070490019112498	20	17.5833333333333	17.5	4.35945581661095e-05	3	0.227383501920687	0.247961635772989	1	1.36404888562084	3	18	21	42	11	17	9	6	12	21	32	19
4	gmtcustom27	HALLMARK_E2F_TARGETS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_E2F_TARGETS	200/200	0.00070490019112498	0.0070490019112498	5	11	6	5.87606693640464e-05	3	1.04380885287895	1.04380885287895	1	6.90102048578526	4	5	6	46	5	10	4	3	7	14	22	6
5	gmtcustom48	HALLMARK_KRAS_SIGNALING_UP	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_KRAS_SIGNALING_UP	132/200	0.00063174597661704	0.0070490019112498	5	10.9166666666667	4	5.26607477233329e-05	2	1.47638572354394	1.47638572354394	1	9.83474350767422	11	2	32	3	23	38	2	2	2	9	5	2
6	gmtcustom34	HALLMARK_OXIDATIVE_PHOSPHORYLATION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_OXIDATIVE_PHOSPHORYLATION	196/200	0.000872180511275043	0.00726817092729202	30	30.4166666666667	30.5	7.27107799428878e-05	5	0.219609914944479	0.24246596078745	1	1.30212498093701	5	28	35	50	29	42	19	20	32	35	42	28
7	gmtcustom6	HALLMARK_TGF_BETA_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TGF_BETA_SIGNALING	52/54	0.00142636085831312	0.00938906530839144	5	8.25	6.5	0.000118941182545866	2	1.24472365972443	1.24472365972443	1	7.77523250274686	10	3	11	14	2	22	10	17	3	2	2	3
8	gmtcustom38	HALLMARK_UV_RESPONSE_UP	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_UV_RESPONSE_UP	141/158	0.00150225044934263	0.00938906530839144	20	18.75	17.5	0.000125273815821376	3	2.97201996652603	2.97201996652603	1	18.8119722450823	18	17	28	16	13	30	23	39	23	3	3	12
9	gmtcustom15	HALLMARK_ANDROGEN_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ANDROGEN_RESPONSE	89/100	0.00958937717816329	0.0532743176564627	5	9.33333333333333	4	0.00080264864842827	1	0.691490160502	0.691490160502	1	2.59729350473784	6	4	2	39	3	1	3	4	5	11	30	4
10	gmtcustom9	HALLMARK_G2M_CHECKPOINT	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_G2M_CHECKPOINT	198/200	0.0175397530234576	0.0864365369453748	20	14.75	15.5	0.00147352971657635	1	1.04380885287895	1.04380885287895	1	3.31991977735131	7	16	1	48	4	18	7	7	16	17	21	15
