Rank	ID	GeneSet	Description	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
1	gmtcustom1	HALLMARK_TNFA_SIGNALING_VIA_NFKB	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB	168/200	4.74128769990183e-49	2.37064384995092e-47	5	2.61111111111111	1	1.31702436108384e-50	1	1.85150708943018	1.85150708943018	1	100
2	gmtcustom28	HALLMARK_MYC_TARGETS_V1	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_MYC_TARGETS_V1	200/200	3.43523088999105e-08	8.58807722497763e-07	45	24.5833333333333	19.5	9.54230818710027e-10	1	1.76854911067065	1.76854911067065	1	10.0156313917423
3	gmtcustom31	HALLMARK_INFLAMMATORY_RESPONSE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE	107/200	1.09589218137587e-07	1.7993144979197e-06	5	10.3055555555556	7.5	3.04414511043562e-09	1	1.39380857699424	1.39380857699424	1	6.49122117737123
4	gmtcustom34	HALLMARK_OXIDATIVE_PHOSPHORYLATION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_OXIDATIVE_PHOSPHORYLATION	196/200	1.43945159833576e-07	1.7993144979197e-06	35	27.5	30.5	3.99847694183058e-09	2	0.429284496196295	0.442725957302791	1	1.623577115857
5	gmtcustom43	HALLMARK_IL2_STAT5_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_IL2_STAT5_SIGNALING	148/199	1.4328885630651e-06	1.4328885630651e-05	5	15.8611111111111	15.5	3.98024878092949e-08	2	1.45550092017433	1.45550092017433	1	6.80688412022943
6	gmtcustom10	HALLMARK_APOPTOSIS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS	136/161	4.61323609704608e-06	3.84436341420507e-05	5	12.25	5.5	1.28145734513014e-07	1	1.12664933459747	1.09444762365613	1	4.2287841983643
7	gmtcustom2	HALLMARK_HYPOXIA	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_HYPOXIA	165/200	9.56877229446445e-06	5.98048268404028e-05	5	11.3055555555556	8	2.65800466771108e-07	2	1.64829959702874	1.64829959702874	1	6.23194113125633
8	gmtcustom13	HALLMARK_ESTROGEN_RESPONSE_EARLY	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ESTROGEN_RESPONSE_EARLY	172/200	8.42892747128868e-06	5.98048268404028e-05	10	21.6388888888889	24.5	2.34137833559107e-07	3	1.59391955409158	1.60580402907782	1	7.05577173514636
9	gmtcustom48	HALLMARK_KRAS_SIGNALING_UP	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_KRAS_SIGNALING_UP	132/200	1.08996056637368e-05	6.05533647985377e-05	5	12.3055555555556	10.5	3.02768428189803e-07	2	1.45940646852758	1.48131199789026	1	7.78765743502989
10	gmtcustom37	HALLMARK_P53_PATHWAY	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_P53_PATHWAY	183/200	0.000111608269198303	0.000558041345991514	10	17.4444444444444	11.5	3.10039791221843e-06	2	1.46203530137166	1.54404246155533	1	4.73035002733808
11	gmtcustom14	HALLMARK_ESTROGEN_RESPONSE_LATE	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ESTROGEN_RESPONSE_LATE	162/200	0.000208035584587783	0.000866814935782429	15	22.1944444444444	23.5	5.7793507159232e-06	4	1.81886226665974	1.86005480270325	1	4.91531896218347
12	gmtcustom38	HALLMARK_UV_RESPONSE_UP	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_UV_RESPONSE_UP	141/158	0.00020326333988434	0.000866814935782429	15	14.25	12	5.64676185355748e-06	2	2.38484214586345	2.38484214586345	1	10.7527989360123
13	gmtcustom6	HALLMARK_TGF_BETA_SIGNALING	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_TGF_BETA_SIGNALING	52/54	0.000486225286456956	0.00187009725560368	10	10.1944444444444	7.5	1.35094513104996e-05	2	1.4077053590582	1.4077053590582	1	6.09742925058511
14	gmtcustom42	HALLMARK_COAGULATION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_COAGULATION	99/138	0.0010395047492735	0.00371251696169109	15	22.2777777777778	18	2.88897329349279e-05	5	2.36670349790437	2.36670349790437	1	4.98500648149964
15	gmtcustom17	HALLMARK_PROTEIN_SECRETION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_PROTEIN_SECRETION	92/96	0.00156820737945607	0.00522735793152024	50	35.9722222222222	46	4.35945581661095e-05	3	0.296518142225362	-0.14134229388718	-0.333333333333333	0.455529798395335
16	gmtcustom9	HALLMARK_G2M_CHECKPOINT	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_G2M_CHECKPOINT	198/200	0.00211565521706766	0.00585557330943999	25	24.5277777777778	23.5	5.882872444325e-05	1	1.0303732170978	0.517821139146793	0.333333333333333	2.14874342383192
17	gmtcustom27	HALLMARK_E2F_TARGETS	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_E2F_TARGETS	200/200	0.00204212776011317	0.00585557330943999	25	26.8888888888889	27.5	5.67821585576103e-05	3	1.05636863860876	0.576914225884088	0.333333333333333	3.50979437997199
18	gmtcustom30	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	138/200	0.00205290478874365	0.00585557330943999	30	27.4444444444444	28.5	5.70821175917059e-05	4	1.29712426351125	1.29712426351125	1	2.59386036675083
