"","WT180-WT0","WT45-WT0","WT90-WT0"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.86667337497856,1.83378291019382,1.85406498311815
"HALLMARK_MYC_TARGETS_V1",2.47060219788576,1.04380885287895,1.79123628124725
"HALLMARK_INFLAMMATORY_RESPONSE",1.36384495304497,1.37987824419559,1.43770253374215
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.792046020283721,0.24246596078745,0.2936658908372
"HALLMARK_IL2_STAT5_SIGNALING",1.47944270470841,1.23398049270969,1.6530795631049
"HALLMARK_APOPTOSIS",1.23878949074581,0.612941599258679,1.43161178096391
"HALLMARK_HYPOXIA",1.49458413334757,1.94860747765931,1.50170718007935
"HALLMARK_ESTROGEN_RESPONSE_EARLY",1.58860456832076,1.60199925396947,1.62680826494323
"HALLMARK_KRAS_SIGNALING_UP",1.4909967091952,1.47638572354394,1.47655356093163
"HALLMARK_P53_PATHWAY",1.34651574362419,1.9523464891533,1.33326515188849
"HALLMARK_ESTROGEN_RESPONSE_LATE",1.66796407040427,2.10715955454293,1.80504078316256
"HALLMARK_UV_RESPONSE_UP",2.00433361709962,2.97201996652603,2.17817285396471
"HALLMARK_TGF_BETA_SIGNALING",1.49956187539019,1.24472365972443,1.47883054205999
"HALLMARK_COAGULATION",1.8529661910152,2.40958198533054,2.83756231736737
"HALLMARK_PROTEIN_SECRETION",-0.451329714854141,0.247961635772989,-0.220658802580388
"HALLMARK_G2M_CHECKPOINT",-0.584735280593435,1.04380885287895,1.09438984515486
"HALLMARK_E2F_TARGETS",-0.555418683710534,1.04380885287895,1.24235250848385
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1.51676478910877,0.896377084845466,1.47823091657951
"HALLMARK_MITOTIC_SPINDLE",0.916926322562186,0.244497840248745,0.899929991713644
"HALLMARK_COMPLEMENT",1.83622853190889,2.0010945969558,3.1928800735057
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",1.27374591105808,1.76038152165094,-0.90600031372364
"HALLMARK_KRAS_SIGNALING_DN",1.85882164506868,1.71594763551223,2.28968446596731
"HALLMARK_ANDROGEN_RESPONSE",1.25659623048334,0.691490160502,0.776164482077767
"HALLMARK_UV_RESPONSE_DN",1.32647614879895,1.21444353366943,1.36038686092691
"HALLMARK_IL6_JAK_STAT3_SIGNALING",1.47888233486659,0.350773554932483,1.53143586581945
"HALLMARK_HEDGEHOG_SIGNALING",1.13279470244918,-0.282936615115945,-0.986134658900788
"HALLMARK_APICAL_SURFACE",-0.582476432184925,-0.242867403499904,-0.3376034625344
"HALLMARK_MTORC1_SIGNALING",1.57301934209938,0.841711737363511,1.14932385328833
"HALLMARK_MYOGENESIS",1.4655868946124,0.679773994036976,1.26365730971844
"HALLMARK_APICAL_JUNCTION",1.65780495598461,-0.271622209764756,1.62187555850967
"HALLMARK_GLYCOLYSIS",1.51810600320707,0.648549029291203,1.28292267823712
"HALLMARK_ALLOGRAFT_REJECTION",1.1984967707877,0.312082266576643,1.74090654076119
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-1.48464479866246,-0.804053859768935,1.25470601349261
"HALLMARK_PEROXISOME",0.189494579454028,0.272354622364896,0.603615476907955
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.4228724599932,0.27454100169733,1.21071193112905
