Rank	ID	GeneSet	NumGenes	Type	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	hsa03010	Ribosome	128/154	Signaling	2.59420997534016e-05	0.00374863341436652	255	133.666666666667	111	2.161867351119e-06	1	0.254221702301112	0.265691462974769	1	10.5910466809433	1	108	205	254	184	251	78	76	95	88	150	114
2	hsa04010	MAPK signaling pathway	196/255	Signaling	1.56369000896942e-05	0.00374863341436652	20	103.25	91	1.30308434659243e-06	1	2.26920722205556	2.26920722205556	1	94.5366957419553	258	145	16	55	1	93	278	148	135	20	1	89
3	hsa03040	Spliceosome	129/134	Signaling	0.000111181313252708	0.0107104665100109	25	55.25	24	9.26558160365604e-06	2	0.256020785283386	0.291644274923349	1	8.66156590828359	2	22	25	259	44	5	6	6	30	84	157	23
4	hsa00533	Glycosaminoglycan biosynthesis - keratan sulfate	11/14	Metabolism	0.00217963768540962	0.0449939493630987	75	98.75	108.5	0.000181818181818182	4	0.368201365347482	-0.382094541358684	-1	8.51561506141397	111	143	4	74	8	216	161	116	75	31	106	140
5	hsa03050	Proteasome	39/44	Signaling	0.00168759314516287	0.0449939493630987	50	101.833333333333	53	0.000140741656178484	3	0.223979833928435	0.241236258122594	1	5.18011669515701	3	46	188	239	162	232	26	22	40	59	158	47
6	hsa04110	Cell cycle	122/124	Signaling	0.00217963768540962	0.0449939493630987	10	39.5833333333333	15	0.000181818181818182	3	1.04380885287895	1.04380885287895	1	24.1407970208573	7	12	18	262	4	36	3	7	21	47	52	6
7	hsa04120	Ubiquitin mediated proteolysis	128/137	Signaling	0.00217963768540962	0.0449939493630987	25	63.75	23	0.000181818181818182	2	0.24025157735134	0.256598069204049	1	5.55644312207279	25	11	6	265	2	25	7	21	93	115	178	17
8	hsa04668	TNF signaling pathway	91/108	Signaling	0.00144953192049793	0.0449939493630987	10	37.75	13	0.000120874653088854	1	2.60005557558586	2.60005557558586	1	60.1330538635556	30	1	37	21	6	189	10	127	9	16	6	1
9	hsa05132	Salmonella infection	67/86	Disease	0.00217963768540962	0.0449939493630987	15	41.1666666666667	26.5	0.000181818181818182	5	4.3238375695944	4.3238375695944	1	100	80	25	13	28	5	60	24	72	130	13	32	12
10	hsa05133	Pertussis	51/76	Disease	0.00217963768540962	0.0449939493630987	10	33.6666666666667	11.5	0.000181818181818182	2	4.3238375695944	4.3238375695944	1	100	129	8	2	13	7	16	71	113	10	6	24	5
11	hsa05161	Hepatitis B	116/144	Disease	0.00217963768540962	0.0449939493630987	10	72.6666666666667	61.5	0.000181818181818182	8	2.99903098014889	2.99903098014889	1	69.3603987475176	93	18	107	82	9	140	41	118	235	10	8	11
12	hsa05168	Herpes simplex infection	136/185	Disease	0.00199681966537838	0.0449939493630987	5	47	23.5	0.00016655412563075	2	4.3238375695944	4.3238375695944	1	100	63	3	17	190	3	70	2	18	113	29	54	2
13	hsa05202	Transcriptional misregulation in cancer	122/180	Disease	0.000856966798587802	0.0449939493630987	15	97.4166666666667	63	7.14419649473438e-05	2	2.14268510812645	2.14268510812645	1	49.5551711301349	191	106	42	39	11	57	172	246	219	15	2	69
14	hsa05210	Colorectal cancer	57/60	Disease	0.00217963768540962	0.0449939493630987	5	52.0833333333333	22	0.000181818181818182	3	2.68382321123668	2.68382321123668	1	62.0703985104286	62	5	127	96	10	178	33	92	4	4	11	3
15	hsa04350	TGF-beta signaling pathway	68/84	Signaling	0.00316859388929824	0.0610482422671461	10	52.8333333333333	35.5	0.000264433740599861	3	1.25931458837254	1.25931458837254	1	26.2592641655693	53	9	50	125	20	208	37	77	8	34	3	10
16	hsa03022	Basal transcription factors	39/45	Signaling	0.00672966418574045	0.0982783214478099	5	40.1666666666667	9	0.000562542587151245	1	0.284531911749014	0.33306085492017	1	4.92274090411951	4	4	27	181	32	12	1	1	6	55	155	4
17	hsa04380	Osteoclast differentiation	85/130	Signaling	0.00610654808944649	0.0982783214478099	140	112.666666666667	92.5	0.000510308857105996	5	3.18131166009211	3.18131166009211	1	55.0404806652996	136	77	220	66	108	236	126	253	65	9	5	51
18	hsa04727	GABAergic synapse	42/88	Signaling	0.00680126792026366	0.0982783214478099	185	184.75	216.5	0.000568546811816178	2	0.336749668818445	-0.247175255003643	-1	5.82617029367361	183	277	231	37	258	84	288	143	2	214	219	281
19	hsa05031	Amphetamine addiction	42/68	Disease	0.00658974728215796	0.0982783214478099	15	44.75	20	0.000550811208345188	1	3.8917767293127	3.8917767293127	1	67.3323725390165	31	6	193	12	55	131	25	47	1	11	10	15
20	hsa05166	HTLV-I infection	200/256	Disease	0.00570417078652647	0.0982783214478099	190	102.666666666667	97	0.000476594867668332	4	3.31446127869385	3.31446127869385	1	57.3441276506112	186	43	117	135	31	142	77	186	259	18	4	34
