Rank	ID	GeneSet	NumGenes	Type	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
1	hsa03010	Ribosome	128/154	Signaling	1.31199099954477e-20	3.79165398868439e-18	5	95.2222222222222	105.5	3.64441944317993e-22	1	0.327482000667268	0.331946927038183	1	33.8125349570839
2	hsa04668	TNF signaling pathway	91/108	Signaling	2.19434870234904e-08	3.17083387489436e-06	5	34.25	8	6.09541312710025e-10	1	2.25460352481641	2.25460352481641	1	83.6675859085322
3	hsa05012	Parkinson's disease	120/142	Disease	7.51983892465727e-07	7.24411149741984e-05	105	104.75	101.5	2.08884490931074e-08	2	1.64923108167116	1.65431007705261	1	65.450292354766
4	hsa04060	Cytokine-cytokine receptor interaction	109/270	Signaling	2.08610666783198e-06	0.00015072120675086	5	81.5277777777778	45.5	5.79474662031434e-08	1	1.31863127783911	1.07756324754624	0.333333333333333	52.2626553310573
5	hsa00190	Oxidative phosphorylation	118/133	Metabolism	7.25005087671526e-06	0.000419052940674142	170	119.222222222222	111.5	2.01391011900304e-07	3	0.271987100043268	0.294784453989528	1	6.94664178117049
6	hsa04010	MAPK signaling pathway	196/255	Signaling	4.69099667349726e-05	0.00225949673106785	5	87.2222222222222	91	1.30308434659243e-06	1	2.21311977195493	2.21311977195493	1	69.267635861538
7	hsa04950	Maturity onset diabetes of the young	14/26	Disease	0.000183412283051765	0.00757230711456574	15	64.1666666666667	21.5	5.09523993981817e-06	1	1.05541541973651	0.307330293357596	0.333333333333333	20.8514574832621
8	hsa00140	Steroid hormone biosynthesis	28/58	Metabolism	0.000271472941977397	0.00953871253101846	5	85.75	43.5	7.54191037706296e-06	1	0.750780950941447	0.740398783564583	1	17.3711883479896
9	hsa04062	Chemokine signaling pathway	106/182	Signaling	0.0002970533314158	0.00953871253101846	20	139.055555555556	134.5	8.2526731825052e-06	4	1.77813038623251	1.80819054772708	1	39.3815286076886
10	hsa03040	Spliceosome	129/134	Signaling	0.000333506857279218	0.00963834817536939	215	149.805555555556	196	9.26558160365604e-06	2	0.565445710774487	0.58231914341017	1	2.88719167774946
11	hsa00310	Lysine degradation	54/59	Metabolism	0.000936104262734082	0.02459401199365	180	126.805555555556	173	2.60147361096299e-05	2	0.384552103269022	-0.240166244893357	-0.333333333333333	2.02380129532068
12	hsa04350	TGF-beta signaling pathway	68/84	Signaling	0.00195407358178622	0.0438518582451954	25	55.7777777777778	35.5	5.43314482813365e-05	2	1.29489556763425	1.29489556763425	1	27.4185656267956
13	hsa05134	Legionellosis	43/55	Disease	0.00208368100886849	0.0438518582451954	10	50	21.5	5.79387351659111e-05	2	1.46729841886215	1.51382066855989	1	28.7042467543965
14	hsa04110	Cell cycle	122/124	Signaling	0.00652467094997717	0.0438518582451954	230	96.4444444444445	72	0.000181818181818182	3	1.1586617874325	1.22438754754242	1	21.3412908426213
15	hsa04141	Protein processing in endoplasmic reticulum	151/166	Signaling	0.0060234831867449	0.0438518582451954	40	108.333333333333	69.5	0.000167810849878347	3	0.903320654210248	0.903320654210248	1	11.4203534396906
16	hsa04380	Osteoclast differentiation	85/130	Signaling	0.00652467094997717	0.0438518582451954	35	83.2222222222222	82	0.000181818181818182	5	2.58453496247557	2.58453496247557	1	51.0638848933574
17	hsa04550	Signaling pathways regulating pluripotency of stem cells	103/139	Signaling	0.00652467094997717	0.0438518582451954	210	136.416666666667	159.5	0.000181818181818182	3	1.33892304415617	1.43499099071787	1	24.8696741186355
18	hsa04710	Circadian rhythm	26/31	Signaling	0.00652467094997717	0.0438518582451954	20	101.305555555556	56	0.000181818181818182	2	1.29424147892465	1.30534448650807	1	27.5986099281669
19	hsa04915	Estrogen signaling pathway	76/98	Signaling	0.00652467094997717	0.0438518582451954	20	108.111111111111	72.5	0.000181818181818182	17	2.88197648528477	2.88197648528477	1	32.0667747249527
20	hsa05161	Hepatitis B	116/144	Disease	0.00652467094997717	0.0438518582451954	15	109.305555555556	84	0.000181818181818182	4	2.31275542506502	2.36697243439545	1	50.7704069887856
21	hsa05162	Measles	87/134	Disease	0.00652467094997717	0.0438518582451954	75	135.361111111111	149	0.000181818181818182	4	0.6694955571791	0.663505075117507	1	9.99023700469726
22	hsa05164	Influenza A	111/173	Disease	0.00652467094997717	0.0438518582451954	50	151.777777777778	168	0.000181818181818182	2	0.820984223492539	0.828134753647652	1	11.3801445422421
23	hsa05166	HTLV-I infection	200/256	Disease	0.00652467094997717	0.0438518582451954	10	85.9444444444444	69	0.000181818181818182	4	2.30891711183838	2.33284620314964	1	44.5789765649715
24	hsa05202	Transcriptional misregulation in cancer	122/180	Disease	0.0025686978488314	0.0438518582451954	15	90.5833333333333	63	7.14419649473438e-05	2	1.99516743614786	1.99516743614786	1	35.0435040854331
25	hsa05210	Colorectal cancer	57/60	Disease	0.00652467094997717	0.0438518582451954	40	78.0555555555556	39	0.000181818181818182	3	2.05850553614699	2.12227066806249	1	45.0759831064441
26	hsa05212	Pancreatic cancer	61/64	Disease	0.00652467094997717	0.0438518582451954	140	176.138888888889	201.5	0.000181818181818182	5	0.606999774104112	0.622476009266237	1	8.59528259310722
27	hsa05213	Endometrial cancer	48/50	Disease	0.00652467094997717	0.0438518582451954	75	160.555555555556	188.5	0.000181818181818182	20	1.19568486477593	1.26336039589083	1	14.0221318926064
28	hsa05220	Chronic myeloid leukemia	69/71	Disease	0.00652467094997717	0.0438518582451954	25	147.194444444444	153	0.000181818181818182	16	1.05570768955353	1.07095538894045	1	12.1106804326823
29	hsa05222	Small cell lung cancer	78/84	Disease	0.00652467094997717	0.0438518582451954	215	147.416666666667	148.5	0.000181818181818182	10	1.00461463310949	1.02197307654281	1	12.7798521321825
30	hsa05219	Bladder cancer	38/41	Disease	0.00652467094997717	0.0438518582451954	25	93.9722222222222	55	0.000181818181818182	7	1.19852666653046	1.25511801600187	1	15.8493994263825
31	hsa04115	p53 signaling pathway	63/69	Signaling	0.00652467094997717	0.0438518582451954	55	86.5	70.5	0.000181818181818182	2	0.884577163955994	0.878519773842207	1	13.2067874303336
32	hsa00533	Glycosaminoglycan biosynthesis - keratan sulfate	11/14	Metabolism	0.00652467094997717	0.0438518582451954	35	115.222222222222	108.5	0.000181818181818182	4	0.39972646419719	-0.0288943903832899	-0.333333333333333	6.12224471470208
33	hsa05133	Pertussis	51/76	Disease	0.00652467094997717	0.0438518582451954	10	71.6388888888889	24.5	0.000181818181818182	2	3.24623423015843	3.24623423015843	1	54.8172677922614
34	hsa04066	HIF-1 signaling pathway	83/101	Signaling	0.00652467094997717	0.0438518582451954	55	132.027777777778	167	0.000181818181818182	9	1.26706507776998	1.26706507776998	1	8.60843313723959
35	hsa05132	Salmonella infection	67/86	Disease	0.00652467094997717	0.0438518582451954	15	63.1944444444444	30	0.000181818181818182	3	3.44741476679522	3.44741476679522	1	49.6762733640031
