"","WT180-WT0","WT45-WT0","WT90-WT0"
"Ribosome",0.28573125591882,0.265691462974769,0.444418062220959
"TNF signaling pathway",2.08026823103171,2.60005557558586,2.08348676783167
"Parkinson's disease",2.15574815391806,0.269789208783509,2.53739286845626
"Cytokine-cytokine receptor interaction",1.65749332709042,-0.321758474710353,1.89695489025864
"Oxidative phosphorylation",0.284960057073998,0.239600540360331,0.359792764534256
"MAPK signaling pathway",1.93667307215572,2.26920722205556,2.4334790216535
"Maturity onset diabetes of the young",-1.12961629930807,1.00025092085815,1.05135625852271
"Steroid hormone biosynthesis",1.11925857821222,0.23409454058473,0.867843231896799
"Chemokine signaling pathway",2.67419146299737,0.424669068282718,2.32571111190116
"Spliceosome",1.20990994373971,0.291644274923349,0.245403211567447
"Lysine degradation",-0.597392985480236,0.22725886244307,-0.350364611642905
"TGF-beta signaling pathway",1.39601390084995,1.25931458837254,1.22935821368026
"Legionellosis",1.72581302015751,0.52906333171274,2.28658565380941
"Cell cycle",1.37653122678038,1.04380885287895,1.25282256296793
"Protein processing in endoplasmic reticulum",0.889693976375533,0.780939269518595,1.03932871673662
"Osteoclast differentiation",2.36974390902527,3.18131166009211,2.20254931830932
"Signaling pathways regulating pluripotency of stem cells",1.73472629254657,1.25931458837254,1.3109320912345
"Circadian rhythm",1.94637020207589,0.283945055106001,1.68571820234232
"Estrogen signaling pathway",2.1186078428547,4.3238375695944,2.20348404340522
"Hepatitis B",1.98563041349895,2.99903098014889,2.1162559095385
"Measles",0.940923359290466,0.216074305242082,0.833517560819974
"Influenza A",0.955511365916406,0.274186881533937,1.25470601349261
"HTLV-I infection",1.76123129857567,3.31446127869385,1.92284603217941
"Transcriptional misregulation in cancer",1.57849345669726,2.14268510812645,2.26432374361987
"Colorectal cancer",1.78708793602174,2.68382321123668,1.89590085692906
"Pancreatic cancer",0.848733782152762,0.220229727149055,0.798464518496894
"Endometrial cancer",1.45142193492146,1.04380885287895,1.29485039987207
"Chronic myeloid leukemia",1.09611007301561,1.04380885287895,1.07294724092679
"Small cell lung cancer",1.04894950166833,1.04380885287895,0.973160875081154
"Bladder cancer",1.53329243163981,1.04380885287895,1.18825276348684
"p53 signaling pathway",1.06786403880947,0.304402665265154,1.263292617452
"Glycosaminoglycan biosynthesis - keratan sulfate",0.593078632688036,-0.382094541358684,-0.297667262479222
"Pertussis",2.59716780113124,4.3238375695944,2.81769731974965
"HIF-1 signaling pathway",1.09668043111104,1.71594763551223,0.988567166686683
"Salmonella infection",3.20947549128173,4.3238375695944,2.80893123950952
