source	target	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	score
A2M	CCL2	9606.ENSP00000323929	9606.ENSP00000225831	0	0	0	0	0.111	0	0	0.359	0.405
A2M	FGB	9606.ENSP00000323929	9606.ENSP00000306099	0	0	0	0	0.169	0	0	0.422	0.499
A2M	FGA	9606.ENSP00000323929	9606.ENSP00000306361	0	0	0	0	0.186	0	0	0.467	0.548
A2M	FGG	9606.ENSP00000323929	9606.ENSP00000336829	0	0	0	0	0.183	0	0	0.468	0.546
ADAMTS15	THBS1	9606.ENSP00000299164	9606.ENSP00000260356	0	0	0	0.544	0.076	0.074	0.9	0.398	0.922
ADAMTS15	VCAN	9606.ENSP00000299164	9606.ENSP00000265077	0	0	0	0	0.062	0	0	0.516	0.527
ADAMTS15	LGR4	9606.ENSP00000299164	9606.ENSP00000368516	0	0	0	0	0.083	0.056	0	0.373	0.41
ADCY5	RGS2	9606.ENSP00000419361	9606.ENSP00000235382	0	0	0	0	0	0.27	0	0.459	0.589
ADCY5	PDE2A	9606.ENSP00000419361	9606.ENSP00000334910	0	0	0	0	0.173	0.161	0.65	0.344	0.819
ADCY5	GNAI1	9606.ENSP00000419361	9606.ENSP00000343027	0	0	0	0	0.082	0.391	0.9	0.3	0.955
ADCY5	PDE4D	9606.ENSP00000419361	9606.ENSP00000345502	0	0	0	0	0.108	0.172	0.65	0.485	0.849
ADCY5	EDN1	9606.ENSP00000419361	9606.ENSP00000368683	0	0	0	0	0	0	0.9	0.145	0.91
ADCY5	AKAP7	9606.ENSP00000419361	9606.ENSP00000405252	0	0	0	0	0	0	0	0.426	0.426
ADM	CCL2	9606.ENSP00000436607	9606.ENSP00000225831	0	0	0	0	0.087	0	0	0.39	0.419
ADM	GDF15	9606.ENSP00000436607	9606.ENSP00000252809	0	0	0	0	0.076	0	0	0.469	0.488
ADM	LGALS3	9606.ENSP00000436607	9606.ENSP00000254301	0	0	0	0	0.088	0	0	0.395	0.424
ADM	TM4SF1	9606.ENSP00000436607	9606.ENSP00000304277	0	0	0	0	0.076	0	0	0.623	0.636
ADM	TGFBR2	9606.ENSP00000436607	9606.ENSP00000351905	0	0	0	0	0.067	0	0	0.405	0.421
ADM	EDN1	9606.ENSP00000436607	9606.ENSP00000368683	0	0	0	0	0.065	0.213	0	0.716	0.773
AGR2	TFF1	9606.ENSP00000391490	9606.ENSP00000291527	0	0	0	0	0.547	0	0	0.512	0.769
AGR2	REG4	9606.ENSP00000391490	9606.ENSP00000346158	0	0	0	0	0.142	0	0	0.373	0.439
AGR2	EPS8L3	9606.ENSP00000391490	9606.ENSP00000358820	0	0	0	0	0.34	0	0	0.449	0.621
AGR2	AREG	9606.ENSP00000391490	9606.ENSP00000379097	0	0	0	0	0.118	0	0	0.394	0.443
AGR2	MUC13	9606.ENSP00000391490	9606.ENSP00000485028	0	0	0	0	0.154	0	0	0.369	0.443
AHR	GCLC	9606.ENSP00000242057	9606.ENSP00000229416	0	0	0	0	0	0	0	0.426	0.426
AHR	NR3C1	9606.ENSP00000242057	9606.ENSP00000231509	0	0	0	0	0.059	0.057	0	0.724	0.733
AHR	EGR1	9606.ENSP00000242057	9606.ENSP00000239938	0	0	0	0	0.062	0.056	0	0.838	0.844
AHR	BHLHE40	9606.ENSP00000242057	9606.ENSP00000256495	0	0	0	0	0.065	0	0	0.413	0.428
AHR	PDE2A	9606.ENSP00000242057	9606.ENSP00000334910	0	0	0	0	0	0	0	0.501	0.502
AHR	MYC	9606.ENSP00000242057	9606.ENSP00000479618	0	0	0	0	0	0	0	0.529	0.529
AHR	NFE2L2	9606.ENSP00000242057	9606.ENSP00000380252	0	0	0	0	0	0.273	0	0.635	0.724
AHR	KLF6	9606.ENSP00000242057	9606.ENSP00000419923	0	0	0	0	0.07	0.056	0	0.969	0.971
AJUBA	BORA	9606.ENSP00000262713	9606.ENSP00000479266	0	0	0	0	0.062	0	0	0.61	0.618
AKAP7	GDF15	9606.ENSP00000405252	9606.ENSP00000252809	0	0	0	0	0	0	0	0.635	0.635
AKAP7	PDE4D	9606.ENSP00000405252	9606.ENSP00000345502	0	0	0	0	0	0	0	0.737	0.737
AKR1C2	HSD17B2	9606.ENSP00000370129	9606.ENSP00000199936	0	0	0	0	0.062	0	0	0.465	0.476
AKR1C2	GCLC	9606.ENSP00000370129	9606.ENSP00000229416	0	0	0	0	0.062	0.22	0	0.456	0.567
