length	gc
ENSG00000227232	1351	0.493708364174685
ENSG00000279457	1397	0.567644953471725
ENSG00000237094	6204	0.444229529335912
ENSG00000230021	5495	0.413466787989081
ENSG00000225972	372	0.443548387096774
ENSG00000225630	1044	0.431034482758621
ENSG00000237973	1543	0.457550226830849
ENSG00000229344	682	0.453079178885631
ENSG00000248527	681	0.439060205580029
ENSG00000198744	547	0.482632541133455
ENSG00000228327	6432	0.468283582089552
ENSG00000237491	8413	0.419826459051468
ENSG00000230092	872	0.402522935779817
ENSG00000228794	15682	0.480933554393572
ENSG00000225880	1317	0.526955201214882
ENSG00000188976	5540	0.61028880866426
ENSG00000187961	3402	0.649617871840094
ENSG00000187583	3451	0.648217907852796
ENSG00000187642	3424	0.69713785046729
ENSG00000272512	2086	0.661553211888782
ENSG00000188290	1118	0.74865831842576
ENSG00000187608	867	0.63437139561707
ENSG00000188157	10761	0.657838490846576
ENSG00000217801	2203	0.59963685882887
ENSG00000273443	829	0.641737032569361
ENSG00000237330	1900	0.651578947368421
ENSG00000131591	6322	0.575608984498576
ENSG00000223823	1620	0.646913580246914
ENSG00000207730	95	0.6
ENSG00000207607	90	0.555555555555556
ENSG00000198976	83	0.578313253012048
ENSG00000272141	987	0.657548125633232
ENSG00000078808	4745	0.619178082191781
ENSG00000176022	2805	0.642067736185383
ENSG00000184163	1794	0.686733556298774
ENSG00000160087	4691	0.576849285866553
ENSG00000230415	513	0.625730994152047
ENSG00000162572	4025	0.645714285714286
ENSG00000131584	8707	0.6760078098082
ENSG00000169972	2459	0.653517690117934
ENSG00000127054	8216	0.608081791626095
ENSG00000240731	386	0.494818652849741
ENSG00000224051	2555	0.66692759295499
ENSG00000169962	3475	0.659280575539568
ENSG00000107404	3882	0.679546625450798
ENSG00000162576	3622	0.622308117062397
ENSG00000175756	1669	0.664469742360695
ENSG00000221978	6857	0.514948228088085
ENSG00000224870	2527	0.593984962406015
ENSG00000242485	2767	0.539212143115287
ENSG00000272455	1523	0.494418910045962
ENSG00000179403	5065	0.668311944718657
ENSG00000215915	3981	0.565435820145692
ENSG00000160072	7686	0.612932604735883
ENSG00000197785	3344	0.657894736842105
ENSG00000205090	2009	0.73469387755102
ENSG00000160075	6919	0.556149732620321
ENSG00000215014	2349	0.510855683269476
ENSG00000228594	2124	0.707156308851224
ENSG00000272106	2038	0.57360157016683
ENSG00000197530	8767	0.666362495722596
ENSG00000248333	3488	0.512901376146789
ENSG00000189339	8462	0.532852753486173
ENSG00000008128	5085	0.494985250737463
ENSG00000268575	5079	0.556999409332546
ENSG00000215790	7713	0.540775314404253
ENSG00000008130	5570	0.525134649910233
ENSG00000078369	6417	0.508648901355774
ENSG00000231050	906	0.657836644591612
ENSG00000178821	1600	0.673125
ENSG00000142609	10422	0.544809057762426
ENSG00000226969	538	0.644981412639405
ENSG00000067606	7695	0.595061728395062
ENSG00000182873	1734	0.57843137254902
ENSG00000162585	10916	0.629901062660315
ENSG00000157933	6550	0.614809160305343
ENSG00000287356	5794	0.661201242664826
ENSG00000116151	11337	0.610302549175267
ENSG00000269896	2407	0.576235978396344
ENSG00000272420	568	0.360915492957746
ENSG00000157916	5689	0.535770785726841
ENSG00000157911	3782	0.656266525647805
ENSG00000149527	10809	0.658155241002868
ENSG00000157881	5072	0.587145110410095
ENSG00000272449	1531	0.708687132593076
ENSG00000238164	6137	0.631416001303569
